run,imp,exit_code,theta,scale,shape,gamma,e,var_type,site_class,sel_type,lnL,boundaries_hit,searches,converged,model,params,AIC,delta_AIC
19,1,3,0.000117870235462,na,na,0,0,ins,1,neu,79854.4381153,neu_ins_e_1,5000,True,indel_discrete_1class_equal_t,26,-159656.876231,-3048.07501994
19,1,3,0.000200364246161,na,na,0,0.0132807735528,del,1,neu,79854.4381153,neu_ins_e_1,5000,True,indel_discrete_1class_equal_t,26,-159656.876231,-3048.07501994
19,1,3,0.000117870235462,na,na,-43.0549004174,0.149132545351,ins,1,sel,79854.4381153,neu_ins_e_1,5000,True,indel_discrete_1class_equal_t,26,-159656.876231,-3048.07501994
19,1,3,0.000200364246161,na,na,-82.4930862854,0.0596405209945,del,1,sel,79854.4381153,neu_ins_e_1,5000,True,indel_discrete_1class_equal_t,26,-159656.876231,-3048.07501994
19,1,3,0.000159765755803,na,na,0,0,ins,1,neu,81366.7965545,neu_ins_e_1,5000,True,indel_discrete_1class,28,-162677.593109,-27.3581416142
19,1,3,0.000255277364806,na,na,0,0.0128220156993,del,1,neu,81366.7965545,neu_ins_e_1,5000,True,indel_discrete_1class,28,-162677.593109,-27.3581416142
19,1,3,7.64751363775e-06,na,na,-2.67825959109,0.0802570162174,ins,1,sel,81366.7965545,neu_ins_e_1,5000,True,indel_discrete_1class,28,-162677.593109,-27.3581416142
19,1,3,1.4372920249e-05,na,na,-4.89849938345,0.0292285884688,del,1,sel,81366.7965545,neu_ins_e_1,5000,True,indel_discrete_1class,28,-162677.593109,-27.3581416142
96,1,3,0.000172076623565,na,na,0,0.0757645927785,ins,1,neu,81374.1162841,sel_ins_e_2|sel_del_e_2,5000,False,indel_discrete_2class_equal_t,32,-162684.232568,-20.718682357
96,1,3,0.000262214227499,na,na,0,0.0440618176723,del,1,neu,81374.1162841,sel_ins_e_2|sel_del_e_2,5000,False,indel_discrete_2class_equal_t,32,-162684.232568,-20.718682357
96,1,3,4.66371760565e-06,na,na,-0.140983775667,0.134634642675,ins,1,sel,81374.1162841,sel_ins_e_2|sel_del_e_2,5000,False,indel_discrete_2class_equal_t,32,-162684.232568,-20.718682357
96,1,3,1.46760793297e-05,na,na,-5.38153427287,0.0270733787193,del,1,sel,81374.1162841,sel_ins_e_2|sel_del_e_2,5000,False,indel_discrete_2class_equal_t,32,-162684.232568,-20.718682357
96,1,3,0.000167412905959,na,na,-885.516723029,0,ins,2,sel,81374.1162841,sel_ins_e_2|sel_del_e_2,5000,False,indel_discrete_2class_equal_t,32,-162684.232568,-20.718682357
96,1,3,0.000247538148169,na,na,-28493.5095514,0,del,2,sel,81374.1162841,sel_ins_e_2|sel_del_e_2,5000,False,indel_discrete_2class_equal_t,32,-162684.232568,-20.718682357
60,1,3,0.000158011312794,na,na,0,2.22044604925e-18,ins,1,neu,81382.1153635,sel_ins_e_2|sel_del_e_1,5000,True,indel_discrete_2class,34,-162696.230727,-8.7205236
60,1,3,0.000252585410455,na,na,0,0.012992361586,del,1,neu,81382.1153635,sel_ins_e_2|sel_del_e_1,5000,True,indel_discrete_2class,34,-162696.230727,-8.7205236
60,1,3,4.87293047814e-06,na,na,-1.09605273432,0.0759629002491,ins,1,sel,81382.1153635,sel_ins_e_2|sel_del_e_1,5000,True,indel_discrete_2class,34,-162696.230727,-8.7205236
60,1,3,0.00926652778633,na,na,-31596.0246237,0,del,1,sel,81382.1153635,sel_ins_e_2|sel_del_e_1,5000,True,indel_discrete_2class,34,-162696.230727,-8.7205236
60,1,3,0.00115298131945,na,na,-6905.9363792,0,ins,2,sel,81382.1153635,sel_ins_e_2|sel_del_e_1,5000,True,indel_discrete_2class,34,-162696.230727,-8.7205236
60,1,3,8.61293433271e-06,na,na,-2.88674692364,0.0278404075017,del,2,sel,81382.1153635,sel_ins_e_2|sel_del_e_1,5000,True,indel_discrete_2class,34,-162696.230727,-8.7205236
49,1,3,0.00016991958136,na,na,0,0.065722784039,ins,1,neu,81380.5862662,sel_ins_e_2|sel_del_e_1|sel_del_e_2,10000,False,indel_discrete_3class_equal_t,38,-162685.172532,-19.7787181398
49,1,3,0.00026055036034,na,na,0,0.0397774599306,del,1,neu,81380.5862662,sel_ins_e_2|sel_del_e_1|sel_del_e_2,10000,False,indel_discrete_3class_equal_t,38,-162685.172532,-19.7787181398
49,1,3,6.26342092365e-07,na,na,-47880.8158375,0.0702240125648,ins,1,sel,81380.5862662,sel_ins_e_2|sel_del_e_1|sel_del_e_2,10000,False,indel_discrete_3class_equal_t,38,-162685.172532,-19.7787181398
49,1,3,1.80252502041e-05,na,na,-16.8418243355,0,del,1,sel,81380.5862662,sel_ins_e_2|sel_del_e_1|sel_del_e_2,10000,False,indel_discrete_3class_equal_t,38,-162685.172532,-19.7787181398
49,1,3,0.000161884608376,na,na,-6536.12919258,0,ins,2,sel,81380.5862662,sel_ins_e_2|sel_del_e_1|sel_del_e_2,10000,False,indel_discrete_3class_equal_t,38,-162685.172532,-19.7787181398
49,1,3,0.000239310254776,na,na,-16767.2187031,0,del,2,sel,81380.5862662,sel_ins_e_2|sel_del_e_1|sel_del_e_2,10000,False,indel_discrete_3class_equal_t,38,-162685.172532,-19.7787181398
49,1,3,7.40863089188e-06,na,na,-3.44393674365,0.0438831393218,ins,3,sel,81380.5862662,sel_ins_e_2|sel_del_e_1|sel_del_e_2,10000,False,indel_discrete_3class_equal_t,38,-162685.172532,-19.7787181398
49,1,3,3.21485536033e-06,na,na,1.67846729188,0.138365787408,del,3,sel,81380.5862662,sel_ins_e_2|sel_del_e_1|sel_del_e_2,10000,False,indel_discrete_3class_equal_t,38,-162685.172532,-19.7787181398
67,1,3,0.000171217288321,na,na,0,0.0762021315898,ins,1,neu,81382.2027865,sel_ins_e_1,10000,True,indel_discrete_3class,40,-162684.405573,-20.5456774996
67,1,3,0.000260843426069,na,na,0,0.0442932263779,del,1,neu,81382.2027865,sel_ins_e_1,10000,True,indel_discrete_3class,40,-162684.405573,-20.5456774996
67,1,3,0.000520737642208,na,na,-3076.8414428,0,ins,1,sel,81382.2027865,sel_ins_e_1,10000,True,indel_discrete_3class,40,-162684.405573,-20.5456774996
67,1,3,2.19630389279e-07,na,na,-15257.5927114,0.000149274773889,del,1,sel,81382.2027865,sel_ins_e_1,10000,True,indel_discrete_3class,40,-162684.405573,-20.5456774996
67,1,3,4.90129253521e-06,na,na,-0.938872517419,0.0922136277715,ins,2,sel,81382.2027865,sel_ins_e_1,10000,True,indel_discrete_3class,40,-162684.405573,-20.5456774996
67,1,3,8.4526341076e-06,na,na,-2.65408850665,0.0461729881613,del,2,sel,81382.2027865,sel_ins_e_1,10000,True,indel_discrete_3class,40,-162684.405573,-20.5456774996
67,1,3,1.11965528088e-10,na,na,-45039.3701358,0.0763068750187,ins,3,sel,81382.2027865,sel_ins_e_1,10000,True,indel_discrete_3class,40,-162684.405573,-20.5456774996
67,1,3,0.000184469547846,na,na,-585.568270005,2.22044604925e-18,del,3,sel,81382.2027865,sel_ins_e_1,10000,True,indel_discrete_3class,40,-162684.405573,-20.5456774996
12,1,3,0.000151463393332,na,na,0,2.22044604925e-18,ins,1,neu,81307.570631,,5000,True,indel_continuous_1class_equal_t,28,-162559.141262,-145.809988456
12,1,3,0.000242180720168,na,na,0,0.0119925241025,del,1,neu,81307.570631,,5000,True,indel_continuous_1class_equal_t,28,-162559.141262,-145.809988456
12,1,3,0.000151463393332,2334.0568027,0.685037625231,na,0.0738744488849,ins,1,sel,81307.570631,,5000,True,indel_continuous_1class_equal_t,28,-162559.141262,-145.809988456
12,1,3,0.000242180720168,2413.43355777,0.699926785709,na,0.0455869057201,del,1,sel,81307.570631,,5000,True,indel_continuous_1class_equal_t,28,-162559.141262,-145.809988456
19,1,3,0.000158357911249,na,na,0,0,ins,1,neu,81382.4756253,neu_ins_e_1,5000,True,indel_continuous_1class,30,-162704.951251,0.0
19,1,3,0.000252979349527,na,na,0,0.0127499171407,del,1,neu,81382.4756253,neu_ins_e_1,5000,True,indel_continuous_1class,30,-162704.951251,0.0
19,1,3,2.19502424974e-05,989.320230136,0.338363927267,na,0.0336974969996,ins,1,sel,81382.4756253,neu_ins_e_1,5000,True,indel_continuous_1class,30,-162704.951251,0.0
19,1,3,5.37597325463e-05,767.3197487,0.4917148477,na,0.0165858805595,del,1,sel,81382.4756253,neu_ins_e_1,5000,True,indel_continuous_1class,30,-162704.951251,0.0
