run,imp,exit_code,theta,scale,shape,gamma,e,var_type,site_class,sel_type,lnL,boundaries_hit,searches,converged,model,params,AIC,delta_AIC
6,173,3,0.000253318538218,na,na,0,0.0156800290418,del,1,neu,81382.2841081,,5000,True,indel_discrete_2class_equal_t,32,-162700.568216,0.0
6,173,3,0.000244726751085,na,na,-816.107737197,1.74358846765e-06,del,2,sel,81382.2841081,,5000,True,indel_discrete_2class_equal_t,32,-162700.568216,0.0
6,173,3,0.000158913739088,na,na,0,0.00643475779169,ins,1,neu,81382.2841081,,5000,True,indel_discrete_2class_equal_t,32,-162700.568216,0.0
6,173,3,0.000154175764246,na,na,-869.144002589,8.35082336541e-07,ins,2,sel,81382.2841081,,5000,True,indel_discrete_2class_equal_t,32,-162700.568216,0.0
6,173,3,8.59178713326e-06,na,na,-2.89268411208,0.0279578409616,del,1,sel,81382.2841081,,5000,True,indel_discrete_2class_equal_t,32,-162700.568216,0.0
6,173,3,4.73797484113e-06,na,na,-0.948967985947,0.0792872365833,ins,1,sel,81382.2841081,,5000,True,indel_discrete_2class_equal_t,32,-162700.568216,0.0
13,49,3,0.000260916892105,na,na,0,0.0444581571955,del,1,neu,81385.8426781,sel_ins_gamma_1,5000,True,indel_discrete_3class_equal_t,38,-162695.685356,-4.88286006721
13,49,3,0.000249706526539,na,na,-1099.81966519,1.93794947609e-07,del,2,sel,81385.8426781,sel_ins_gamma_1,5000,True,indel_discrete_3class_equal_t,38,-162695.685356,-4.88286006721
13,49,3,0.00017138914154,na,na,0,0.0766364473166,ins,1,neu,81385.8426781,sel_ins_gamma_1,5000,True,indel_discrete_3class_equal_t,38,-162695.685356,-4.88286006721
13,49,3,0.000165793310671,na,na,-1123.69911137,0.0393418566094,ins,3,sel,81385.8426781,sel_ins_gamma_1,5000,True,indel_discrete_3class_equal_t,38,-162695.685356,-4.88286006721
13,49,3,1.00514923083e-05,na,na,-6.14487974634,0.0281912081688,del,1,sel,81385.8426781,sel_ins_gamma_1,5000,True,indel_discrete_3class_equal_t,38,-162695.685356,-4.88286006721
13,49,3,4.75040476812e-06,na,na,-3.3865527116,0.0485819512102,ins,2,sel,81385.8426781,sel_ins_gamma_1,5000,True,indel_discrete_3class_equal_t,38,-162695.685356,-4.88286006721
13,49,3,1.15887325763e-06,na,na,14.6117556811,1.01489901843e-06,del,3,sel,81385.8426781,sel_ins_gamma_1,5000,True,indel_discrete_3class_equal_t,38,-162695.685356,-4.88286006721
13,49,3,8.45426101138e-07,na,na,999.999999996,4.11227094641e-06,ins,1,sel,81385.8426781,sel_ins_gamma_1,5000,True,indel_discrete_3class_equal_t,38,-162695.685356,-4.88286006721
12,1,3,0.000242180720168,na,na,0,0.0119925241025,del,1,neu,81307.570631,,5000,True,indel_continuous_1class_equal_t,28,-162559.141262,-141.426954195
12,1,3,0.000242180720168,2413.43355777,0.699926785709,na,0.0455869057201,del,1,sel,81307.570631,,5000,True,indel_continuous_1class_equal_t,28,-162559.141262,-141.426954195
12,1,3,0.000151463393332,na,na,0,2.22044604925e-18,ins,1,neu,81307.570631,,5000,True,indel_continuous_1class_equal_t,28,-162559.141262,-141.426954195
12,1,3,0.000151463393332,2334.0568027,0.685037625231,na,0.0738744488849,ins,1,sel,81307.570631,,5000,True,indel_continuous_1class_equal_t,28,-162559.141262,-141.426954195
19,1,3,0.000200364246161,na,na,0,0.0132807735528,del,1,neu,79854.4381153,neu_ins_e_1,5000,True,indel_discrete_1class_equal_t,26,-159656.876231,-3043.69198568
19,1,3,0.000200364246161,na,na,-82.4930862854,0.0596405209945,del,1,sel,79854.4381153,neu_ins_e_1,5000,True,indel_discrete_1class_equal_t,26,-159656.876231,-3043.69198568
19,1,3,0.000117870235462,na,na,0,0,ins,1,neu,79854.4381153,neu_ins_e_1,5000,True,indel_discrete_1class_equal_t,26,-159656.876231,-3043.69198568
19,1,3,0.000117870235462,na,na,-43.0549004174,0.149132545351,ins,1,sel,79854.4381153,neu_ins_e_1,5000,True,indel_discrete_1class_equal_t,26,-159656.876231,-3043.69198568
