run,imp,exit_code,theta,scale,shape,gamma,e,var_type,site_class,sel_type,lnL,boundaries_hit,searches,converged,model,params,alpha,AIC,delta_AIC
21,1,3,0.000211942122991,na,na,0,0.0134608847194,del,1,neu,84437.9828175,neu_ins_e_1,5000,True,indel_continuous_1class,30,NA,-168815.965635,0.0
21,1,3,0.000135120540147,na,na,0,0,ins,1,neu,84437.9828175,neu_ins_e_1,5000,True,indel_continuous_1class,30,NA,-168815.965635,0.0
21,1,3,5.38667887433e-05,758.814058646,0.494123509059,na,0.016884750732,del,1,sel,84437.9828175,neu_ins_e_1,5000,True,indel_continuous_1class,30,NA,-168815.965635,0.0
21,1,3,2.21513424918e-05,986.196491861,0.34148398011,na,0.0339029516233,ins,1,sel,84437.9828175,neu_ins_e_1,5000,True,indel_continuous_1class,30,NA,-168815.965635,0.0
2,1,3,0.00251815159407,na,na,-13996.547812,0.0862424678541,ins,2,sel,84438.0625526,r_19|sel_ins_e_1|sel_del_e_1,24975,True,indel_discrete_2class,34,NA,-168808.125105,-7.84052983261
2,1,3,0.0002191169443,na,na,0,0.0456590006061,del,1,neu,84438.0625526,r_19|sel_ins_e_1|sel_del_e_1,24975,True,indel_discrete_2class,34,NA,-168808.125105,-7.84052983261
2,1,3,0.000146177771668,na,na,0,0.0749826234028,ins,1,neu,84438.0625526,r_19|sel_ins_e_1|sel_del_e_1,24975,True,indel_discrete_2class,34,NA,-168808.125105,-7.84052983261
2,1,3,1.71426433978e-05,na,na,-11.3273794569,0,del,1,sel,84438.0625526,r_19|sel_ins_e_1|sel_del_e_1,24975,True,indel_discrete_2class,34,NA,-168808.125105,-7.84052983261
2,1,3,4.66575693849e-06,na,na,-1.86509091534,0,ins,1,sel,84438.0625526,r_19|sel_ins_e_1|sel_del_e_1,24975,True,indel_discrete_2class,34,NA,-168808.125105,-7.84052983261
2,1,3,1.82702720602e-06,na,na,69102.5970271,0.197661469918,del,2,sel,84438.0625526,r_19|sel_ins_e_1|sel_del_e_1,24975,True,indel_discrete_2class,34,NA,-168808.125105,-7.84052983261
24,32,3,0.000217288359887,na,na,0,0.0421178386272,del,1,neu,84441.166351,sel_ins_gamma_1,15000,True,indel_discrete_3class,40,NA,-168802.332702,-13.6329330378
24,32,3,0.000144681847822,na,na,0,0.0675326404882,ins,1,neu,84441.166351,sel_ins_gamma_1,15000,True,indel_discrete_3class,40,NA,-168802.332702,-13.6329330378
24,32,3,0.000113276613066,na,na,-555.500792696,1.51478343919e-07,del,3,sel,84441.166351,sel_ins_gamma_1,15000,True,indel_discrete_3class,40,NA,-168802.332702,-13.6329330378
24,32,3,4.64051387496e-05,na,na,-335.951063421,0.0266836317947,ins,2,sel,84441.166351,sel_ins_gamma_1,15000,True,indel_discrete_3class,40,NA,-168802.332702,-13.6329330378
24,32,3,1.08120008942e-05,na,na,-7.77612182844,0.00109088686168,del,2,sel,84441.166351,sel_ins_gamma_1,15000,True,indel_discrete_3class,40,NA,-168802.332702,-13.6329330378
24,32,3,4.91185792209e-06,na,na,-4.19298416897,2.0008737885e-06,ins,3,sel,84441.166351,sel_ins_gamma_1,15000,True,indel_discrete_3class,40,NA,-168802.332702,-13.6329330378
24,32,3,1.45070259715e-06,na,na,6.53737639817,0.0841090533886,del,1,sel,84441.166351,sel_ins_gamma_1,15000,True,indel_discrete_3class,40,NA,-168802.332702,-13.6329330378
24,32,3,1.05157547973e-06,na,na,100000.0,0.1964631277,ins,1,sel,84441.166351,sel_ins_gamma_1,15000,True,indel_discrete_3class,40,NA,-168802.332702,-13.6329330378
22,49,3,0.000215181953595,na,na,0,0.0167369135267,del,1,neu,84421.89928,,5000,True,indel_discrete_1class,28,NA,-168787.79856,-28.1670750524
22,49,3,0.000136018436903,na,na,0,0.00470999307534,ins,1,neu,84421.89928,,5000,True,indel_discrete_1class,28,NA,-168787.79856,-28.1670750524
22,49,3,1.42898960311e-05,na,na,-4.86618850591,0.0309749778335,del,1,sel,84421.89928,,5000,True,indel_discrete_1class,28,NA,-168787.79856,-28.1670750524
22,49,3,7.7768422153e-06,na,na,-2.79840363925,0.0798085252218,ins,1,sel,84421.89928,,5000,True,indel_discrete_1class,28,NA,-168787.79856,-28.1670750524
