run,imp,exit_code,theta,scale,shape,gamma,e,var_type,site_class,sel_type,lnL,boundaries_hit,searches,converged,model,params,alpha,AIC,delta_AIC
5,8,3,0.000213134944031,na,na,0,0.0420858647476,del,1,neu,5088071.5303,,10000,False,indel_discrete_2class_equal_t,32,0.734757116893,-10176079.0606,0.0
5,8,3,0.000205345147701,na,na,-628.621107196,0.00587113614063,del,1,sel,5088071.5303,,10000,False,indel_discrete_2class_equal_t,32,0.734757116893,-10176079.0606,0.0
5,8,3,0.000160406428221,na,na,0,0.0402780004147,ins,1,neu,5088071.5303,,10000,False,indel_discrete_2class_equal_t,32,0.604426724915,-10176079.0606,0.0
5,8,3,0.000155619898439,na,na,-897.365335274,0.000525622749341,ins,1,sel,5088071.5303,,10000,False,indel_discrete_2class_equal_t,32,0.604426724915,-10176079.0606,0.0
5,8,3,7.78979632977e-06,na,na,-1.7022529568,0.0365584704373,del,2,sel,5088071.5303,,10000,False,indel_discrete_2class_equal_t,32,0.734757116893,-10176079.0606,0.0
5,8,3,4.78652978183e-06,na,na,-0.263562024466,0.0728626233459,ins,2,sel,5088071.5303,,10000,False,indel_discrete_2class_equal_t,32,0.604426724915,-10176079.0606,0.0
20,28,3,0.00021481646552,na,na,0,0.0494235121348,del,1,neu,5088070.64825,,10000,True,indel_discrete_3class_equal_t,38,0.999999980119,-10176065.2965,-13.7641029414
20,28,3,0.000194740207503,na,na,-2483.33936912,1.42586567344e-05,del,3,sel,5088070.64825,,10000,True,indel_discrete_3class_equal_t,38,0.999999980119,-10176065.2965,-13.7641029414
20,28,3,0.000163265587893,na,na,0,0.0538079257588,ins,1,neu,5088070.64825,,10000,True,indel_discrete_3class_equal_t,38,0.835305810001,-10176065.2965,-13.7641029414
20,28,3,7.90755963728e-05,na,na,-1009.55353675,0.0490681287429,ins,3,sel,5088070.64825,,10000,True,indel_discrete_3class_equal_t,38,0.835305810001,-10176065.2965,-13.7641029414
20,28,3,7.7599153129e-05,na,na,-2738.36773972,0.452873352776,ins,2,sel,5088070.64825,,10000,True,indel_discrete_3class_equal_t,38,0.835305810001,-10176065.2965,-13.7641029414
20,28,3,1.51757328606e-05,na,na,-21.0829552121,0.000162812511277,del,1,sel,5088070.64825,,10000,True,indel_discrete_3class_equal_t,38,0.999999980119,-10176065.2965,-13.7641029414
20,28,3,6.59083839085e-06,na,na,-2.22834673173,0.0201658376994,ins,1,sel,5088070.64825,,10000,True,indel_discrete_3class_equal_t,38,0.835305810001,-10176065.2965,-13.7641029414
20,28,3,4.90052515632e-06,na,na,0.597347024695,0.0838823244181,del,2,sel,5088070.64825,,10000,True,indel_discrete_3class_equal_t,38,0.999999980119,-10176065.2965,-13.7641029414
24,1,3,0.000208583908089,na,na,0,0.0192164878509,del,1,neu,5087993.92168,neu_ins_e_1,5000,True,indel_continuous_1class_equal_t,28,1.0,-10175931.8434,-147.21724374
24,1,3,0.000208583908089,2401.49434622,0.646565842969,na,0.0470357141031,del,1,sel,5087993.92168,neu_ins_e_1,5000,True,indel_continuous_1class_equal_t,28,1.0,-10175931.8434,-147.21724374
24,1,3,0.00015436937356,na,na,0,0,ins,1,neu,5087993.92168,neu_ins_e_1,5000,True,indel_continuous_1class_equal_t,28,1.0,-10175931.8434,-147.21724374
24,1,3,0.00015436937356,2412.86026727,0.669271999138,na,0.066746870708,ins,1,sel,5087993.92168,neu_ins_e_1,5000,True,indel_continuous_1class_equal_t,28,1.0,-10175931.8434,-147.21724374
16,41,3,0.000207620221765,na,na,0,0.0192086850141,del,1,neu,5086460.47544,,10000,False,indel_discrete_1class_equal_t,26,1.0,-10172868.9509,-3210.1097118
16,41,3,0.000207620221765,na,na,-75.6969518938,0.0647824519523,del,1,sel,5086460.47544,,10000,False,indel_discrete_1class_equal_t,26,1.0,-10172868.9509,-3210.1097118
16,41,3,0.000153495916014,na,na,0,7.29710718186e-07,ins,1,neu,5086460.47544,,10000,False,indel_discrete_1class_equal_t,26,1.0,-10172868.9509,-3210.1097118
16,41,3,0.000153495916014,na,na,-54.9431080036,0.140876655202,ins,1,sel,5086460.47544,,10000,False,indel_discrete_1class_equal_t,26,1.0,-10172868.9509,-3210.1097118
