run,imp,exit_code,theta,scale,shape,gamma,e,var_type,site_class,sel_type,lnL,boundaries_hit,searches,converged,model,params,AIC,delta_AIC
20,1,3,0.000257458153235,na,na,0,0.0124733521534,del,1,neu,5165064.8784,neu_ins_e_1,5000,True,indel_continuous_1class_equal_t,28,-10330073.7568,0.0
20,1,3,0.000257458153235,162.087237497,0.108004661318,na,0.0159560107542,del,1,sel,5165064.8784,neu_ins_e_1,5000,True,indel_continuous_1class_equal_t,28,-10330073.7568,0.0
20,1,3,0.000160872347656,na,na,0,0,ins,1,neu,5165064.8784,neu_ins_e_1,5000,True,indel_continuous_1class_equal_t,28,-10330073.7568,0.0
20,1,3,0.000160872347656,464.326399204,0.0266019919377,na,0.0110965611412,ins,1,sel,5165064.8784,neu_ins_e_1,5000,True,indel_continuous_1class_equal_t,28,-10330073.7568,0.0
7,1,3,0.000289714600974,705.87271834,0.102527830915,na,0.0162260145046,del,1,sel,5165065.76688,neu_ins_e_1,5000,True,indel_continuous_1class,30,-10330071.5338,-2.22303961962
7,1,3,0.00025491699015,na,na,0,0.01181800248,del,1,neu,5165065.76688,neu_ins_e_1,5000,True,indel_continuous_1class,30,-10330071.5338,-2.22303961962
7,1,3,0.000168528218244,1632.58241698,0.0314920070349,na,0.010277750716,ins,1,sel,5165065.76688,neu_ins_e_1,5000,True,indel_continuous_1class,30,-10330071.5338,-2.22303961962
7,1,3,0.000159958517516,na,na,0,0,ins,1,neu,5165065.76688,neu_ins_e_1,5000,True,indel_continuous_1class,30,-10330071.5338,-2.22303961962
8,1,3,0.0281877207049,na,na,-23989.6349411,8.881784197e-18,del,1,sel,5165067.40576,,10000,True,indel_discrete_3class,40,-10330054.8115,-18.9452820998
8,1,3,0.00430685363335,na,na,-6710.93511201,0.0406153770888,ins,1,sel,5165067.40576,,10000,True,indel_discrete_3class,40,-10330054.8115,-18.9452820998
8,1,3,0.000259334559153,na,na,0,0.0390123367372,del,1,neu,5165067.40576,,10000,True,indel_discrete_3class,40,-10330054.8115,-18.9452820998
8,1,3,0.000170959738861,na,na,-0.0801315996696,0.0174447391572,del,2,sel,5165067.40576,,10000,True,indel_discrete_3class,40,-10330054.8115,-18.9452820998
8,1,3,0.000169182718142,na,na,0,0.0648218751244,ins,1,neu,5165067.40576,,10000,True,indel_discrete_3class,40,-10330054.8115,-18.9452820998
8,1,3,0.0001429872503,na,na,0.315405776932,0.0536173473116,ins,2,sel,5165067.40576,,10000,True,indel_discrete_3class,40,-10330054.8115,-18.9452820998
8,1,3,3.34870518155e-05,na,na,-6.91735149998,0.235795633026,del,3,sel,5165067.40576,,10000,True,indel_discrete_3class,40,-10330054.8115,-18.9452820998
8,1,3,6.0868624221e-10,na,na,-46419.8521099,0.462895688312,ins,3,sel,5165067.40576,,10000,True,indel_discrete_3class,40,-10330054.8115,-18.9452820998
88,1,3,0.000260532359943,na,na,0,0.0126289614113,del,1,neu,5165061.30432,sel_ins_theta_1,5000,True,indel_discrete_2class,34,-10330054.6086,-19.1481569801
88,1,3,0.000190562520594,na,na,-0.383113620212,0.0146960973841,del,1,sel,5165061.30432,sel_ins_theta_1,5000,True,indel_discrete_2class,34,-10330054.6086,-19.1481569801
88,1,3,0.000163564738269,na,na,0,0.00160303172978,ins,1,neu,5165061.30432,sel_ins_theta_1,5000,True,indel_discrete_2class,34,-10330054.6086,-19.1481569801
88,1,3,0.00015062362426,na,na,-0.151651059105,0.0121085781279,ins,2,sel,5165061.30432,sel_ins_theta_1,5000,True,indel_discrete_2class,34,-10330054.6086,-19.1481569801
88,1,3,4.55284544763e-05,na,na,-16.7221239367,0.0302022156207,del,2,sel,5165061.30432,sel_ins_theta_1,5000,True,indel_discrete_2class,34,-10330054.6086,-19.1481569801
88,1,3,1e-10,na,na,-8707.16656937,0.27375375808,ins,1,sel,5165061.30432,sel_ins_theta_1,5000,True,indel_discrete_2class,34,-10330054.6086,-19.1481569801
