run,imp,exit_code,theta,scale,shape,gamma,e,var_type,site_class,sel_type,lnL,boundaries_hit,searches,converged,model,params,alpha,AIC,delta_AIC
5,1,3,0.000234252208102,na,na,0,0.0417184866366,del,1,neu,5168102.82787,r_19|sel_ins_scale,10000,True,indel_continuous_1class_equal_t,28,-3.19113132057,-10336149.6557,0.0
5,1,3,0.000234252208102,20.788497591,0.121655669021,na,0.0455154743338,del,1,sel,5168102.82787,r_19|sel_ins_scale,10000,True,indel_continuous_1class_equal_t,28,-3.19113132057,-10336149.6557,0.0
5,1,3,0.000158167323214,na,na,0,0.0697609682162,ins,1,neu,5168102.82787,r_19|sel_ins_scale,10000,True,indel_continuous_1class_equal_t,28,-14.1666111459,-10336149.6557,0.0
5,1,3,0.000158167323214,0.1,0.00126380737162,na,0.0581603297964,ins,1,sel,5168102.82787,r_19|sel_ins_scale,10000,True,indel_continuous_1class_equal_t,28,-14.1666111459,-10336149.6557,0.0
10,1,3,0.000222976838863,na,na,0,0.0286576287772,del,1,neu,5168089.79623,sel_ins_theta_3|sel_ins_theta_1|sel_ins_e_3|sel_del_theta_1|sel_del_e_1|sel_del_e_2|sel_del_e_3,25000,False,indel_discrete_3class_equal_t,38,-9.04047941386,-10336103.5925,-46.0632847808
10,1,3,0.000208074586479,na,na,-1.05811407898,0,del,2,sel,5168089.79623,sel_ins_theta_3|sel_ins_theta_1|sel_ins_e_3|sel_del_theta_1|sel_del_e_1|sel_del_e_2|sel_del_e_3,25000,False,indel_discrete_3class_equal_t,38,-9.04047941386,-10336103.5925,-46.0632847808
10,1,3,0.000151502473023,na,na,0,0.0447495526563,ins,1,neu,5168089.79623,sel_ins_theta_3|sel_ins_theta_1|sel_ins_e_3|sel_del_theta_1|sel_del_e_1|sel_del_e_2|sel_del_e_3,25000,False,indel_discrete_3class_equal_t,38,-11.8224832476,-10336103.5925,-46.0632847808
10,1,3,0.000151502471023,na,na,-0.327015191438,0.0264029951523,ins,2,sel,5168089.79623,sel_ins_theta_3|sel_ins_theta_1|sel_ins_e_3|sel_del_theta_1|sel_del_e_1|sel_del_e_2|sel_del_e_3,25000,False,indel_discrete_3class_equal_t,38,-11.8224832476,-10336103.5925,-46.0632847808
10,1,3,1.49022513841e-05,na,na,12803.9331241,0.5,del,3,sel,5168089.79623,sel_ins_theta_3|sel_ins_theta_1|sel_ins_e_3|sel_del_theta_1|sel_del_e_1|sel_del_e_2|sel_del_e_3,25000,False,indel_discrete_3class_equal_t,38,-9.04047941386,-10336103.5925,-46.0632847808
10,1,3,1e-12,na,na,9507.58276224,0.5,del,1,sel,5168089.79623,sel_ins_theta_3|sel_ins_theta_1|sel_ins_e_3|sel_del_theta_1|sel_del_e_1|sel_del_e_2|sel_del_e_3,25000,False,indel_discrete_3class_equal_t,38,-9.04047941386,-10336103.5925,-46.0632847808
10,1,3,1e-12,na,na,-30872.5142536,0.5,ins,3,sel,5168089.79623,sel_ins_theta_3|sel_ins_theta_1|sel_ins_e_3|sel_del_theta_1|sel_del_e_1|sel_del_e_2|sel_del_e_3,25000,False,indel_discrete_3class_equal_t,38,-11.8224832476,-10336103.5925,-46.0632847808
10,1,3,1e-12,na,na,-39046.6687963,0.182032614557,ins,1,sel,5168089.79623,sel_ins_theta_3|sel_ins_theta_1|sel_ins_e_3|sel_del_theta_1|sel_del_e_1|sel_del_e_2|sel_del_e_3,25000,False,indel_discrete_3class_equal_t,38,-11.8224832476,-10336103.5925,-46.0632847808
1,14,3,0.00022312194317,na,na,0,0.038209427411,del,1,neu,5168044.88966,,15000,True,indel_discrete_1class_equal_t,26,-11.6626238718,-10336037.7793,-111.87642676
1,14,3,0.00022312194317,na,na,-0.775033942494,0.0451545639472,del,1,sel,5168044.88966,,15000,True,indel_discrete_1class_equal_t,26,-11.6626238718,-10336037.7793,-111.87642676
1,14,3,0.000160549187352,na,na,0,0.0711463982636,ins,1,neu,5168044.88966,,15000,True,indel_discrete_1class_equal_t,26,-13.1994703796,-10336037.7793,-111.87642676
