run,imp,exit_code,theta,scale,shape,gamma,e,var_type,site_class,sel_type,lnL,boundaries_hit,searches,converged,model,params,alpha,AIC,delta_AIC
6,51,3,0.000223215874137,na,na,0,0.0201960944303,del,1,neu,5168114.11138,,125000,False,indel_discrete_2class_equal_t,32,-0.230122722427,-10336164.2228,0.0
6,51,3,0.000149785132993,na,na,0,0.024741857469,ins,1,neu,5168114.11138,,125000,False,indel_discrete_2class_equal_t,32,-10.1324551346,-10336164.2228,0.0
6,51,3,0.000136187500618,na,na,-0.413989350446,9.91605755131e-06,ins,1,sel,5168114.11138,,125000,False,indel_discrete_2class_equal_t,32,-10.1324551346,-10336164.2228,0.0
6,51,3,0.000135483184526,na,na,-3.53764398633,0.00415939169449,del,2,sel,5168114.11138,,125000,False,indel_discrete_2class_equal_t,32,-0.230122722427,-10336164.2228,0.0
6,51,3,8.77326896113e-05,na,na,2.39821127044,0.00497778257018,del,1,sel,5168114.11138,,125000,False,indel_discrete_2class_equal_t,32,-0.230122722427,-10336164.2228,0.0
6,51,3,1.35976323749e-05,na,na,16.0758319757,0.0291456510194,ins,2,sel,5168114.11138,,125000,False,indel_discrete_2class_equal_t,32,-10.1324551346,-10336164.2228,0.0
19,34,3,0.000225647978222,na,na,0,0.0251730786074,del,1,neu,5168116.94067,sel_del_gamma_3|sel_ins_gamma_2|sel_ins_e_2|sel_del_e_3,5000,False,indel_discrete_3class_equal_t,38,0.838364225713,-10336157.8813,-6.3414128013
19,34,3,0.000150121436484,na,na,0,0.0335020218473,ins,1,neu,5168116.94067,sel_del_gamma_3|sel_ins_gamma_2|sel_ins_e_2|sel_del_e_3,5000,False,indel_discrete_3class_equal_t,38,-11.3573138934,-10336157.8813,-6.3414128013
19,34,3,0.000141521394326,na,na,-0.285068230569,3.86485522939e-07,ins,1,sel,5168116.94067,sel_del_gamma_3|sel_ins_gamma_2|sel_ins_e_2|sel_del_e_3,5000,False,indel_discrete_3class_equal_t,38,-11.3573138934,-10336157.8813,-6.3414128013
19,34,3,0.000138626581499,na,na,0.524126595129,0.00617877051197,del,1,sel,5168116.94067,sel_del_gamma_3|sel_ins_gamma_2|sel_ins_e_2|sel_del_e_3,5000,False,indel_discrete_3class_equal_t,38,0.838364225713,-10336157.8813,-6.3414128013
19,34,3,8.17560947048e-05,na,na,-5.45995268527,8.2959479864e-05,del,2,sel,5168116.94067,sel_del_gamma_3|sel_ins_gamma_2|sel_ins_e_2|sel_del_e_3,5000,False,indel_discrete_3class_equal_t,38,0.838364225713,-10336157.8813,-6.3414128013
19,34,3,6.25514051453e-06,na,na,44.0236099343,0.195275278744,ins,3,sel,5168116.94067,sel_del_gamma_3|sel_ins_gamma_2|sel_ins_e_2|sel_del_e_3,5000,False,indel_discrete_3class_equal_t,38,-11.3573138934,-10336157.8813,-6.3414128013
19,34,3,5.26530201856e-06,na,na,99999.9625253,0.499999992549,del,3,sel,5168116.94067,sel_del_gamma_3|sel_ins_gamma_2|sel_ins_e_2|sel_del_e_3,5000,False,indel_discrete_3class_equal_t,38,0.838364225713,-10336157.8813,-6.3414128013
19,34,3,2.34490164342e-06,na,na,99999.9999999,0.499999156197,ins,2,sel,5168116.94067,sel_del_gamma_3|sel_ins_gamma_2|sel_ins_e_2|sel_del_e_3,5000,False,indel_discrete_3class_equal_t,38,-11.3573138934,-10336157.8813,-6.3414128013
5,1,3,0.000234252208102,na,na,0,0.0417184866366,del,1,neu,5168102.82787,r_19|sel_ins_scale,10000,True,indel_continuous_1class_equal_t,28,-3.19113132057,-10336149.6557,-14.5670147203
5,1,3,0.000234252208102,20.788497591,0.121655669021,na,0.0455154743338,del,1,sel,5168102.82787,r_19|sel_ins_scale,10000,True,indel_continuous_1class_equal_t,28,-3.19113132057,-10336149.6557,-14.5670147203
5,1,3,0.000158167323214,na,na,0,0.0697609682162,ins,1,neu,5168102.82787,r_19|sel_ins_scale,10000,True,indel_continuous_1class_equal_t,28,-14.1666111459,-10336149.6557,-14.5670147203
5,1,3,0.000158167323214,0.1,0.00126380737162,na,0.0581603297964,ins,1,sel,5168102.82787,r_19|sel_ins_scale,10000,True,indel_continuous_1class_equal_t,28,-14.1666111459,-10336149.6557,-14.5670147203
1,14,3,0.00022312194317,na,na,0,0.038209427411,del,1,neu,5168044.88966,,15000,True,indel_discrete_1class_equal_t,26,-11.6626238718,-10336037.7793,-126.44344148
1,14,3,0.00022312194317,na,na,-0.775033942494,0.0451545639472,del,1,sel,5168044.88966,,15000,True,indel_discrete_1class_equal_t,26,-11.6626238718,-10336037.7793,-126.44344148
1,14,3,0.000160549187352,na,na,0,0.0711463982636,ins,1,neu,5168044.88966,,15000,True,indel_discrete_1class_equal_t,26,-13.1994703796,-10336037.7793,-126.44344148
1,14,3,0.000160549187352,na,na,-0.130491011108,0.0584948116368,ins,1,sel,5168044.88966,,15000,True,indel_discrete_1class_equal_t,26,-13.1994703796,-10336037.7793,-126.44344148
