run,imp,exit_code,theta,scale,shape,gamma,e,var_type,site_class,sel_type,lnL,boundaries_hit,searches,converged,model,params,alpha,AIC,delta_AIC
12,1,6,0.00024804484751,43.9799602112,0.143433172415,na,0.0391568809192,del,1,sel,5168118.07856,,12500,False,indel_continuous_1class,30,NA,-10336176.1571,0.0
12,1,6,0.00021915440281,na,na,0,0.033885034685,del,1,neu,5168118.07856,,12500,False,indel_continuous_1class,30,NA,-10336176.1571,0.0
12,1,6,0.000159759838695,13.6438769535,0.0627789108947,na,0.0480125716517,ins,1,sel,5168118.07856,,12500,False,indel_continuous_1class,30,NA,-10336176.1571,0.0
12,1,6,0.000145013174097,na,na,0,0.0535106678564,ins,1,neu,5168118.07856,,12500,False,indel_continuous_1class,30,NA,-10336176.1571,0.0
10,1,3,0.000225745821888,na,na,0,0.0441279847269,del,1,neu,5168109.21058,r_19|sel_ins_e_2|sel_del_e_2,12500,True,indel_discrete_2class,34,NA,-10336150.4212,-25.7359430213
10,1,3,0.000204685983219,na,na,-1.45620737538,0,del,2,sel,5168109.21058,r_19|sel_ins_e_2|sel_del_e_2,12500,True,indel_discrete_2class,34,NA,-10336150.4212,-25.7359430213
10,1,3,0.0001533848022,na,na,-1.04706213996,0.0607279640587,ins,1,sel,5168109.21058,r_19|sel_ins_e_2|sel_del_e_2,12500,True,indel_discrete_2class,34,NA,-10336150.4212,-25.7359430213
10,1,3,0.000150437033539,na,na,0,0.0721136531341,ins,1,neu,5168109.21058,r_19|sel_ins_e_2|sel_del_e_2,12500,True,indel_discrete_2class,34,NA,-10336150.4212,-25.7359430213
10,1,3,2.26969401696e-05,na,na,89138.4705901,0.419691835355,del,1,sel,5168109.21058,r_19|sel_ins_e_2|sel_del_e_2,12500,True,indel_discrete_2class,34,NA,-10336150.4212,-25.7359430213
10,1,3,8.65195311831e-06,na,na,1595.86626875,0,ins,2,sel,5168109.21058,r_19|sel_ins_e_2|sel_del_e_2,12500,True,indel_discrete_2class,34,NA,-10336150.4212,-25.7359430213
17,1,3,0.000225746006323,na,na,0,0.0441271484048,del,1,neu,5168109.20821,r_19|sel_ins_theta_1|sel_ins_e_3|sel_ins_e_1|sel_del_e_1|sel_del_e_3,12500,True,indel_discrete_3class,40,NA,-10336138.4164,-37.7406970598
17,1,3,0.000204687900539,na,na,-1.45610550531,0,del,3,sel,5168109.20821,r_19|sel_ins_theta_1|sel_ins_e_3|sel_ins_e_1|sel_del_e_1|sel_del_e_3,12500,True,indel_discrete_3class,40,NA,-10336138.4164,-37.7406970598
17,1,3,0.000153384938238,na,na,-1.04693259584,0.0607278467195,ins,2,sel,5168109.20821,r_19|sel_ins_theta_1|sel_ins_e_3|sel_ins_e_1|sel_del_e_1|sel_del_e_3,12500,True,indel_discrete_3class,40,NA,-10336138.4164,-37.7406970598
17,1,3,0.000150437102511,na,na,0,0.0721122055566,ins,1,neu,5168109.20821,r_19|sel_ins_theta_1|sel_ins_e_3|sel_ins_e_1|sel_del_e_1|sel_del_e_3,12500,True,indel_discrete_3class,40,NA,-10336138.4164,-37.7406970598
17,1,3,2.26935179704e-05,na,na,59160.8410642,0.419710494304,del,2,sel,5168109.20821,r_19|sel_ins_theta_1|sel_ins_e_3|sel_ins_e_1|sel_del_e_1|sel_del_e_3,12500,True,indel_discrete_3class,40,NA,-10336138.4164,-37.7406970598
17,1,3,8.65131514803e-06,na,na,69765.2270552,0,ins,3,sel,5168109.20821,r_19|sel_ins_theta_1|sel_ins_e_3|sel_ins_e_1|sel_del_e_1|sel_del_e_3,12500,True,indel_discrete_3class,40,NA,-10336138.4164,-37.7406970598
17,1,3,2.04341399582e-10,na,na,-37785.9392822,0,del,1,sel,5168109.20821,r_19|sel_ins_theta_1|sel_ins_e_3|sel_ins_e_1|sel_del_e_1|sel_del_e_3,12500,True,indel_discrete_3class,40,NA,-10336138.4164,-37.7406970598
17,1,3,1e-12,na,na,37869.6049676,0,ins,1,sel,5168109.20821,r_19|sel_ins_theta_1|sel_ins_e_3|sel_ins_e_1|sel_del_e_1|sel_del_e_3,12500,True,indel_discrete_3class,40,NA,-10336138.4164,-37.7406970598
4,1,3,0.000280680729964,na,na,0,0.0696981288012,del,1,neu,5167234.70277,sel_ins_e_1,12500,True,indel_discrete_1class,28,NA,-10334413.4055,-1762.7515707
4,1,3,0.000199623944146,na,na,30909.4034393,0.0309004535223,del,1,sel,5167234.70277,sel_ins_e_1,12500,True,indel_discrete_1class,28,NA,-10334413.4055,-1762.7515707
4,1,3,0.000191553400676,na,na,0,0.12206147705,ins,1,neu,5167234.70277,sel_ins_e_1,12500,True,indel_discrete_1class,28,NA,-10334413.4055,-1762.7515707
4,1,3,0.00014516274662,na,na,27.5290758078,0,ins,1,sel,5167234.70277,sel_ins_e_1,12500,True,indel_discrete_1class,28,NA,-10334413.4055,-1762.7515707
