run,imp,exit_code,theta,scale,shape,gamma,e,var_type,site_class,sel_type,lnL,boundaries_hit,searches,converged,model,params,window
329,1,3,0.000272282512941,na,na,0,0.0431884142471,del,1,neu,89075.360538,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,360
329,1,3,0.000272282512941,0.1,0.001,na,0.0650232315475,del,1,sel,89075.360538,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,360
329,1,3,0.000183378875447,na,na,0,0.0772003466792,ins,1,neu,89075.360538,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,360
329,1,3,0.000183378875447,0.1,0.001,na,0.0549744139746,ins,1,sel,89075.360538,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,360
86,1,3,0.000268330203682,na,na,0,0.0438971108693,del,1,neu,88645.338692,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,354
86,1,3,0.000268330203682,0.1,0.001,na,0.06770904052,del,1,sel,88645.338692,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,354
86,1,3,0.000181063354415,na,na,0,0.0786749630634,ins,1,neu,88645.338692,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,354
86,1,3,0.000181063354415,0.1,0.001,na,0.0515384264163,ins,1,sel,88645.338692,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,354
427,1,3,0.000273834615029,na,na,0,0.0435632584439,del,1,neu,88486.3054664,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,362
427,1,3,0.000273834615029,0.1,0.001,na,0.0504176761751,del,1,sel,88486.3054664,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,362
427,1,3,0.000182037414601,na,na,0,0.076381101102,ins,1,neu,88486.3054664,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,362
427,1,3,0.000182037414601,0.1,0.001,na,0.0718566427297,ins,1,sel,88486.3054664,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,362
348,1,3,0.000272411226697,na,na,0,0.0437525210116,del,1,neu,88209.9600722,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,259
348,1,3,0.000272411226697,0.1,0.001,na,0.0515258084383,del,1,sel,88209.9600722,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,259
348,1,3,0.000182875618545,na,na,0,0.0777186507636,ins,1,neu,88209.9600722,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,259
348,1,3,0.000182875618545,0.1,0.001,na,0.0670936510205,ins,1,sel,88209.9600722,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,259
305,1,3,0.000270972904493,na,na,0,0.0436563635929,del,1,neu,88137.651028,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,276
305,1,3,0.000270972904493,0.1,0.001,na,0.0508396108772,del,1,sel,88137.651028,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,276
305,1,3,0.000180457523772,na,na,0,0.0766445190409,ins,1,neu,88137.651028,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,276
305,1,3,0.000180457523772,0.1,0.001,na,0.0590234314308,ins,1,sel,88137.651028,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,276
105,1,3,0.00026595277163,na,na,0,0.0429321013649,del,1,neu,88004.1695106,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,378
105,1,3,0.00026595277163,0.1,0.001,na,0.0626350040245,del,1,sel,88004.1695106,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,378
105,1,3,0.000177292703345,na,na,0,0.0756601446135,ins,1,neu,88004.1695106,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,378
105,1,3,0.000177292703345,0.1,0.001,na,0.0636407402916,ins,1,sel,88004.1695106,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,378
85,1,3,0.000268994481603,na,na,0,0.0446475206866,del,1,neu,87947.238426,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,363
85,1,3,0.000268994481603,0.1,0.001,na,0.0582041151235,del,1,sel,87947.238426,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,363
85,1,3,0.000178796534454,na,na,0,0.0783755720373,ins,1,neu,87947.238426,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,363
85,1,3,0.000178796534454,0.1,0.001,na,0.0536547450134,ins,1,sel,87947.238426,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,363
338,1,3,0.000268348717214,na,na,0,0.0443803787903,del,1,neu,87935.6910813,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,222
338,1,3,0.000268348717214,0.1,0.001,na,0.0622349260576,del,1,sel,87935.6910813,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,222
338,1,3,0.000178285586993,na,na,0,0.077753297139,ins,1,neu,87935.6910813,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,222
338,1,3,0.000178285586993,0.1,0.001,na,0.0612671537262,ins,1,sel,87935.6910813,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,222
402,1,3,0.000271144899416,na,na,0,0.0436726428669,del,1,neu,87927.4797966,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,251
402,1,3,0.000271144899416,0.1,0.001,na,0.0521189058758,del,1,sel,87927.4797966,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,251
402,1,3,0.000181110965932,na,na,0,0.0771566511423,ins,1,neu,87927.4797966,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,251
402,1,3,0.000181110965932,0.1,0.001,na,0.0582414779532,ins,1,sel,87927.4797966,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,251
439,1,3,0.000269539707339,na,na,0,0.0435986726929,del,1,neu,87794.4937384,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,302
439,1,3,0.000269539707339,0.1,0.001,na,0.0441211870828,del,1,sel,87794.4937384,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,302
439,1,3,0.000178147700282,na,na,0,0.0758483271009,ins,1,neu,87794.4937384,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,302
439,1,3,0.000178147700282,0.1,0.001,na,0.0419121799156,ins,1,sel,87794.4937384,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,302
234,1,3,0.000268152050221,na,na,0,0.0429877717806,del,1,neu,87575.4234017,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,355
234,1,3,0.000268152050221,0.1,0.001,na,0.0564834025026,del,1,sel,87575.4234017,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,355
234,1,3,0.000176391284513,na,na,0,0.0743106081604,ins,1,neu,87575.4234017,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,355
234,1,3,0.000176391284513,0.1,0.001,na,0.0438753111459,ins,1,sel,87575.4234017,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,355
91,1,3,0.000268136045019,na,na,0,0.0440882187822,del,1,neu,87555.6967115,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,116
91,1,3,0.000268136045019,0.1,0.001,na,0.064488573732,del,1,sel,87555.6967115,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,116
91,1,3,0.000177707274006,na,na,0,0.076897631534,ins,1,neu,87555.6967115,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,116
91,1,3,0.000177707274006,0.1,0.001,na,0.0582494115299,ins,1,sel,87555.6967115,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,116
174,1,3,0.000265570857284,na,na,0,0.0445509522855,del,1,neu,87536.7018706,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,148
