bin	count	type
1	5212	ins
1	6433	del
2	4312	ins
2	5486	del
3	3630	ins
3	4680	del
4	2985	ins
4	3873	del
5	2807	ins
5	3693	del
6	2457	ins
6	3338	del
7	2368	ins
7	3062	del
8	2210	ins
8	2810	del
9	2012	ins
9	2612	del
10	1930	ins
10	2480	del
11	1903	ins
11	2336	del
12	1747	ins
12	2212	del
13	1582	ins
13	2110	del
14	1512	ins
14	2093	del
15	1416	ins
15	1969	del
16	1390	ins
16	1856	del
17	1353	ins
17	1841	del
18	1246	ins
18	1706	del
19	1241	ins
19	1745	del
20	1292	ins
20	1636	del
21	1199	ins
21	1586	del
22	1092	ins
22	1518	del
23	1084	ins
23	1512	del
24	1108	ins
24	1408	del
25	1081	ins
25	1435	del
26	972	ins
26	1336	del
27	975	ins
27	1241	del
28	1010	ins
28	1273	del
29	961	ins
29	1292	del
30	951	ins
30	1275	del
31	978	ins
31	1289	del
32	880	ins
32	1078	del
33	804	ins
33	1159	del
34	825	ins
34	1101	del
35	836	ins
35	1044	del
36	812	ins
36	1159	del
37	761	ins
37	1050	del
38	792	ins
38	1031	del
39	722	ins
39	952	del
40	770	ins
40	981	del
41	720	ins
41	979	del
42	692	ins
42	926	del
43	711	ins
43	861	del
44	667	ins
44	871	del
45	669	ins
45	876	del
46	677	ins
46	836	del
47	659	ins
47	842	del
48	643	ins
48	793	del
49	600	ins
49	827	del
50	604	ins
50	863	del
51	603	ins
51	852	del
52	569	ins
52	797	del
53	579	ins
53	777	del
54	510	ins
54	730	del
55	538	ins
55	731	del
56	558	ins
56	762	del
57	583	ins
57	704	del
58	486	ins
58	721	del
59	556	ins
59	674	del
60	531	ins
60	670	del
61	465	ins
61	696	del
62	506	ins
62	667	del
63	487	ins
63	650	del
64	483	ins
64	652	del
65	446	ins
65	556	del
66	458	ins
66	590	del
67	462	ins
67	608	del
68	424	ins
68	601	del
69	413	ins
69	539	del
70	397	ins
70	616	del
71	406	ins
71	575	del
72	445	ins
72	595	del
73	383	ins
73	483	del
74	368	ins
74	506	del
75	409	ins
75	537	del
76	378	ins
76	483	del
77	345	ins
77	490	del
78	369	ins
78	470	del
79	371	ins
79	469	del
80	356	ins
80	460	del
81	351	ins
81	474	del
82	300	ins
82	494	del
83	337	ins
83	419	del
84	307	ins
84	448	del
85	345	ins
85	405	del
86	329	ins
86	434	del
87	297	ins
87	448	del
88	327	ins
88	400	del
89	321	ins
89	423	del
90	310	ins
90	392	del
91	280	ins
91	411	del
92	327	ins
92	407	del
93	335	ins
93	399	del
94	284	ins
94	419	del
95	275	ins
95	343	del
96	251	ins
96	350	del
