bin	count	type
1	36752	ins
1	45242	del
2	16567	ins
2	21311	del
3	11167	ins
3	14328	del
4	8538	ins
4	10939	del
5	7229	ins
5	9163	del
6	6065	ins
6	7808	del
7	5343	ins
7	6786	del
8	4617	ins
8	6049	del
9	4244	ins
9	5464	del
10	3771	ins
10	5223	del
11	3593	ins
11	4685	del
12	3260	ins
12	4285	del
13	3136	ins
13	3986	del
14	2844	ins
14	3801	del
15	2570	ins
15	3447	del
16	2581	ins
16	3329	del
17	2390	ins
17	3001	del
18	2220	ins
18	3003	del
19	2105	ins
19	2736	del
20	2054	ins
20	2552	del
21	2042	ins
21	2481	del
22	1879	ins
22	2415	del
23	1870	ins
23	2329	del
24	1681	ins
24	2144	del
25	1611	ins
25	2081	del
26	1544	ins
26	2081	del
27	1485	ins
27	2024	del
28	1399	ins
28	1884	del
29	1352	ins
29	1820	del
30	1316	ins
30	1852	del
31	1374	ins
31	1718	del
32	1207	ins
32	1644	del
33	1209	ins
33	1637	del
34	1175	ins
34	1571	del
35	1123	ins
35	1504	del
36	1116	ins
36	1457	del
37	1123	ins
37	1440	del
38	1034	ins
38	1470	del
39	1093	ins
39	1298	del
40	1054	ins
40	1322	del
41	987	ins
41	1322	del
42	996	ins
42	1296	del
43	905	ins
43	1208	del
44	862	ins
44	1146	del
45	849	ins
45	1188	del
46	856	ins
46	1196	del
47	891	ins
47	1090	del
48	806	ins
48	1076	del
49	799	ins
49	1032	del
50	853	ins
50	1084	del
51	735	ins
51	1012	del
52	730	ins
52	957	del
53	690	ins
53	935	del
54	718	ins
54	893	del
55	746	ins
55	909	del
56	678	ins
56	918	del
57	669	ins
57	879	del
58	665	ins
58	869	del
59	664	ins
59	894	del
60	629	ins
60	805	del
61	699	ins
61	898	del
62	594	ins
62	793	del
63	590	ins
63	746	del
64	586	ins
64	742	del
65	541	ins
65	760	del
66	541	ins
66	760	del
67	558	ins
67	757	del
68	536	ins
68	739	del
69	513	ins
69	729	del
70	554	ins
70	683	del
71	541	ins
71	733	del
72	519	ins
72	715	del
73	478	ins
73	659	del
74	472	ins
74	670	del
75	513	ins
75	631	del
76	475	ins
76	661	del
77	448	ins
77	610	del
78	481	ins
78	606	del
79	478	ins
79	582	del
80	427	ins
80	578	del
81	460	ins
81	586	del
82	404	ins
82	593	del
83	409	ins
83	581	del
84	429	ins
84	545	del
85	376	ins
85	496	del
86	442	ins
86	529	del
87	416	ins
87	503	del
88	406	ins
88	519	del
89	381	ins
89	537	del
90	405	ins
90	496	del
91	402	ins
91	489	del
92	391	ins
92	513	del
93	388	ins
93	494	del
94	380	ins
94	480	del
95	386	ins
95	466	del
96	342	ins
96	432	del
97	328	ins
97	506	del
98	323	ins
98	450	del
99	366	ins
99	486	del
100	299	ins
100	460	del
101	358	ins
101	481	del
102	313	ins
102	453	del
103	300	ins
103	441	del
104	343	ins
104	445	del
105	356	ins
105	419	del
106	311	ins
106	441	del
107	265	ins
107	385	del
108	276	ins
108	415	del
109	303	ins
109	402	del
110	294	ins
110	385	del
111	308	ins
111	404	del
112	314	ins
112	394	del
113	309	ins
113	367	del
114	310	ins
114	395	del
115	266	ins
115	367	del
116	280	ins
116	399	del
117	307	ins
117	377	del
118	267	ins
118	336	del
119	277	ins
119	340	del
120	274	ins
120	362	del
121	251	ins
121	355	del
122	226	ins
122	358	del
123	268	ins
123	354	del
124	262	ins
124	306	del
125	261	ins
125	335	del
126	229	ins
126	332	del
127	246	ins
127	326	del
128	266	ins
128	322	del
129	200	ins
129	286	del
130	259	ins
130	330	del
131	240	ins
131	305	del
132	243	ins
132	288	del
133	245	ins
133	304	del
134	223	ins
134	312	del
135	233	ins
135	310	del
136	195	ins
136	297	del
137	199	ins
137	274	del
138	219	ins
138	272	del
139	195	ins
139	298	del
140	196	ins
140	308	del
141	208	ins
141	298	del
142	198	ins
142	295	del
143	198	ins
143	287	del
144	234	ins
144	269	del
145	190	ins
145	243	del
146	191	ins
146	249	del
147	169	ins
147	256	del
148	182	ins
148	246	del
149	208	ins
149	262	del
150	185	ins
150	265	del
151	187	ins
151	239	del
152	171	ins
152	242	del
153	181	ins
153	237	del
154	152	ins
154	238	del
155	207	ins
155	244	del
156	166	ins
156	224	del
157	170	ins
157	224	del
158	184	ins
158	226	del
159	178	ins
159	215	del
160	171	ins
160	215	del
161	173	ins
161	213	del
162	162	ins
162	239	del
163	136	ins
163	242	del
164	148	ins
164	246	del
165	178	ins
165	209	del
166	156	ins
166	197	del
167	146	ins
167	226	del
168	142	ins
168	215	del
169	166	ins
169	185	del
170	131	ins
170	181	del
171	140	ins
171	194	del
172	150	ins
172	189	del
173	126	ins
173	218	del
174	145	ins
174	211	del
175	148	ins
175	186	del
176	158	ins
176	194	del
177	143	ins
177	182	del
178	145	ins
178	205	del
179	140	ins
179	168	del
180	146	ins
180	189	del
181	137	ins
181	167	del
182	128	ins
182	186	del
183	150	ins
183	191	del
184	143	ins
184	183	del
185	148	ins
185	182	del
186	158	ins
186	173	del
187	149	ins
187	191	del
188	136	ins
188	184	del
189	141	ins
189	166	del
190	116	ins
190	135	del
191	118	ins
191	180	del
192	109	ins
192	149	del
193	115	ins
193	158	del
194	115	ins
194	167	del
195	124	ins
195	173	del
196	121	ins
196	150	del
197	107	ins
197	192	del
198	115	ins
198	143	del
199	135	ins
199	153	del
200	129	ins
200	174	del
201	105	ins
201	152	del
202	117	ins
202	159	del
203	132	ins
203	160	del
204	121	ins
204	179	del
205	132	ins
205	189	del
206	102	ins
206	136	del
207	112	ins
207	170	del
208	102	ins
208	143	del
209	124	ins
209	139	del
210	119	ins
210	143	del
211	113	ins
211	143	del
212	100	ins
212	161	del
213	105	ins
213	149	del
214	108	ins
214	129	del
215	98	ins
215	128	del
216	82	ins
216	140	del
217	95	ins
217	139	del
218	92	ins
218	126	del
219	90	ins
219	128	del
220	95	ins
220	130	del
221	90	ins
221	122	del
222	96	ins
222	128	del
223	93	ins
223	123	del
224	89	ins
224	124	del
225	115	ins
225	149	del
226	113	ins
226	107	del
227	77	ins
227	135	del
228	112	ins
228	125	del
229	113	ins
229	122	del
230	70	ins
230	145	del
231	84	ins
231	135	del
232	94	ins
232	117	del
233	99	ins
233	115	del
234	80	ins
234	112	del
235	82	ins
235	121	del
236	89	ins
236	134	del
237	85	ins
237	120	del
238	78	ins
238	122	del
239	97	ins
239	139	del
240	90	ins
240	109	del
241	78	ins
241	114	del
242	89	ins
242	114	del
243	97	ins
243	125	del
244	70	ins
244	98	del
245	83	ins
245	112	del
246	78	ins
246	103	del
247	79	ins
247	99	del
248	90	ins
248	101	del
249	84	ins
249	100	del
250	76	ins
250	106	del
251	61	ins
251	85	del
252	79	ins
252	93	del
253	76	ins
253	130	del
254	71	ins
254	96	del
255	72	ins
255	93	del
256	70	ins
256	82	del
257	73	ins
257	99	del
258	58	ins
258	81	del
259	71	ins
259	88	del
260	79	ins
260	64	del
261	71	ins
261	97	del
262	61	ins
262	88	del
263	58	ins
263	74	del
264	67	ins
264	97	del
265	60	ins
265	84	del
266	75	ins
266	81	del
267	63	ins
267	81	del
268	60	ins
268	90	del
269	59	ins
269	106	del
270	51	ins
270	74	del
271	60	ins
271	80	del
272	52	ins
272	91	del
273	63	ins
273	70	del
274	77	ins
274	82	del
275	60	ins
275	62	del
276	56	ins
276	102	del
277	52	ins
277	86	del
278	52	ins
278	68	del
279	55	ins
279	78	del
280	67	ins
280	75	del
281	68	ins
281	65	del
282	53	ins
282	81	del
283	64	ins
283	70	del
284	62	ins
284	70	del
285	47	ins
285	67	del
286	46	ins
286	73	del
287	60	ins
287	70	del
288	62	ins
288	79	del
289	57	ins
289	76	del
290	65	ins
290	66	del
291	59	ins
291	78	del
292	53	ins
292	76	del
293	51	ins
293	75	del
294	55	ins
294	75	del
295	58	ins
295	72	del
296	47	ins
296	60	del
297	55	ins
297	55	del
298	47	ins
298	60	del
299	33	ins
299	64	del
300	64	ins
300	87	del
301	47	ins
301	66	del
302	60	ins
302	54	del
303	51	ins
303	79	del
304	64	ins
304	52	del
305	54	ins
305	58	del
306	60	ins
306	60	del
307	54	ins
307	67	del
308	57	ins
308	71	del
309	59	ins
309	66	del
310	55	ins
310	61	del
311	49	ins
311	52	del
312	44	ins
312	54	del
313	38	ins
313	51	del
314	53	ins
314	70	del
315	48	ins
315	66	del
316	50	ins
316	51	del
317	35	ins
317	58	del
318	54	ins
318	53	del
319	53	ins
319	57	del
320	44	ins
320	57	del
321	45	ins
321	52	del
322	49	ins
322	76	del
323	52	ins
323	73	del
324	47	ins
324	73	del
325	36	ins
325	54	del
326	44	ins
326	57	del
327	56	ins
327	88	del
328	45	ins
328	59	del
329	33	ins
329	67	del
330	49	ins
330	63	del
331	39	ins
331	80	del
332	42	ins
332	58	del
333	41	ins
333	59	del
334	40	ins
334	44	del
335	42	ins
335	50	del
336	42	ins
336	55	del
337	35	ins
337	47	del
338	43	ins
338	56	del
339	46	ins
339	59	del
340	31	ins
340	52	del
341	53	ins
341	60	del
342	36	ins
342	50	del
343	28	ins
343	57	del
344	39	ins
344	51	del
345	24	ins
345	59	del
346	42	ins
346	46	del
347	42	ins
347	53	del
348	37	ins
348	42	del
349	36	ins
349	47	del
350	44	ins
350	50	del
351	37	ins
351	47	del
352	47	ins
352	39	del
353	35	ins
353	57	del
354	33	ins
354	59	del
355	31	ins
355	42	del
356	32	ins
356	41	del
357	34	ins
357	37	del
358	27	ins
358	53	del
359	32	ins
359	42	del
360	28	ins
360	33	del
361	21	ins
361	33	del
362	32	ins
362	40	del
363	33	ins
363	45	del
364	34	ins
364	39	del
365	27	ins
365	37	del
366	47	ins
366	40	del
367	35	ins
367	44	del
368	31	ins
368	41	del
369	29	ins
369	34	del
370	29	ins
370	31	del
371	32	ins
371	31	del
372	25	ins
372	30	del
373	23	ins
373	29	del
374	27	ins
374	43	del
375	27	ins
375	36	del
376	34	ins
376	33	del
377	25	ins
377	42	del
378	25	ins
378	51	del
379	25	ins
