bin	count	type
1	104248	ins
1	131710	del
2	26729	ins
2	34648	del
3	16166	ins
3	20994	del
4	11503	ins
4	14979	del
5	8801	ins
5	11560	del
6	6919	ins
6	9019	del
7	5710	ins
7	7563	del
8	4828	ins
8	6419	del
9	4122	ins
9	5347	del
10	3603	ins
10	4752	del
11	3117	ins
11	4235	del
12	2911	ins
12	3716	del
13	2467	ins
13	3290	del
14	2188	ins
14	2945	del
15	1958	ins
15	2652	del
16	1767	ins
16	2288	del
17	1537	ins
17	2141	del
18	1439	ins
18	1927	del
19	1405	ins
19	1752	del
20	1188	ins
20	1629	del
21	1166	ins
21	1562	del
22	978	ins
22	1363	del
23	968	ins
23	1271	del
24	878	ins
24	1220	del
25	824	ins
25	1069	del
26	709	ins
26	901	del
27	625	ins
27	869	del
28	594	ins
28	790	del
29	584	ins
29	710	del
30	522	ins
30	699	del
31	561	ins
31	633	del
32	468	ins
32	566	del
33	456	ins
33	655	del
34	401	ins
34	559	del
35	380	ins
35	513	del
36	336	ins
36	448	del
37	317	ins
37	381	del
38	260	ins
38	366	del
39	253	ins
39	298	del
40	250	ins
40	320	del
41	228	ins
41	277	del
42	210	ins
42	294	del
43	174	ins
43	217	del
44	161	ins
44	233	del
45	155	ins
45	203	del
46	142	ins
46	218	del
47	150	ins
47	186	del
48	131	ins
48	187	del
49	134	ins
49	171	del
50	96	ins
50	130	del
51	90	ins
51	101	del
52	93	ins
52	119	del
53	89	ins
53	105	del
54	63	ins
54	117	del
55	66	ins
55	94	del
56	67	ins
56	87	del
57	56	ins
57	90	del
58	53	ins
58	88	del
59	86	ins
59	105	del
60	66	ins
60	88	del
61	45	ins
61	55	del
62	50	ins
62	52	del
63	44	ins
63	61	del
64	52	ins
64	53	del
65	40	ins
65	51	del
66	52	ins
66	64	del
67	38	ins
67	35	del
68	32	ins
68	44	del
69	36	ins
69	38	del
70	21	ins
70	25	del
71	12	ins
71	18	del
72	19	ins
72	15	del
73	26	ins
73	22	del
74	16	ins
74	12	del
75	27	ins
75	16	del
76	13	ins
76	30	del
77	6	ins
77	19	del
78	16	ins
78	15	del
79	13	ins
79	9	del
80	16	ins
80	23	del
81	11	ins
81	9	del
82	17	ins
82	18	del
83	9	ins
83	15	del
84	20	ins
84	12	del
85	17	ins
85	22	del
86	24	ins
86	16	del
87	7	ins
87	21	del
88	19	ins
88	29	del
89	13	ins
89	22	del
90	14	ins
90	14	del
91	5	ins
91	14	del
92	18	ins
92	18	del
93	15	ins
93	11	del
94	13	ins
94	22	del
95	11	ins
95	12	del
96	9	ins
96	15	del
97	11	ins
97	5	del
98	10	ins
98	18	del
99	15	ins
99	17	del
100	8	ins
100	13	del
101	5	ins
101	9	del
102	17	ins
102	13	del
103	6	ins
103	11	del
104	11	ins
104	11	del
105	12	ins
105	12	del
106	8	ins
106	12	del
107	10	ins
107	14	del
108	12	ins
108	7	del
109	8	ins
109	9	del
110	3	ins
110	9	del
111	2	ins
111	11	del
112	9	ins
112	6	del
113	1	ins
113	2	del
114	3	ins
114	10	del
115	2	ins
115	3	del
116	5	ins
116	11	del
117	7	ins
117	11	del
118	3	ins
118	6	del
119	6	ins
119	7	del
120	1	ins
120	6	del
121	4	ins
121	8	del
122	3	ins
122	6	del
123	3	ins
123	13	del
124	0	ins
124	6	del
125	1	ins
125	5	del
126	2	ins
126	2	del
127	4	ins
127	5	del
128	4	ins
128	9	del
129	3	ins
129	6	del
130	4	ins
130	6	del
131	0	ins
131	1	del
132	4	ins
132	3	del
133	6	ins
133	3	del
134	4	ins
134	2	del
135	8	ins
135	4	del
136	5	ins
136	8	del
137	2	ins
137	1	del
