run,imp,exit_code,theta,scale,shape,gamma,e,var_type,site_class,sel_type,lnL,boundaries_hit,searches,converged,model,params,bin
293,1,3,0.000222680778047,128.963002076,0.0716990395866,na,0.0185856183142,del,1,sel,337177.93802,neu_ins_e_1,500,True,indel_continuous_1class,30,1
293,1,3,0.00021317954031,na,na,0,0.0132203009513,del,1,neu,337177.93802,neu_ins_e_1,500,True,indel_continuous_1class,30,1
293,1,3,0.000155967792459,92.7209179066,0.00930417216075,na,0.0100198078712,ins,1,sel,337177.93802,neu_ins_e_1,500,True,indel_continuous_1class,30,1
293,1,3,0.000135994846279,na,na,0,0,ins,1,neu,337177.93802,neu_ins_e_1,500,True,indel_continuous_1class,30,1
156,1,3,0.000238620416134,97.7299565791,0.101428497031,na,0.0166371234868,del,1,sel,254905.424903,neu_ins_e_1,500,True,indel_continuous_1class,30,2
156,1,3,0.000213137513741,na,na,0,0.0130040434455,del,1,neu,254905.424903,neu_ins_e_1,500,True,indel_continuous_1class,30,2
156,1,3,0.000143974344309,135.973742744,0.00417671393938,na,0.00639040033542,ins,1,sel,254905.424903,neu_ins_e_1,500,True,indel_continuous_1class,30,2
156,1,3,0.000136044765969,na,na,0,0,ins,1,neu,254905.424903,neu_ins_e_1,500,True,indel_continuous_1class,30,2
353,1,3,0.000252292377063,107.782823477,0.127745927872,na,0.0158697892266,del,1,sel,203307.775515,neu_ins_e_1,500,True,indel_continuous_1class,30,3
353,1,3,0.000214045144278,na,na,0,0.01266557394,del,1,neu,203307.775515,neu_ins_e_1,500,True,indel_continuous_1class,30,3
353,1,3,0.000152707346403,136.780798582,0.0236189771627,na,0.0124847811527,ins,1,sel,203307.775515,neu_ins_e_1,500,True,indel_continuous_1class,30,3
353,1,3,0.000136743954519,na,na,0,0,ins,1,neu,203307.775515,neu_ins_e_1,500,True,indel_continuous_1class,30,3
24,1,3,0.000251162848078,102.305022529,0.140104198112,na,0.0263597001029,del,1,sel,171267.794945,neu_ins_e_1,500,True,indel_continuous_1class,30,4
24,1,3,0.000212935120308,na,na,0,0.0128432321283,del,1,neu,171267.794945,neu_ins_e_1,500,True,indel_continuous_1class,30,4
24,1,3,0.000155607969083,117.689129751,0.0520493257597,na,0.0236493371437,ins,1,sel,171267.794945,neu_ins_e_1,500,True,indel_continuous_1class,30,4
24,1,3,0.00013597213091,na,na,0,0,ins,1,neu,171267.794945,neu_ins_e_1,500,True,indel_continuous_1class,30,4
407,1,3,0.000265222139825,184.914792492,0.133394740216,na,0.0163331460826,del,1,sel,154513.23431,neu_ins_e_1,500,True,indel_continuous_1class,30,5
407,1,3,0.000212985160647,na,na,0,0.0127007435439,del,1,neu,154513.23431,neu_ins_e_1,500,True,indel_continuous_1class,30,5
407,1,3,0.000149466589769,110.883652254,0.0383606236122,na,0.00804102902871,ins,1,sel,154513.23431,neu_ins_e_1,500,True,indel_continuous_1class,30,5
407,1,3,0.000136054196208,na,na,0,0,ins,1,neu,154513.23431,neu_ins_e_1,500,True,indel_continuous_1class,30,5
333,1,3,0.000253126222245,160.902247706,0.126114229055,na,0.0146993284118,del,1,sel,142952.619954,neu_ins_e_1,500,True,indel_continuous_1class,30,6
333,1,3,0.000212287997654,na,na,0,0.0131707415802,del,1,neu,142952.619954,neu_ins_e_1,500,True,indel_continuous_1class,30,6
333,1,3,0.00015008779861,87.2871579784,0.0422623635977,na,0.0118254078018,ins,1,sel,142952.619954,neu_ins_e_1,500,True,indel_continuous_1class,30,6
333,1,3,0.000135443466972,na,na,0,0,ins,1,neu,142952.619954,neu_ins_e_1,500,True,indel_continuous_1class,30,6
288,1,3,0.00025683019842,205.199304914,0.120988159756,na,0.019773189315,del,1,sel,134476.08186,neu_ins_e_1,500,True,indel_continuous_1class,30,7
288,1,3,0.000213363833409,na,na,0,0.0128540255372,del,1,neu,134476.08186,neu_ins_e_1,500,True,indel_continuous_1class,30,7
288,1,3,0.000165260931949,114.315786519,0.0777965959897,na,0.0104891888495,ins,1,sel,134476.08186,neu_ins_e_1,500,True,indel_continuous_1class,30,7
288,1,3,0.000136241710076,na,na,0,0,ins,1,neu,134476.08186,neu_ins_e_1,500,True,indel_continuous_1class,30,7
243,1,3,0.000250978010566,82.1057300382,0.141593403244,na,0.0293340885921,del,1,sel,128989.867653,neu_ins_e_1,500,True,indel_continuous_1class,30,8
243,1,3,0.000213594598892,na,na,0,0.0130944384883,del,1,neu,128989.867653,neu_ins_e_1,500,True,indel_continuous_1class,30,8
243,1,3,0.000176379504799,147.106125124,0.0997222477773,na,6.96943305983e-05,ins,1,sel,128989.867653,neu_ins_e_1,500,True,indel_continuous_1class,30,8
243,1,3,0.000136304261366,na,na,0,0,ins,1,neu,128989.867653,neu_ins_e_1,500,True,indel_continuous_1class,30,8
484,1,3,0.00025845822152,107.586895179,0.14675294761,na,0.0173017947035,del,1,sel,123625.212892,neu_ins_e_1,500,True,indel_continuous_1class,30,9
484,1,3,0.000213288937407,na,na,0,0.0132826248531,del,1,neu,123625.212892,neu_ins_e_1,500,True,indel_continuous_1class,30,9
484,1,3,0.00015709052435,157.836383987,0.0575628756542,na,0.00801990860459,ins,1,sel,123625.212892,neu_ins_e_1,500,True,indel_continuous_1class,30,9
