run,imp,exit_code,theta,scale,shape,gamma,e,var_type,site_class,sel_type,lnL,boundaries_hit,searches,converged,model,params,alpha,bin
395,1,3,0.000245389690807,105.975313716,0.128127200325,na,0.0184721337998,del,1,sel,3287097.24999,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,1
395,1,3,0.000214198343771,na,na,0,0.0125118087448,del,1,neu,3287097.24999,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,1
395,1,3,0.000157258168877,252.097394194,0.0382898357539,na,0.013084195224,ins,1,sel,3287097.24999,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,1
395,1,3,0.000136888947344,na,na,0,0,ins,1,neu,3287097.24999,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,1
252,1,3,0.000250349111943,57.6007254353,0.133188641599,na,0.0165042295308,del,1,sel,539557.823406,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,2
252,1,3,0.000214002580798,na,na,0,0.01267866414,del,1,neu,539557.823406,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,2
252,1,3,0.000159327599087,115.244441276,0.0387196304842,na,0.0112513244128,ins,1,sel,539557.823406,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,2
252,1,3,0.000136711653049,na,na,0,0,ins,1,neu,539557.823406,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,2
341,1,3,0.000272582917547,209.769830887,0.108341880508,na,0.0109371146726,del,1,sel,307712.278923,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,3
341,1,3,0.00021321924766,na,na,0,0.0127695024888,del,1,neu,307712.278923,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,3
341,1,3,0.000167497461388,115.664678885,0.0433321087508,na,0.0169015264724,ins,1,sel,307712.278923,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,3
341,1,3,0.000136179837098,na,na,0,0,ins,1,neu,307712.278923,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,3
452,1,3,0.000268795775911,113.268183358,0.112615231082,na,0.0154445399714,del,1,sel,214259.348054,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,4
452,1,3,0.000213393832691,na,na,0,0.0130977985776,del,1,neu,214259.348054,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,4
452,1,3,0.000163989294569,280.589059293,0.0219882708274,na,0.0172144723231,ins,1,sel,214259.348054,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,4
452,1,3,0.000136174675912,na,na,0,0,ins,1,neu,214259.348054,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,4
112,1,3,0.000284073159554,98.9890595486,0.13394417974,na,0.0194890970265,del,1,sel,165483.143252,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,5
112,1,3,0.000213947394612,na,na,0,0.0132131244344,del,1,neu,165483.143252,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,5
112,1,3,0.000160258577449,174.459333667,0.0154760740636,na,0.0193532810118,ins,1,sel,165483.143252,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,5
112,1,3,0.000136486880571,na,na,0,0,ins,1,neu,165483.143252,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,5
243,1,3,0.000287275007379,144.029789762,0.106460123327,na,0.0150788889455,del,1,sel,140595.350859,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,6
243,1,3,0.000213538501012,na,na,0,0.0130945473517,del,1,neu,140595.350859,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,6
243,1,3,0.000160867918967,120.709518742,0.00514860461244,na,0.00726759656731,ins,1,sel,140595.350859,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,6
243,1,3,0.000136267550933,na,na,0,0,ins,1,neu,140595.350859,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,6
416,1,3,0.00026989503367,122.957218986,0.0864107257141,na,0.0213960552922,del,1,sel,120985.289609,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,7
416,1,3,0.000213506907318,na,na,0,0.012959491244,del,1,neu,120985.289609,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,7
416,1,3,0.0001608562148,404.880821987,0.0111244332196,na,0.00227394414336,ins,1,sel,120985.289609,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,7
416,1,3,0.000136295969938,na,na,0,0,ins,1,neu,120985.289609,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,7
100,1,3,0.000289148654369,156.35626292,0.109001517769,na,0.0115968208532,del,1,sel,111750.819838,,500,True,indel_continuous_1class,30,NA,8
100,1,3,0.000212873171437,na,na,0,0.0135392359906,del,1,neu,111750.819838,,500,True,indel_continuous_1class,30,NA,8
100,1,3,0.000173043194512,148.215682201,0.00823343892117,na,0.0171872847802,ins,1,sel,111750.819838,,500,True,indel_continuous_1class,30,NA,8
100,1,3,0.000135686649897,na,na,0,2.22044604925e-18,ins,1,neu,111750.819838,,500,True,indel_continuous_1class,30,NA,8
423,1,3,0.000310392818819,141.012024771,0.125882742938,na,0.025215350383,del,1,sel,104560.932019,,500,True,indel_continuous_1class,30,NA,9
423,1,3,0.000212342633798,na,na,0,0.0140460254859,del,1,neu,104560.932019,,500,True,indel_continuous_1class,30,NA,9
423,1,3,0.000170572925404,1494.95826473,0.0147667763139,na,0.0185243461245,ins,1,sel,104560.932019,,500,True,indel_continuous_1class,30,NA,9
423,1,3,0.000135305101775,na,na,0,0.000606029734122,ins,1,neu,104560.932019,,500,True,indel_continuous_1class,30,NA,9
313,1,3,0.000279939038921,123.26587308,0.104904371633,na,0.0162533134881,del,1,sel,96960.9698872,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,10
313,1,3,0.000213307059715,na,na,0,0.0133560898737,del,1,neu,96960.9698872,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,10
