run,imp,exit_code,theta,scale,shape,gamma,e,var_type,site_class,sel_type,lnL,boundaries_hit,searches,converged,model,params,alpha,bin
18,1,3,0.000215792426478,na,na,0,0.0281954899834,del,1,neu,87966.7535563,sel_ins_e,500,True,indel_continuous_1class,30,NA,1
18,1,3,0.000207365200944,126.561528641,0.0994359292723,na,0.0394033077414,del,1,sel,87966.7535563,sel_ins_e,500,True,indel_continuous_1class,30,NA,1
18,1,3,0.000168060944937,483.757832108,0.0656003503584,na,0,ins,1,sel,87966.7535563,sel_ins_e,500,True,indel_continuous_1class,30,NA,1
18,1,3,0.000140458612855,na,na,0,0.0350061954896,ins,1,neu,87966.7535563,sel_ins_e,500,True,indel_continuous_1class,30,NA,1
2,1,3,0.000232197044571,73.6431451794,0.145747413647,na,0.0569502620226,del,1,sel,87497.0274232,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,5
2,1,3,0.000211655722929,na,na,0,0.013610580944,del,1,neu,87497.0274232,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,5
2,1,3,0.000181995392429,327.652285582,0.126079858685,na,0.0253992204356,ins,1,sel,87497.0274232,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,5
2,1,3,0.000134885134562,na,na,0,0,ins,1,neu,87497.0274232,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,5
59,1,3,0.000211705467464,na,na,0,0.0135174270011,del,1,neu,87466.3318756,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,3
59,1,3,0.000207252807984,9.42977554822,0.312019107234,na,0.0306187326352,del,1,sel,87466.3318756,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,3
59,1,3,0.000145281630865,224.696481417,0.0641001767959,na,0.00570568060781,ins,1,sel,87466.3318756,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,3
59,1,3,0.000134950066485,na,na,0,0,ins,1,neu,87466.3318756,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,3
207,1,3,0.000219918398943,89.1223295096,0.148765149005,na,0.0168409521606,del,1,sel,87460.1458003,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,2
207,1,3,0.000212306146705,na,na,0,0.0137229307782,del,1,neu,87460.1458003,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,2
207,1,3,0.000174366579106,151.287931691,0.139747056428,na,0.014670232186,ins,1,sel,87460.1458003,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,2
207,1,3,0.000135260619355,na,na,0,0,ins,1,neu,87460.1458003,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,2
246,1,3,0.000223422529411,120.070158997,0.11930852478,na,0.0143145610554,del,1,sel,87423.1874374,sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class,30,NA,7
246,1,3,0.000212521656518,na,na,0,0.0135820526584,del,1,neu,87423.1874374,sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class,30,NA,7
246,1,3,0.000135447683331,na,na,0,6.66133814775e-18,ins,1,neu,87423.1874374,sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class,30,NA,7
246,1,3,0.000130826270238,0.1,0.001,na,0.010516393539,ins,1,sel,87423.1874374,sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class,30,NA,7
64,1,3,0.000212114851487,na,na,0,0.0137390530283,del,1,neu,87411.7851291,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,13
64,1,3,0.000191016772941,129.976999623,0.0237578039581,na,0.0133366294776,del,1,sel,87411.7851291,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,13
64,1,3,0.000147101411458,128.532060784,0.0693919556778,na,0.00785875237744,ins,1,sel,87411.7851291,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,13
64,1,3,0.000135132864005,na,na,0,0,ins,1,neu,87411.7851291,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,13
344,1,3,0.000292601648594,135.145375554,0.223307366513,na,0.0216317428337,del,1,sel,87406.691468,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,9
344,1,3,0.000211944797226,na,na,0,0.0135976958048,del,1,neu,87406.691468,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,9
344,1,3,0.000142878557856,0.925097653119,1.18235948311,na,0.0226995765485,ins,1,sel,87406.691468,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,9
344,1,3,0.000135074346586,na,na,0,0,ins,1,neu,87406.691468,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,9
289,1,3,0.000289620406137,164.466521032,0.234849666152,na,0.0163063393238,del,1,sel,87351.2942036,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,4
289,1,3,0.000212293522112,na,na,0,0.0137360532957,del,1,neu,87351.2942036,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,4
