category	variation	callable
bin1	DEL	162202808
bin1	INDEL	237384373
bin1	INS	162202808
bin1	SNP	237384373
bin2	DEL	56552221
bin2	INDEL	82346260
bin2	INS	56552221
bin2	SNP	82346260
bin3	DEL	36934210
bin3	INDEL	53618973
bin3	INS	36934210
bin3	SNP	53618973
bin4	DEL	27192844
bin4	INDEL	39554688
bin4	INS	27192844
bin4	SNP	39554688
bin5	DEL	21375745
bin5	INDEL	31158194
bin5	INS	21375745
bin5	SNP	31158194
bin6	DEL	17668348
bin6	INDEL	25680877
bin6	INS	17668348
bin6	SNP	25680877
bin7	DEL	14936325
bin7	INDEL	21746862
bin7	INS	14936325
bin7	SNP	21746862
bin8	DEL	12904997
bin8	INDEL	18765355
bin8	INS	12904997
bin8	SNP	18765355
bin9	DEL	11306382
bin9	INDEL	16341984
bin9	INS	11306382
bin9	SNP	16341984
bin10	DEL	9956641
bin10	INDEL	14449343
bin10	INS	9956641
bin10	SNP	14449343
bin11	DEL	8966982
bin11	INDEL	12979480
bin11	INS	8966982
bin11	SNP	12979480
bin12	DEL	8092911
bin12	INDEL	11697012
bin12	INS	8092911
bin12	SNP	11697012
bin13	DEL	7316791
bin13	INDEL	10550051
bin13	INS	7316791
bin13	SNP	10550051
bin14	DEL	6634784
bin14	INDEL	9617523
bin14	INS	6634784
bin14	SNP	9617523
bin15	DEL	6090536
bin15	INDEL	8811072
bin15	INS	6090536
bin15	SNP	8811072
bin16	DEL	5687389
bin16	INDEL	8200260
bin16	INS	5687389
bin16	SNP	8200260
bin17	DEL	5310098
bin17	INDEL	7607063
bin17	INS	5310098
bin17	SNP	7607063
bin18	DEL	4973304
bin18	INDEL	7132500
bin18	INS	4973304
bin18	SNP	7132500
bin19	DEL	4685833
bin19	INDEL	6711490
bin19	INS	4685833
bin19	SNP	6711490
bin20	DEL	4429938
bin20	INDEL	6283555
bin20	INS	4429938
bin20	SNP	6283555
bin21	DEL	4109231
bin21	INDEL	5850495
bin21	INS	4109231
bin21	SNP	5850495
bin22	DEL	3877223
bin22	INDEL	5524651
bin22	INS	3877223
bin22	SNP	5524651
bin23	DEL	3630583
bin23	INDEL	5193508
bin23	INS	3630583
bin23	SNP	5193508
bin24	DEL	3416091
bin24	INDEL	4919454
bin24	INS	3416091
bin24	SNP	4919454
bin25	DEL	3276372
bin25	INDEL	4702741
bin25	INS	3276372
bin25	SNP	4702741
bin26	DEL	3114074
bin26	INDEL	4439916
bin26	INS	3114074
bin26	SNP	4439916
bin27	DEL	2979617
bin27	INDEL	4237401
bin27	INS	2979617
bin27	SNP	4237401
bin28	DEL	2835801
bin28	INDEL	4031556
bin28	INS	2835801
bin28	SNP	4031556
bin29	DEL	2736699
bin29	INDEL	3881896
bin29	INS	2736699
bin29	SNP	3881896
bin30	DEL	2609558
bin30	INDEL	3696839
bin30	INS	2609558
bin30	SNP	3696839
bin31	DEL	2461069
bin31	INDEL	3510383
bin31	INS	2461069
bin31	SNP	3510383
bin32	DEL	2374228
bin32	INDEL	3392052
bin32	INS	2374228
bin32	SNP	3392052
bin33	DEL	2271768
bin33	INDEL	3242585
bin33	INS	2271768
bin33	SNP	3242585
bin34	DEL	2144457
bin34	INDEL	3086607
bin34	INS	2144457
bin34	SNP	3086607
bin35	DEL	2026546
bin35	INDEL	2936983
bin35	INS	2026546
bin35	SNP	2936983
bin36	DEL	1949823
bin36	INDEL	2811765
bin36	INS	1949823
bin36	SNP	2811765
bin37	DEL	1819405
bin37	INDEL	2641733
bin37	INS	1819405
bin37	SNP	2641733
bin38	DEL	1734747
bin38	INDEL	2511541
bin38	INS	1734747
bin38	SNP	2511541
bin39	DEL	1696599
bin39	INDEL	2443304
bin39	INS	1696599
bin39	SNP	2443304
bin40	DEL	1630735
bin40	INDEL	2348271
bin40	INS	1630735
bin40	SNP	2348271
bin41	DEL	1565796
bin41	INDEL	2254822
bin41	INS	1565796
bin41	SNP	2254822
bin42	DEL	1502868
bin42	INDEL	2170777
bin42	INS	1502868
bin42	SNP	2170777
bin43	DEL	1449794
bin43	INDEL	2109321
bin43	INS	1449794
bin43	SNP	2109321
bin44	DEL	1423994
bin44	INDEL	2039438
bin44	INS	1423994
bin44	SNP	2039438
bin45	DEL	1374167
bin45	INDEL	1979122
bin45	INS	1374167
bin45	SNP	1979122
bin46	DEL	1325411
bin46	INDEL	1919963
bin46	INS	1325411
bin46	SNP	1919963
bin47	DEL	1267097
bin47	INDEL	1841578
bin47	INS	1267097
bin47	SNP	1841578
bin48	DEL	1208067
bin48	INDEL	1780607
bin48	INS	1208067
bin48	SNP	1780607
bin49	DEL	1166178
bin49	INDEL	1720482
bin49	INS	1166178
bin49	SNP	1720482
bin50	DEL	1144699
bin50	INDEL	1679271
bin50	INS	1144699
bin50	SNP	1679271
