category	variation	seg_sites	theta_w	pi	tajD
bin1	DEL	92004	25933.131766	23202.5105263	-0.442012767699
bin1	INDEL	337455	95118.309857	87213.1473685	-0.348885215594
bin1	INS	73332	20670.062374	19100.6947368	-0.318719453074
bin1	SNP	2835965	799372.353687	724323.999979	-0.394121780652
bin2	DEL	31279	8816.59958814	7771.18947368	-0.49772984873
bin2	INDEL	111715	31489.0636845	28653.4210526	-0.378026202653
bin2	INS	24337	6859.86074288	6313.48421053	-0.334330586207
bin2	SNP	982816	277025.964411	249282.721054	-0.420411424844
bin3	DEL	20772	5854.99557674	5147.22105263	-0.507412279505
bin3	INDEL	72622	20469.9349496	18546.6	-0.394424604995
bin3	INS	15725	4432.39964588	4076.32105263	-0.337197832799
bin3	SNP	644258	181596.752372	163240.600001	-0.424336918353
bin4	DEL	15395	4339.38267398	3831.98947368	-0.490787177329
bin4	INDEL	53866	15183.1885103	13810.8157895	-0.379428578352
bin4	INS	11764	3315.91411346	3000.4	-0.399367605249
bin4	SNP	476496	134309.742554	120811.357895	-0.421901433799
bin5	DEL	11944	3366.65064359	2983.40526316	-0.477790400442
bin5	INDEL	42118	11871.7843107	10792.6210526	-0.381581349042
bin5	INS	9288	2618.00495459	2407.15263158	-0.338020893182
bin5	SNP	378289	106628.173586	96068.1894739	-0.415745436293
bin6	DEL	10043	2830.81651152	2492.97894737	-0.500886798832
bin6	INDEL	35203	9922.65594492	9065.79473684	-0.362488362145
bin6	INS	7916	2231.27984717	2055.33157895	-0.330939576503
bin6	SNP	315083	88812.3229013	79973.1473685	-0.417805562144
bin7	DEL	8661	2441.27270798	2149.81052632	-0.501065004665
bin7	INDEL	30260	8529.37445369	7799.44736842	-0.359227332115
bin7	INS	6456	1819.75021391	1691.32631579	-0.296158685236
bin7	SNP	269720	76025.8717003	68749.2105263	-0.401796289336
bin8	DEL	7487	2110.3577837	1861.96842105	-0.493955386753
bin8	INDEL	25801	7272.51785459	6611.38421053	-0.381597979846
bin8	INS	5568	1569.44999862	1428.55263158	-0.376723014025
bin8	SNP	234298	66041.4863104	59634.5263157	-0.40725817745
bin9	DEL	6646	1873.30544016	1666.25789474	-0.463827116755
bin9	INDEL	22603	6371.09883598	5805.45263158	-0.372672106051
bin9	INS	4988	1405.96562376	1279.68421053	-0.376887299142
bin9	SNP	203491	57357.929179	51877.9210526	-0.401071461076
bin10	DEL	5915	1667.25875392	1465.4	-0.508067511801
bin10	INDEL	20067	5656.27750041	5172.76315789	-0.35881422426
bin10	INS	4576	1289.83534369	1197.83157895	-0.299295937532
bin10	SNP	180750	50947.9323366	45911.5	-0.414982582538
bin11	DEL	5356	1509.69364091	1340.25789474	-0.470951482527
bin11	INDEL	18281	5152.85837369	4715.49473684	-0.356271269908
bin11	INS	4031	1136.21640525	1053.73684211	-0.304569576709
bin11	SNP	165106	46538.3641293	42084.9842105	-0.401708998033
bin12	DEL	4870	1372.70500957	1219.06315789	-0.469650118127
bin12	INDEL	16547	4664.0964668	4292.98421053	-0.3339785841
bin12	INS	3686	1038.97138917	965.426315789	-0.296981231648
bin12	SNP	147883	41683.7238049	37753.5631579	-0.395800231655
