run,imp,exit_code,theta,scale,shape,gamma,e,var_type,site_class,sel_type,lnL,boundaries_hit,searches,converged,model,params,bin
87,1,3,0.000256301031656,na,na,0,0.011945663185,del,1,neu,2039766.76498,neu_ins_e_1,500,True,indel_continuous_1class,30,1
87,1,3,0.000241363049112,112.589192971,0.117550470276,na,0.017484987094,del,1,sel,2039766.76498,neu_ins_e_1,500,True,indel_continuous_1class,30,1
87,1,3,0.000160772589768,na,na,0,0,ins,1,neu,2039766.76498,neu_ins_e_1,500,True,indel_continuous_1class,30,1
87,1,3,0.000154048958977,211.879541159,0.0294226744901,na,0.0108246271192,ins,1,sel,2039766.76498,neu_ins_e_1,500,True,indel_continuous_1class,30,1
298,1,3,0.000254304604541,na,na,0,0.0122359426857,del,1,neu,525001.627092,neu_ins_e_1,500,True,indel_continuous_1class,30,2
298,1,3,0.000243066961185,107.684665801,0.129621341162,na,0.0192971984813,del,1,sel,525001.627092,neu_ins_e_1,500,True,indel_continuous_1class,30,2
298,1,3,0.000159402702851,na,na,0,0,ins,1,neu,525001.627092,neu_ins_e_1,500,True,indel_continuous_1class,30,2
298,1,3,0.00015487681166,112.005960016,0.0548787080371,na,0.0150914686832,ins,1,sel,525001.627092,neu_ins_e_1,500,True,indel_continuous_1class,30,2
237,1,3,0.000254787631604,na,na,0,0.0123320695126,del,1,neu,332797.783106,neu_ins_e_1,500,True,indel_continuous_1class,30,3
237,1,3,0.000253433983249,104.065380177,0.138856235175,na,0.0190273038174,del,1,sel,332797.783106,neu_ins_e_1,500,True,indel_continuous_1class,30,3
237,1,3,0.000159665566005,na,na,0,0,ins,1,neu,332797.783106,neu_ins_e_1,500,True,indel_continuous_1class,30,3
237,1,3,0.000153176414419,668.889885603,0.0233148401954,na,0.0156774068836,ins,1,sel,332797.783106,neu_ins_e_1,500,True,indel_continuous_1class,30,3
294,1,3,0.000258003318639,107.017581718,0.137872511668,na,0.0142696638356,del,1,sel,251474.187159,neu_ins_e_1,500,True,indel_continuous_1class,30,4
294,1,3,0.000254583088459,na,na,0,0.0123349328169,del,1,neu,251474.187159,neu_ins_e_1,500,True,indel_continuous_1class,30,4
294,1,3,0.000161834308872,140.202618299,0.050908730849,na,0.0154557158532,ins,1,sel,251474.187159,neu_ins_e_1,500,True,indel_continuous_1class,30,4
294,1,3,0.000159536766868,na,na,0,0,ins,1,neu,251474.187159,neu_ins_e_1,500,True,indel_continuous_1class,30,4
460,1,3,0.000258482596952,115.469057508,0.121554026774,na,0.016012052057,del,1,sel,206250.350479,neu_ins_e_1,500,True,indel_continuous_1class,30,5
460,1,3,0.000255555920118,na,na,0,0.0123663794413,del,1,neu,206250.350479,neu_ins_e_1,500,True,indel_continuous_1class,30,5
460,1,3,0.00016013188159,na,na,0,0,ins,1,neu,206250.350479,neu_ins_e_1,500,True,indel_continuous_1class,30,5
460,1,3,0.000151757353203,128.309180439,0.0218101103027,na,0.00736929150541,ins,1,sel,206250.350479,neu_ins_e_1,500,True,indel_continuous_1class,30,5
139,1,3,0.000253637726856,na,na,0,0.0125652087876,del,1,neu,175533.456017,neu_ins_e_1,500,True,indel_continuous_1class,30,6
139,1,3,0.000252050819239,134.399468132,0.105077767035,na,0.0143473184952,del,1,sel,175533.456017,neu_ins_e_1,500,True,indel_continuous_1class,30,6
139,1,3,0.000158847214229,na,na,0,0,ins,1,neu,175533.456017,neu_ins_e_1,500,True,indel_continuous_1class,30,6
139,1,3,0.000154921226722,66.1692389779,0.0388855911902,na,0.00822391280904,ins,1,sel,175533.456017,neu_ins_e_1,500,True,indel_continuous_1class,30,6
265,1,3,0.000255130490339,na,na,0,0.0124190145464,del,1,neu,158117.385733,neu_ins_e_1,500,True,indel_continuous_1class,30,7
265,1,3,0.00025439779941,54.6658388908,0.142605070596,na,0.0199760498304,del,1,sel,158117.385733,neu_ins_e_1,500,True,indel_continuous_1class,30,7
265,1,3,0.000165687176822,130.333629305,0.0440767520136,na,0.0227821840094,ins,1,sel,158117.385733,neu_ins_e_1,500,True,indel_continuous_1class,30,7
265,1,3,0.000159843650935,na,na,0,0,ins,1,neu,158117.385733,neu_ins_e_1,500,True,indel_continuous_1class,30,7
228,1,3,0.000254884368288,57.616795719,0.129403368717,na,0.0168677274778,del,1,sel,145427.672796,neu_ins_e_1,500,True,indel_continuous_1class,30,8
228,1,3,0.000253188444416,na,na,0,0.0125963564665,del,1,neu,145427.672796,neu_ins_e_1,500,True,indel_continuous_1class,30,8
228,1,3,0.000161437450956,94.3125881836,0.0489488068642,na,0.00576021852721,ins,1,sel,145427.672796,neu_ins_e_1,500,True,indel_continuous_1class,30,8
228,1,3,0.000158552986091,na,na,0,0,ins,1,neu,145427.672796,neu_ins_e_1,500,True,indel_continuous_1class,30,8
180,1,3,0.000265312011384,206.16013734,0.0960278939388,na,0.0142371227273,del,1,sel,125906.779286,neu_ins_e_1,500,True,indel_continuous_1class,30,10
180,1,3,0.000254695513544,na,na,0,0.0121665528607,del,1,neu,125906.779286,neu_ins_e_1,500,True,indel_continuous_1class,30,10
180,1,3,0.000173050996226,117.495327633,0.0510462453591,na,0.0196317338603,ins,1,sel,125906.779286,neu_ins_e_1,500,True,indel_continuous_1class,30,10
180,1,3,0.000159677208564,na,na,0,0,ins,1,neu,125906.779286,neu_ins_e_1,500,True,indel_continuous_1class,30,10
433,1,3,0.000303914013684,124.896500318,0.14272367801,na,0.0168754221937,del,1,sel,123465.317794,neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,47-157
433,1,3,0.000253152296823,na,na,0,0.013158391262,del,1,neu,123465.317794,neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,47-157
433,1,3,0.000169464080013,0.1,4.29041610132,na,0.0175515560292,ins,1,sel,123465.317794,neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,47-157
433,1,3,0.000158296065254,na,na,0,0,ins,1,neu,123465.317794,neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,47-157
356,1,3,0.000258129396564,135.439216736,0.0973118570263,na,0.00628136475264,del,1,sel,119539.433422,neu_ins_e_1,500,True,indel_continuous_1class,30,11
356,1,3,0.000252124337182,na,na,0,0.0129438132937,del,1,neu,119539.433422,neu_ins_e_1,500,True,indel_continuous_1class,30,11
356,1,3,0.000157742272623,na,na,0,0,ins,1,neu,119539.433422,neu_ins_e_1,500,True,indel_continuous_1class,30,11
356,1,3,0.000151106740226,5.42874280423,0.0658431144177,na,0.0057922796605,ins,1,sel,119539.433422,neu_ins_e_1,500,True,indel_continuous_1class,30,11
208,1,3,0.000273693558606,313.467514937,0.0924129156842,na,0.00860675353646,del,1,sel,115165.234221,neu_ins_e_1,500,True,indel_continuous_1class,30,12
