run,imp,exit_code,theta,scale,shape,gamma,e,var_type,site_class,sel_type,lnL,boundaries_hit,searches,converged,model,params,bin
318,1,3,0.0002338759765,33.0934931852,0.154569065085,na,0.0384839445885,del,1,sel,573767.558712,neu_del_theta_1,500,True,indel_continuous_1class,30,1
318,1,3,0.000173009887619,738.053224326,0.0356248010821,na,0.0340094588393,ins,1,sel,573767.558712,neu_del_theta_1,500,True,indel_continuous_1class,30,1
318,1,3,1.15389880601e-10,na,na,0,0.00199336735299,ins,1,neu,573767.558712,neu_del_theta_1,500,True,indel_continuous_1class,30,1
318,1,3,1e-10,na,na,0,0.192898724178,del,1,neu,573767.558712,neu_del_theta_1,500,True,indel_continuous_1class,30,1
103,1,3,0.000322590070254,3.43400983566,2.34375112727,na,0.0178814632239,del,1,sel,425450.323708,neu_ins_theta_1|neu_del_theta_1,500,True,indel_continuous_1class,30,129-1363
103,1,3,0.000199275863214,1.37850146865,4.05590465321,na,0.00533235494939,ins,1,sel,425450.323708,neu_ins_theta_1|neu_del_theta_1,500,True,indel_continuous_1class,30,129-1363
103,1,3,1e-10,na,na,0,0.0511561944108,ins,1,neu,425450.323708,neu_ins_theta_1|neu_del_theta_1,500,True,indel_continuous_1class,30,129-1363
103,1,3,1e-10,na,na,0,0.0359289666209,del,1,neu,425450.323708,neu_ins_theta_1|neu_del_theta_1,500,True,indel_continuous_1class,30,129-1363
313,1,3,0.000243312704239,559.26135874,0.0637492415911,na,0.0039479118296,del,1,sel,239407.781989,neu_ins_theta_1|sel_ins_e|neu_del_theta_1|sel_ins_scale,500,True,indel_continuous_1class,30,2
313,1,3,0.000142988250079,0.1,0.0010165590906,na,0,ins,1,sel,239407.781989,neu_ins_theta_1|sel_ins_e|neu_del_theta_1|sel_ins_scale,500,True,indel_continuous_1class,30,2
313,1,3,1e-10,na,na,0,0.404075883498,del,1,neu,239407.781989,neu_ins_theta_1|sel_ins_e|neu_del_theta_1|sel_ins_scale,500,True,indel_continuous_1class,30,2
313,1,3,1e-10,na,na,0,0.388978741674,ins,1,neu,239407.781989,neu_ins_theta_1|sel_ins_e|neu_del_theta_1|sel_ins_scale,500,True,indel_continuous_1class,30,2
280,1,3,0.000363635316653,349.730109577,0.235096779058,na,0.0431899589883,del,1,sel,151935.105909,neu_ins_theta_1|neu_del_theta_1,500,True,indel_continuous_1class,30,3
280,1,3,0.000183876959858,18.6176087287,0.373325432317,na,0.0514262434886,ins,1,sel,151935.105909,neu_ins_theta_1|neu_del_theta_1,500,True,indel_continuous_1class,30,3
280,1,3,1e-10,na,na,0,0.0373744214494,del,1,neu,151935.105909,neu_ins_theta_1|neu_del_theta_1,500,True,indel_continuous_1class,30,3
280,1,3,1e-10,na,na,0,0.0176307477374,ins,1,neu,151935.105909,neu_ins_theta_1|neu_del_theta_1,500,True,indel_continuous_1class,30,3
38,1,3,0.000273368607343,569.664852686,0.242256794995,na,0,ins,1,sel,111010.134287,neu_ins_theta_1|sel_ins_e|neu_del_theta_1,500,True,indel_continuous_1class,30,4
38,1,3,0.000268080400441,6.7133458506,1.24601476455,na,0.0287502967813,del,1,sel,111010.134287,neu_ins_theta_1|sel_ins_e|neu_del_theta_1,500,True,indel_continuous_1class,30,4
38,1,3,1e-10,na,na,0,0.0702138214652,del,1,neu,111010.134287,neu_ins_theta_1|sel_ins_e|neu_del_theta_1,500,True,indel_continuous_1class,30,4
38,1,3,1e-10,na,na,0,0.00131602467951,ins,1,neu,111010.134287,neu_ins_theta_1|sel_ins_e|neu_del_theta_1,500,True,indel_continuous_1class,30,4
323,1,3,0.000662516677764,87.8592324553,0.989248332665,na,0.0412302096336,del,1,sel,90718.5451449,neu_ins_theta_1|neu_del_theta_1,500,True,indel_continuous_1class,30,5
323,1,3,0.000449877206212,113.85297196,0.832167874162,na,0.052756960407,ins,1,sel,90718.5451449,neu_ins_theta_1|neu_del_theta_1,500,True,indel_continuous_1class,30,5
323,1,3,1e-10,na,na,0,0.0394519370389,ins,1,neu,90718.5451449,neu_ins_theta_1|neu_del_theta_1,500,True,indel_continuous_1class,30,5
323,1,3,1e-10,na,na,0,0.00155064866148,del,1,neu,90718.5451449,neu_ins_theta_1|neu_del_theta_1,500,True,indel_continuous_1class,30,5
62,1,3,0.000674783450091,96.0999425233,1.02617176958,na,0.0150367557379,del,1,sel,74354.2457498,neu_ins_theta_1|sel_ins_e|neu_del_theta_1,500,True,indel_continuous_1class,30,6
