run,imp,exit_code,theta,scale,shape,gamma,e,var_type,site_class,sel_type,lnL,boundaries_hit,searches,converged,model,params,bin
378,1,3,0.000257031572636,na,na,0,0.0118371450038,del,1,neu,1985545.15287,neu_ins_e_1,500,True,indel_continuous_1class,30,1
378,1,3,0.000237668612758,108.924522511,0.0969206451432,na,0.0224492062023,del,1,sel,1985545.15287,neu_ins_e_1,500,True,indel_continuous_1class,30,1
378,1,3,0.000161280849471,na,na,0,0,ins,1,neu,1985545.15287,neu_ins_e_1,500,True,indel_continuous_1class,30,1
378,1,3,0.000152278033186,292.332296807,0.0132376796192,na,0.0176830899909,ins,1,sel,1985545.15287,neu_ins_e_1,500,True,indel_continuous_1class,30,1
240,1,3,0.000254439017652,na,na,0,0.012234508474,del,1,neu,495919.062751,neu_ins_e_1,500,True,indel_continuous_1class,30,2
240,1,3,0.00024720220462,112.307803649,0.125593769148,na,0.0197311092545,del,1,sel,495919.062751,neu_ins_e_1,500,True,indel_continuous_1class,30,2
240,1,3,0.000159487492791,na,na,0,0,ins,1,neu,495919.062751,neu_ins_e_1,500,True,indel_continuous_1class,30,2
240,1,3,0.000155385407473,109.039685039,0.0489632360368,na,0.0169327254017,ins,1,sel,495919.062751,neu_ins_e_1,500,True,indel_continuous_1class,30,2
74,1,3,0.000254974932273,na,na,0,0.0123881787952,del,1,neu,312960.022446,neu_ins_e_1,500,True,indel_continuous_1class,30,3
74,1,3,0.000250832788001,106.222250661,0.122521485793,na,0.0177933143368,del,1,sel,312960.022446,neu_ins_e_1,500,True,indel_continuous_1class,30,3
74,1,3,0.000159759455006,na,na,0,0,ins,1,neu,312960.022446,neu_ins_e_1,500,True,indel_continuous_1class,30,3
74,1,3,0.000155497887307,503.422490366,0.0246447926954,na,0.0115659456902,ins,1,sel,312960.022446,neu_ins_e_1,500,True,indel_continuous_1class,30,3
