run,imp,exit_code,theta,scale,shape,gamma,e,var_type,site_class,sel_type,lnL,boundaries_hit,searches,converged,model,params,bin
33,1,3,0.000225857033038,na,na,-2.11527206565,0.0520002853643,del,1,sel,1906483.34842,neu_ins_theta_1,500,True,indel_discrete_1class,28,1
33,1,3,0.000165844168592,na,na,-1.64233717671,0.0643707142124,ins,1,sel,1906483.34842,neu_ins_theta_1,500,True,indel_discrete_1class,28,1
33,1,3,1.01635802093e-10,na,na,0,0.0536465763738,del,1,neu,1906483.34842,neu_ins_theta_1,500,True,indel_discrete_1class,28,1
33,1,3,1e-10,na,na,0,0.0742948297853,ins,1,neu,1906483.34842,neu_ins_theta_1,500,True,indel_discrete_1class,28,1
273,1,3,0.000226013205746,na,na,-2.22582090044,0.047321674253,del,1,sel,416871.918257,neu_ins_theta_1|neu_del_theta_1,500,True,indel_discrete_1class,28,2
273,1,3,0.000162700429243,na,na,-1.77042143086,0.0623012696605,ins,1,sel,416871.918257,neu_ins_theta_1|neu_del_theta_1,500,True,indel_discrete_1class,28,2
273,1,3,1e-10,na,na,0,0.498947447175,del,1,neu,416871.918257,neu_ins_theta_1|neu_del_theta_1,500,True,indel_discrete_1class,28,2
273,1,3,1e-10,na,na,0,0.0177218904607,ins,1,neu,416871.918257,neu_ins_theta_1|neu_del_theta_1,500,True,indel_discrete_1class,28,2
418,1,3,0.000231621788476,na,na,-2.35294267389,0.0450427270798,del,1,sel,233908.129178,neu_ins_theta_1|neu_del_theta_1,500,True,indel_discrete_1class,28,3
418,1,3,0.000166246911393,na,na,-1.91619438064,0.0574605943561,ins,1,sel,233908.129178,neu_ins_theta_1|neu_del_theta_1,500,True,indel_discrete_1class,28,3
418,1,3,1e-10,na,na,0,0.0461067528151,del,1,neu,233908.129178,neu_ins_theta_1|neu_del_theta_1,500,True,indel_discrete_1class,28,3
418,1,3,1e-10,na,na,0,0.0344778956926,ins,1,neu,233908.129178,neu_ins_theta_1|neu_del_theta_1,500,True,indel_discrete_1class,28,3
