run,imp,exit_code,theta,scale,shape,gamma,e,var_type,site_class,sel_type,lnL,boundaries_hit,searches,converged,model,params,bin
365,1,3,0.000255871937419,na,na,0,0.0120279356742,del,1,neu,1323727.38884,neu_ins_e_1,500,True,indel_continuous_1class,30,1
365,1,3,0.0002438651534,71.3274971008,0.126687144116,na,0.0181532420967,del,1,sel,1323727.38884,neu_ins_e_1,500,True,indel_continuous_1class,30,1
365,1,3,0.000160473109629,na,na,0,0,ins,1,neu,1323727.38884,neu_ins_e_1,500,True,indel_continuous_1class,30,1
365,1,3,0.000153822442023,157.691093468,0.0340697807348,na,0.011678624813,ins,1,sel,1323727.38884,neu_ins_e_1,500,True,indel_continuous_1class,30,1
145,1,3,0.000268753008124,110.680565202,0.112861794734,na,0.0134478856979,del,1,sel,383516.821612,neu_ins_e_1,500,True,indel_continuous_1class,30,2
145,1,3,0.000255005433265,na,na,0,0.0125299863052,del,1,neu,383516.821612,neu_ins_e_1,500,True,indel_continuous_1class,30,2
145,1,3,0.000159718070386,na,na,0,0,ins,1,neu,383516.821612,neu_ins_e_1,500,True,indel_continuous_1class,30,2
145,1,3,0.000156833143816,197.899808653,0.012174736583,na,0.0148622457761,ins,1,sel,383516.821612,neu_ins_e_1,500,True,indel_continuous_1class,30,2
101,1,3,0.000277264345776,137.409839537,0.0911926048377,na,0.0154702083304,del,1,sel,207185.913082,,500,True,indel_continuous_1class,30,3
101,1,3,0.000256077191842,na,na,0,0.0120531514941,del,1,neu,207185.913082,,500,True,indel_continuous_1class,30,3
101,1,3,0.000162490388912,115.913938138,0.00684490712588,na,0.00698553640645,ins,1,sel,207185.913082,,500,True,indel_continuous_1class,30,3
101,1,3,0.000160591588919,na,na,0,2.22044604925e-18,ins,1,neu,207185.913082,,500,True,indel_continuous_1class,30,3
263,1,3,0.000294578897527,129.099145909,0.103543486143,na,0.0492287975388,del,1,sel,139262.509121,r_19,500,True,indel_continuous_1class,30,4
263,1,3,0.000263734184342,na,na,0,0.0437426870739,del,1,neu,139262.509121,r_19,500,True,indel_continuous_1class,30,4
263,1,3,0.000176126483698,391.840166242,0.00658143997256,na,0.0619428683611,ins,1,sel,139262.509121,r_19,500,True,indel_continuous_1class,30,4
263,1,3,0.000173047860327,na,na,0,0.0751484587379,ins,1,neu,139262.509121,r_19,500,True,indel_continuous_1class,30,4
68,1,3,0.000284901134995,132.959207203,0.104480282479,na,0.0211152461769,del,1,sel,104078.09295,sel_ins_e,500,True,indel_continuous_1class,30,5
68,1,3,0.000255999783468,na,na,0,0.0161324541762,del,1,neu,104078.09295,sel_ins_e,500,True,indel_continuous_1class,30,5
68,1,3,0.000179823577987,538.732529877,0.0381310921315,na,0,ins,1,sel,104078.09295,sel_ins_e,500,True,indel_continuous_1class,30,5
68,1,3,0.0001610823439,na,na,0,0.00851848077093,ins,1,neu,104078.09295,sel_ins_e,500,True,indel_continuous_1class,30,5
42,1,3,0.000289408215744,81.8943391165,0.103056289763,na,0.0223963340882,del,1,sel,90668.0524683,neu_ins_e_1,500,True,indel_continuous_1class,30,6
42,1,3,0.000252118646889,na,na,0,0.0130620360314,del,1,neu,90668.0524683,neu_ins_e_1,500,True,indel_continuous_1class,30,6
42,1,3,0.00018257172025,3.03689302438,0.239526709827,na,0.0312219979443,ins,1,sel,90668.0524683,neu_ins_e_1,500,True,indel_continuous_1class,30,6
42,1,3,0.000157690059916,na,na,0,0,ins,1,neu,90668.0524683,neu_ins_e_1,500,True,indel_continuous_1class,30,6
314,1,3,0.000289014647132,10.4463673632,0.190955654147,na,0.0407594838048,del,1,sel,85211.3567218,sel_ins_scale,500,True,indel_continuous_1class,30,7
314,1,3,0.000260569168496,na,na,0,0.0448931733219,del,1,neu,85211.3567218,sel_ins_scale,500,True,indel_continuous_1class,30,7
314,1,3,0.000205187495767,0.1,9.19763232274,na,0.063098349228,ins,1,sel,85211.3567218,sel_ins_scale,500,True,indel_continuous_1class,30,7
314,1,3,0.000171079459931,na,na,0,0.0772395587795,ins,1,neu,85211.3567218,sel_ins_scale,500,True,indel_continuous_1class,30,7
127,1,3,0.000252772008843,na,na,0,0.0129824505721,del,1,neu,81404.1946791,neu_ins_e_1,500,True,indel_continuous_1class,30,10-16
127,1,3,0.000251797050017,59.7236211682,0.342811760352,na,0.0175916386905,del,1,sel,81404.1946791,neu_ins_e_1,500,True,indel_continuous_1class,30,10-16
127,1,3,0.000158131693525,na,na,0,0,ins,1,neu,81404.1946791,neu_ins_e_1,500,True,indel_continuous_1class,30,10-16
127,1,3,0.000141900241614,67.9084714159,0.0903923457825,na,0.0137488525895,ins,1,sel,81404.1946791,neu_ins_e_1,500,True,indel_continuous_1class,30,10-16
198,1,3,0.000285995408383,181.408061042,0.144062347777,na,0,del,1,sel,81198.0555283,sel_ins_shape|neu_ins_e_1|sel_del_e|sel_ins_scale,500,True,indel_continuous_1class,30,8
198,1,3,0.000252482665799,na,na,0,0.0130150781768,del,1,neu,81198.0555283,sel_ins_shape|neu_ins_e_1|sel_del_e|sel_ins_scale,500,True,indel_continuous_1class,30,8
198,1,3,0.000160538084257,0.1,0.001,na,0.0131089531308,ins,1,sel,81198.0555283,sel_ins_shape|neu_ins_e_1|sel_del_e|sel_ins_scale,500,True,indel_continuous_1class,30,8
198,1,3,0.000157937145466,na,na,0,0,ins,1,neu,81198.0555283,sel_ins_shape|neu_ins_e_1|sel_del_e|sel_ins_scale,500,True,indel_continuous_1class,30,8
458,1,3,0.000303843000615,37.7839182433,0.187144342913,na,0.00850318550185,del,1,sel,80694.0755336,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,9
458,1,3,0.000252690486411,na,na,0,0.0129762815203,del,1,neu,80694.0755336,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,9
458,1,3,0.000172551765572,0.1,0.001,na,0.00847897326081,ins,1,sel,80694.0755336,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,9
458,1,3,0.000158083170966,na,na,0,0,ins,1,neu,80694.0755336,sel_ins_shape|neu_ins_e_1|sel_ins_scale,500,True,indel_continuous_1class,30,9
