run,imp,exit_code,theta,scale,shape,gamma,e,var_type,site_class,sel_type,lnL,boundaries_hit,searches,converged,model,params,bin
279,1,3,0.000254846296261,na,na,0,0.0125749429449,del,1,neu,356931.965231,neu_ins_e_1,500,True,indel_continuous_1class,30,1
279,1,3,0.000245167568765,86.4356492535,0.130444014666,na,0.0195717617776,del,1,sel,356931.965231,neu_ins_e_1,500,True,indel_continuous_1class,30,1
279,1,3,0.000159599088315,na,na,0,0,ins,1,neu,356931.965231,neu_ins_e_1,500,True,indel_continuous_1class,30,1
279,1,3,0.000151839188556,141.744513206,0.0310883427319,na,0.00876254310626,ins,1,sel,356931.965231,neu_ins_e_1,500,True,indel_continuous_1class,30,1
36,1,3,0.000254485794746,na,na,0,0.0123876034655,del,1,neu,228485.874782,neu_ins_e_1,500,True,indel_continuous_1class,30,2
36,1,3,0.000239625386149,113.036602203,0.124617881705,na,0.0208262647438,del,1,sel,228485.874782,neu_ins_e_1,500,True,indel_continuous_1class,30,2
36,1,3,0.000159452756802,na,na,0,0,ins,1,neu,228485.874782,neu_ins_e_1,500,True,indel_continuous_1class,30,2
36,1,3,0.000143092393935,15.1440366057,0.0736839160556,na,0.0161553184232,ins,1,sel,228485.874782,neu_ins_e_1,500,True,indel_continuous_1class,30,2
160,1,3,0.000255125153882,na,na,0,0.0125993427126,del,1,neu,185068.684225,neu_ins_e_1,500,True,indel_continuous_1class,30,3
160,1,3,0.000247085463046,113.441936917,0.123660570757,na,0.0217534373284,del,1,sel,185068.684225,neu_ins_e_1,500,True,indel_continuous_1class,30,3
160,1,3,0.000159764634456,na,na,0,0,ins,1,neu,185068.684225,neu_ins_e_1,500,True,indel_continuous_1class,30,3
160,1,3,0.000148009783591,227.519089631,0.030746882557,na,0.0128916100134,ins,1,sel,185068.684225,neu_ins_e_1,500,True,indel_continuous_1class,30,3
332,1,3,0.000254861907549,na,na,0,0.0124915039177,del,1,neu,162166.286957,neu_ins_e_1,500,True,indel_continuous_1class,30,4
332,1,3,0.000251925536168,81.7575050459,0.13786227157,na,0.0168500018618,del,1,sel,162166.286957,neu_ins_e_1,500,True,indel_continuous_1class,30,4
332,1,3,0.000159644797181,na,na,0,0,ins,1,neu,162166.286957,neu_ins_e_1,500,True,indel_continuous_1class,30,4
332,1,3,0.00014857226683,178.172414328,0.030359305262,na,0.0139204937807,ins,1,sel,162166.286957,neu_ins_e_1,500,True,indel_continuous_1class,30,4
441,1,3,0.000255476030945,na,na,0,0.0123888988971,del,1,neu,147777.332794,neu_ins_e_1,500,True,indel_continuous_1class,30,5
441,1,3,0.000252411769667,113.924125428,0.111733473911,na,0.0201615441577,del,1,sel,147777.332794,neu_ins_e_1,500,True,indel_continuous_1class,30,5
441,1,3,0.00016007312756,na,na,0,0,ins,1,neu,147777.332794,neu_ins_e_1,500,True,indel_continuous_1class,30,5
441,1,3,0.000149216356165,129.180016374,0.0285741234151,na,0.00783823068514,ins,1,sel,147777.332794,neu_ins_e_1,500,True,indel_continuous_1class,30,5
241,1,3,0.00025381225495,na,na,0,0.0125965544411,del,1,neu,137067.141995,neu_ins_e_1,500,True,indel_continuous_1class,30,6
241,1,3,0.00024215072703,123.258302301,0.0943222377368,na,0.00979053274925,del,1,sel,137067.141995,neu_ins_e_1,500,True,indel_continuous_1class,30,6
