cat	prop	var	dist	theta
0 - 1	0.6384	del	1	0.000235597819049
>1	0.3616	del	1	0.000235597819049
0 - 1	0.8841	ins	1	0.000154102228157
>1	0.1159	ins	1	0.000154102228157
0 - 1	0.5365	del	2	0.000250895265905
>1	0.4635	del	2	0.000250895265905
0 - 1	0.8424	ins	2	0.000155047946669
>1	0.1576	ins	2	0.000155047946669
0 - 1	0.5236	del	3	0.000257838588992
>1	0.4764	del	3	0.000257838588992
0 - 1	0.8391	ins	3	0.000148841913049
>1	0.1609	ins	3	0.000148841913049
0 - 1	0.5707	del	4	0.00024615335214
>1	0.4293	del	4	0.00024615335214
0 - 1	0.7159	ins	4	0.000160389323308
>1	0.2841	ins	4	0.000160389323308
0 - 1	0.5645	del	5	0.00024320347862
>1	0.4355	del	5	0.00024320347862
0 - 1	0.8341	ins	5	0.000151554212732
>1	0.1659	ins	5	0.000151554212732
0 - 1	0.5396	del	6	0.000255561085514
>1	0.4604	del	6	0.000255561085514
0 - 1	0.833	ins	6	0.000160750573859
>1	0.167	ins	6	0.000160750573859
0 - 1	0.5414	del	7	0.000256908621491
>1	0.4586	del	7	0.000256908621491
0 - 1	0.9237	ins	7	0.000143109057819
>1	0.0763	ins	7	0.000143109057819
0 - 1	0.5553	del	8	0.000253474195182
>1	0.4447	del	8	0.000253474195182
0 - 1	0.7154	ins	8	0.000167561754411
>1	0.2846	ins	8	0.000167561754411
0 - 1	0.5941	del	9	0.000249937213565
>1	0.4059	del	9	0.000249937213565
0 - 1	0.7224	ins	9	0.00016806457827
>1	0.2776	ins	9	0.00016806457827
0 - 1	0.4965	del	10	0.000285458344339
>1	0.5035	del	10	0.000285458344339
0 - 1	0.8826	ins	10	0.00015578887819
>1	0.1174	ins	10	0.00015578887819
0 - 1	0.5622	del	11	0.000265485376396
>1	0.4378	del	11	0.000265485376396
0 - 1	0.8518	ins	11	0.000155544563097
>1	0.1482	ins	11	0.000155544563097
0 - 1	0.5981	del	12	0.000255891066443
>1	0.4019	del	12	0.000255891066443
0 - 1	0.9085	ins	12	0.000151193739556
>1	0.0915	ins	12	0.000151193739556
0 - 1	0.6034	del	13	0.00025542720316
>1	0.3966	del	13	0.00025542720316
0 - 1	0.8613	ins	13	0.000153416385784
>1	0.1387	ins	13	0.000153416385784
0 - 1	0.6134	del	14	0.00025472244664
>1	0.3866	del	14	0.00025472244664
0 - 1	0.8076	ins	14	0.000156693403442
>1	0.1924	ins	14	0.000156693403442
0 - 1	0.6359	del	15	0.00025084405847
>1	0.3641	del	15	0.00025084405847
0 - 1	0.949	ins	15	0.000150093249689
>1	0.051	ins	15	0.000150093249689
0 - 1	0.5427	del	16	0.000287400636159
>1	0.4573	del	16	0.000287400636159
0 - 1	0.6497	ins	16	0.000190621765962
>1	0.3503	ins	16	0.000190621765962
0 - 1	0.6419	del	17	0.000234785465359
>1	0.3581	del	17	0.000234785465359
0 - 1	0.963	ins	17	0.000146683765925
>1	0.037	ins	17	0.000146683765925
0 - 1	0.4918	del	18	0.000292131279042
>1	0.5082	del	18	0.000292131279042
0 - 1	0.8131	ins	18	0.000168026400613
>1	0.1869	ins	18	0.000168026400613
0 - 1	0.6814	del	19	0.000260642673049
>1	0.3186	del	19	0.000260642673049
0 - 1	0.8502	ins	19	0.000158318884242
>1	0.1498	ins	19	0.000158318884242
0 - 1	0.595	del	20	0.000257821855982
>1	0.405	del	20	0.000257821855982
