"cat","prop","var","dist","theta","cat_theta"
"0 - 1",0.6384,"del",1,0.000235597819049,0.000150405647680882
">1",0.3616,"del",1,0.000235597819049,8.51921713681184e-05
"0 - 1",0.8841,"ins",1,0.000154102228157,0.000136241779913604
">1",0.1159,"ins",1,0.000154102228157,1.78604482433963e-05
"0 - 1",0.5365,"del",2,0.000250895265905,0.000134605310158032
">1",0.4635,"del",2,0.000250895265905,0.000116289955746968
"0 - 1",0.8424,"ins",2,0.000155047946669,0.000130612390273966
">1",0.1576,"ins",2,0.000155047946669,2.44355563950344e-05
"0 - 1",0.5236,"del",3,0.000257838588992,0.000135004285196211
">1",0.4764,"del",3,0.000257838588992,0.000122834303795789
"0 - 1",0.8391,"ins",3,0.000148841913049,0.000124893249239416
">1",0.1609,"ins",3,0.000148841913049,2.39486638095841e-05
"0 - 1",0.5707,"del",4,0.00024615335214,0.000140479718066298
">1",0.4293,"del",4,0.00024615335214,0.000105673634073702
"0 - 1",0.7159,"ins",4,0.000160389323308,0.000114822716556197
">1",0.2841,"ins",4,0.000160389323308,4.55666067518028e-05
"0 - 1",0.5645,"del",5,0.00024320347862,0.00013728836368099
">1",0.4355,"del",5,0.00024320347862,0.00010591511493901
"0 - 1",0.8341,"ins",5,0.000151554212732,0.000126411368839761
">1",0.1659,"ins",5,0.000151554212732,2.51428438922388e-05
"0 - 1",0.5396,"del",6,0.000255561085514,0.000137900761743354
">1",0.4604,"del",6,0.000255561085514,0.000117660323770646
"0 - 1",0.833,"ins",6,0.000160750573859,0.000133905228024547
">1",0.167,"ins",6,0.000160750573859,2.6845345834453e-05
"0 - 1",0.5414,"del",7,0.000256908621491,0.000139090327675227
">1",0.4586,"del",7,0.000256908621491,0.000117818293815773
"0 - 1",0.9237,"ins",7,0.000143109057819,0.00013218983670741
">1",0.0763,"ins",7,0.000143109057819,1.09192211115897e-05
"0 - 1",0.5553,"del",8,0.000253474195182,0.000140754220584565
">1",0.4447,"del",8,0.000253474195182,0.000112719974597435
"0 - 1",0.7154,"ins",8,0.000167561754411,0.000119873679105629
">1",0.2846,"ins",8,0.000167561754411,4.76880753053706e-05
"0 - 1",0.5941,"del",9,0.000249937213565,0.000148487698578966
">1",0.4059,"del",9,0.000249937213565,0.000101449514986033
"0 - 1",0.7224,"ins",9,0.00016806457827,0.000121409851342248
">1",0.2776,"ins",9,0.00016806457827,4.6654726927752e-05
"0 - 1",0.4965,"del",10,0.000285458344339,0.000141730067964313
">1",0.5035,"del",10,0.000285458344339,0.000143728276374686
"0 - 1",0.8826,"ins",10,0.00015578887819,0.000137499263890494
">1",0.1174,"ins",10,0.00015578887819,1.8289614299506e-05
"0 - 1",0.5622,"del",11,0.000265485376396,0.000149255878609831
">1",0.4378,"del",11,0.000265485376396,0.000116229497786169
"0 - 1",0.8518,"ins",11,0.000155544563097,0.000132492858846025
">1",0.1482,"ins",11,0.000155544563097,2.30517042509754e-05
"0 - 1",0.5981,"del",12,0.000255891066443,0.000153048446839558
">1",0.4019,"del",12,0.000255891066443,0.000102842619603442
"0 - 1",0.9085,"ins",12,0.000151193739556,0.000137359512386626
">1",0.0915,"ins",12,0.000151193739556,1.3834227169374e-05
"0 - 1",0.6034,"del",13,0.00025542720316,0.000154124774386744
">1",0.3966,"del",13,0.00025542720316,0.000101302428773256
"0 - 1",0.8613,"ins",13,0.000153416385784,0.000132137533075759
">1",0.1387,"ins",13,0.000153416385784,2.12788527082408e-05
"0 - 1",0.6134,"del",14,0.00025472244664,0.000156246748768976
">1",0.3866,"del",14,0.00025472244664,9.8475697871024e-05
"0 - 1",0.8076,"ins",14,0.000156693403442,0.000126545592619759
">1",0.1924,"ins",14,0.000156693403442,3.01478108222408e-05
"0 - 1",0.6359,"del",15,0.00025084405847,0.000159511736781073
">1",0.3641,"del",15,0.00025084405847,9.1332321688927e-05
"0 - 1",0.949,"ins",15,0.000150093249689,0.000142438493954861
">1",0.051,"ins",15,0.000150093249689,7.654755734139e-06
"0 - 1",0.5427,"del",16,0.000287400636159,0.000155972325243489
">1",0.4573,"del",16,0.000287400636159,0.000131428310915511
"0 - 1",0.6497,"ins",16,0.000190621765962,0.000123846961345511
">1",0.3503,"ins",16,0.000190621765962,6.67748046164886e-05
"0 - 1",0.6419,"del",17,0.000234785465359,0.000150708790213942
">1",0.3581,"del",17,0.000234785465359,8.40766751450579e-05
"0 - 1",0.963,"ins",17,0.000146683765925,0.000141256466585775
">1",0.037,"ins",17,0.000146683765925,5.427299339225e-06
"0 - 1",0.4918,"del",18,0.000292131279042,0.000143670163032856
">1",0.5082,"del",18,0.000292131279042,0.000148461116009144
"0 - 1",0.8131,"ins",18,0.000168026400613,0.00013662226633843
">1",0.1869,"ins",18,0.000168026400613,3.14041342745697e-05
