length,n_var,call,pi,tajd,var_type
1,75,18439769.0,6.1216373669e-07,-1.9012787838,ins
2,34,18439769.0,3.26311314592e-07,-1.46980229552,ins
3,94,18439769.0,8.80105784862e-07,-1.589787019,ins
4,15,18439769.0,1.39572475692e-07,-1.44393378949,ins
5,11,18439769.0,7.299726106e-08,-2.00692329576,ins
6,25,18439769.0,3.72335980656e-07,-0.0993856636682,ins
7,7,18439769.0,4.80226360639e-08,-1.81228732733,ins
8,7,18439769.0,7.32113292742e-08,-1.0382987443,ins
9,14,18439769.0,1.27727367837e-07,-1.47580828493,ins
10,3,18439769.0,8.34866035583e-09,-2.18461815566,ins
11,4,18439769.0,3.98880439223e-08,-1.00637846874,ins
12,5,18439769.0,3.15393835665e-08,-1.7971707164,ins
13,2,18439769.0,5.56577357056e-09,-1.9178028012,ins
14,1,18439769.0,2.78288678528e-09,-1.47608391296,ins
15,3,18439769.0,8.34866035583e-09,-2.18461815566,ins
16,1,18439769.0,2.78288678528e-09,-1.47608391296,ins
17,1,18439769.0,7.92052392733e-09,-0.86954645818,ins
18,5,18439769.0,2.18349578537e-08,-2.18568360695,ins
19,4,18439769.0,4.28849989219e-08,-0.86448447774,ins
20,0,18439769.0,0,NA,ins
21,3,18439769.0,2.64731024959e-08,-1.12901159321,ins
22,0,18439769.0,0,NA,ins
23,0,18439769.0,0,NA,ins
24,1,18439769.0,5.42306142772e-09,-1.16439105425,ins
25,0,18439769.0,0,NA,ins
26,0,18439769.0,0,NA,ins
27,2,18439769.0,5.56577357056e-09,-1.9178028012,ins
28,0,18439769.0,0,NA,ins
29,0,18439769.0,0,NA,ins
30,0,18439769.0,0,NA,ins
31,0,18439769.0,0,NA,ins
32,1,18439769.0,5.42306142772e-09,-1.16439105425,ins
33,0,18439769.0,0,NA,ins
34,1,18439769.0,5.42306142772e-09,-1.16439105425,ins
35,0,18439769.0,0,NA,ins
36,1,18439769.0,2.78288678528e-09,-1.47608391296,ins
37,0,18439769.0,0,NA,ins
38,0,18439769.0,0,NA,ins
39,0,18439769.0,0,NA,ins
40,0,18439769.0,0,NA,ins
41,0,18439769.0,0,NA,ins
42,1,18439769.0,5.42306142772e-09,-1.16439105425,ins
43,1,18439769.0,2.78288678528e-09,-1.47608391296,ins
44,0,18439769.0,0,NA,ins
45,0,18439769.0,0,NA,ins
46,1,18439769.0,2.78288678528e-09,-1.47608391296,ins
47,0,18439769.0,0,NA,ins
48,0,18439769.0,0,NA,ins
49,0,18439769.0,0,NA,ins
50,0,18439769.0,0,NA,ins
1,100,18439769.0,6.70889783466e-07,-2.30521170231,del
2,43,18439769.0,3.08258228523e-07,-2.12296860944,del
3,181,18439769.0,1.45366588692e-06,-1.96849405832,del
4,27,18439769.0,1.59124039261e-07,-2.39147010293,del
5,10,18439769.0,6.78596239179e-08,-1.94452230243,del
6,64,18439769.0,4.53895970286e-07,-2.17650311482,del
7,10,18439769.0,9.2834248914e-08,-1.37318446216,del
8,8,18439769.0,4.68095828498e-08,-2.08023763365,del
9,19,18439769.0,1.12171744268e-07,-2.32120667645,del
10,4,18439769.0,5.23753564204e-08,-0.415153506228,del
11,3,18439769.0,3.49644749945e-08,-0.634455762772,del
12,16,18439769.0,8.88383089147e-08,-2.36669567611,del
13,3,18439769.0,1.09888349983e-08,-2.03084869578,del
14,0,18439769.0,0,NA,del
15,11,18439769.0,5.93682514193e-08,-2.29439422597,del
16,2,18439769.0,5.56577357056e-09,-1.9178028012,del
17,0,18439769.0,0,NA,del
18,2,18439769.0,1.92661392827e-08,-0.86707732451,del
19,2,18439769.0,5.56577357056e-09,-1.9178028012,del
20,1,18439769.0,5.42306142772e-09,-1.16439105425,del
21,1,18439769.0,2.78288678528e-09,-1.47608391296,del
22,0,18439769.0,0,NA,del
23,2,18439769.0,1.92661392827e-08,-0.86707732451,del
24,3,18439769.0,1.58410478547e-08,-1.7482453641,del
25,0,18439769.0,0,NA,del
26,0,18439769.0,0,NA,del
27,0,18439769.0,0,NA,del
28,0,18439769.0,0,NA,del
29,0,18439769.0,0,NA,del
30,0,18439769.0,0,NA,del
31,1,18439769.0,7.92052392733e-09,-0.86954645818,del
32,2,18439769.0,5.56577357056e-09,-1.9178028012,del
33,0,18439769.0,0,NA,del
34,0,18439769.0,0,NA,del
35,0,18439769.0,0,NA,del
36,0,18439769.0,0,NA,del
37,0,18439769.0,0,NA,del
38,1,18439769.0,2.78288678528e-09,-1.47608391296,del
39,0,18439769.0,0,NA,del
40,0,18439769.0,0,NA,del
41,0,18439769.0,0,NA,del
42,0,18439769.0,0,NA,del
43,0,18439769.0,0,NA,del
44,0,18439769.0,0,NA,del
45,0,18439769.0,0,NA,del
46,0,18439769.0,0,NA,del
47,0,18439769.0,0,NA,del
48,0,18439769.0,0,NA,del
49,0,18439769.0,0,NA,del
50,0,18439769.0,0,NA,del
