length,n_var,call,pi,tajd,var_type
1,74,18439769.0,8.84815285576e-07,-0.888149474801,ins
1,97,18439769.0,1.04608000698e-06,-1.20908991867,del
2,33,18439769.0,3.87320755654e-07,-0.915384722274,ins
2,43,18439769.0,3.76760057084e-07,-1.7063172106,del
3,92,18439769.0,1.06634513126e-06,-0.991334368873,ins
3,175,18439769.0,1.95258753827e-06,-1.11972998278,del
4,14,18439769.0,1.82671542829e-07,-0.535952798409,ins
4,27,18439769.0,2.59736099959e-07,-1.4426781532,del
5,11,18439769.0,1.03609015698e-07,-1.36124251533,ins
5,9,18439769.0,1.11886319982e-07,-0.642107884687,del
6,23,18439769.0,2.77432405671e-07,-0.81095598615,ins
6,58,18439769.0,5.98534727049e-07,-1.31483047734,del
7,6,18439769.0,5.76557057053e-08,-1.1834852631,ins
7,10,18439769.0,1.48706052834e-07,-0.0950200937673,del
8,7,18439769.0,7.59228599881e-08,-0.954979860006,ins
8,8,18439769.0,8.44855885582e-08,-1.04185657101,del
9,14,18439769.0,1.68400328545e-07,-0.780071106596,ins
9,19,18439769.0,1.97513605683e-07,-1.20994004348,del
10,3,18439769.0,1.62691842832e-08,-1.72330977601,ins
10,4,18439769.0,3.82468542797e-08,-1.08408232096,del
11,4,18439769.0,6.25079185616e-08,0.0645833204995,ins
11,3,18439769.0,5.99390999906e-08,0.820120209109,del
12,5,18439769.0,5.76557057053e-08,-0.75161396685,ins
12,15,18439769.0,1.15882259982e-07,-1.8252117998,del
13,2,18439769.0,1.08461228554e-08,-1.51283569039,ins
13,3,18439769.0,2.11213971395e-08,-1.44070644433,del
14,1,18439769.0,5.42306142772e-09,-1.16439105425,ins
14,0,18439769.0,0,NA,del
15,3,18439769.0,1.62691842832e-08,-1.72330977601,ins
15,11,18439769.0,1.00469348556e-07,-1.42746618511,del
16,1,18439769.0,5.42306142772e-09,-1.16439105425,ins
16,2,18439769.0,1.08461228554e-08,-1.51283569039,del
17,1,18439769.0,1.45566385691e-08,-0.0861022457553,ins
17,0,18439769.0,0,NA,del
18,5,18439769.0,4.16719457078e-08,-1.39151755128,ins
18,1,18439769.0,5.42306142772e-09,-1.16439105425,del
19,4,18439769.0,6.3078767133e-08,0.0916107473574,ins
19,2,18439769.0,1.08461228554e-08,-1.51283569039,del
20,0,18439769.0,0,NA,ins
20,1,18439769.0,1.02752742841e-08,-0.591550124739,del
21,3,18439769.0,4.30990671361e-08,-0.160679589073,ins
21,1,18439769.0,5.42306142772e-09,-1.16439105425,del
22,0,18439769.0,0,NA,ins
22,0,18439769.0,0,NA,del
23,0,18439769.0,0,NA,ins
23,2,18439769.0,3.13966714237e-08,0.0632525246439,del
24,1,18439769.0,1.02752742841e-08,-0.591550124739,ins
24,3,18439769.0,2.91132771383e-08,-0.975242133327,del
25,0,18439769.0,0,NA,ins
25,0,18439769.0,0,NA,del
26,0,18439769.0,0,NA,ins
26,0,18439769.0,0,NA,del
27,2,18439769.0,1.08461228554e-08,-1.51283569039,ins
27,0,18439769.0,0,NA,del
28,0,18439769.0,0,NA,ins
28,0,18439769.0,0,NA,del
29,0,18439769.0,0,NA,ins
29,0,18439769.0,0,NA,del
30,0,18439769.0,0,NA,ins
30,0,18439769.0,0,NA,del
31,0,18439769.0,0,NA,ins
31,1,18439769.0,1.45566385691e-08,-0.0861022457553,del
32,1,18439769.0,1.02752742841e-08,-0.591550124739,ins
32,2,18439769.0,1.08461228554e-08,-1.51283569039,del
33,0,18439769.0,0,NA,ins
33,0,18439769.0,0,NA,del
34,1,18439769.0,1.02752742841e-08,-0.591550124739,ins
34,0,18439769.0,0,NA,del
35,0,18439769.0,0,NA,ins
35,0,18439769.0,0,NA,del
36,1,18439769.0,5.42306142772e-09,-1.16439105425,ins
36,0,18439769.0,0,NA,del
37,0,18439769.0,0,NA,ins
37,0,18439769.0,0,NA,del
38,0,18439769.0,0,NA,ins
38,1,18439769.0,5.42306142772e-09,-1.16439105425,del
39,0,18439769.0,0,NA,ins
39,0,18439769.0,0,NA,del
40,0,18439769.0,0,NA,ins
40,0,18439769.0,0,NA,del
41,0,18439769.0,0,NA,ins
41,0,18439769.0,0,NA,del
42,1,18439769.0,1.02752742841e-08,-0.591550124739,ins
42,0,18439769.0,0,NA,del
43,1,18439769.0,5.42306142772e-09,-1.16439105425,ins
43,0,18439769.0,0,NA,del
44,0,18439769.0,0,NA,ins
44,0,18439769.0,0,NA,del
45,0,18439769.0,0,NA,ins
45,0,18439769.0,0,NA,del
46,1,18439769.0,5.42306142772e-09,-1.16439105425,ins
46,0,18439769.0,0,NA,del
47,0,18439769.0,0,NA,ins
47,0,18439769.0,0,NA,del
48,0,18439769.0,0,NA,ins
48,0,18439769.0,0,NA,del
49,0,18439769.0,0,NA,ins
49,0,18439769.0,0,NA,del
50,0,18439769.0,0,NA,ins
50,0,18439769.0,0,NA,del
