length,n_var,call,pi,tajd,var_type
1,63478,237181227.0,5.21229234865e-05,-1.2973960957,ins
2,15414,237181227.0,1.35559122255e-05,-1.0912163541,ins
3,8655,237181227.0,7.87389245475e-06,-0.984103279822,ins
4,6755,237181227.0,5.84300038215e-06,-1.14209796133,ins
5,3750,237181227.0,3.23104585783e-06,-1.15372039783,ins
6,2916,237181227.0,2.5269706527e-06,-1.13596336668,ins
7,2119,237181227.0,1.69573308022e-06,-1.36972462556,ins
8,2027,237181227.0,1.61725655773e-06,-1.37810873827,ins
9,1475,237181227.0,1.19140520075e-06,-1.3427181543,ins
10,1221,237181227.0,1.02122110062e-06,-1.24128577328,ins
11,929,237181227.0,7.42303800949e-07,-1.37219192245,ins
12,860,237181227.0,6.59322617335e-07,-1.48602284634,ins
13,674,237181227.0,5.05570544608e-07,-1.54324689615,ins
14,540,237181227.0,4.18212294952e-07,-1.45629426521,ins
15,446,237181227.0,3.11076807725e-07,-1.72566177987,ins
16,397,237181227.0,2.91676807785e-07,-1.59386563254,ins
17,339,237181227.0,2.29698884043e-07,-1.7928559666,ins
18,304,237181227.0,2.19530110841e-07,-1.63525493242,ins
19,263,237181227.0,1.80768944247e-07,-1.7553589351,ins
20,264,237181227.0,1.75520903085e-07,-1.83417575707,ins
21,222,237181227.0,1.512889329e-07,-1.77316282089,ins
22,194,237181227.0,1.29059650728e-07,-1.82735014405,ins
23,190,237181227.0,1.29575578664e-07,-1.76853191483,ins
24,156,237181227.0,1.05216013398e-07,-1.79035387193,ins
25,149,237181227.0,1.04655704564e-07,-1.6919822835,ins
26,117,237181227.0,7.93807832816e-08,-1.76831056771,ins
27,96,237181227.0,5.40392906525e-08,-2.16045885842,ins
28,98,237181227.0,5.46717184457e-08,-2.17882504095,ins
29,88,237181227.0,5.19256503959e-08,-2.06255262202,ins
30,76,237181227.0,4.69217041719e-08,-1.96097962545,ins
31,80,237181227.0,4.9750986405e-08,-1.94821181137,ins
32,62,237181227.0,3.55047182195e-08,-2.10162611633,ins
33,68,237181227.0,3.97430939569e-08,-2.06741752056,ins
34,60,237181227.0,2.88309407166e-08,-2.41343991855,ins
35,48,237181227.0,2.02265941606e-08,-2.59292266647,ins
36,44,237181227.0,2.72054903357e-08,-1.91990929334,ins
37,41,237181227.0,1.64930511354e-08,-2.6386590138,ins
38,41,237181227.0,2.17078066239e-08,-2.21175452243,ins
39,46,237181227.0,2.12196167483e-08,-2.45352698773,ins
40,42,237181227.0,1.96440948774e-08,-2.42179148055,ins
41,47,237181227.0,2.18132112561e-08,-2.44630713808,ins
42,45,237181227.0,2.56577065258e-08,-2.08412221237,ins
43,37,237181227.0,1.68480983176e-08,-2.44766461135,ins
44,34,237181227.0,1.45735773066e-08,-2.52504077652,ins
45,38,237181227.0,2.52305403847e-08,-1.75359047102,ins
46,38,237181227.0,1.06070345681e-08,-3.04032683139,ins
47,32,237181227.0,1.66983127876e-08,-2.20743431623,ins
48,38,237181227.0,2.06204746284e-08,-2.15923459677,ins
49,36,237181227.0,1.87120960241e-08,-2.22925112614,ins
50,34,237181227.0,1.22213897246e-08,-2.75495913003,ins
1,65784,237181227.0,5.38280320314e-05,-1.30751329271,del
2,25197,237181227.0,1.90108904184e-05,-1.5326631562,del
3,17402,237181227.0,1.25380474302e-05,-1.65267420101,del
4,11525,237181227.0,8.34581673123e-06,-1.63966129408,del
5,7218,237181227.0,5.22156240868e-06,-1.64208902084,del
6,5628,237181227.0,4.14913684725e-06,-1.59313922709,del
7,3576,237181227.0,2.57548452158e-06,-1.65285650777,del
8,2852,237181227.0,2.0608491786e-06,-1.64418299253,del
9,2342,237181227.0,1.75852650296e-06,-1.54414852915,del
10,1890,237181227.0,1.36261560914e-06,-1.64931384419,del
11,1565,237181227.0,1.16061040531e-06,-1.57609667552,del
12,1179,237181227.0,8.36446780353e-07,-1.68872579518,del
13,872,237181227.0,5.91658391066e-07,-1.79666109351,del
14,690,237181227.0,4.68218471519e-07,-1.79522254675,del
15,570,237181227.0,3.80960078883e-07,-1.83000840412,del
16,432,237181227.0,3.21816984986e-07,-1.55857149206,del
17,383,237181227.0,2.62962366925e-07,-1.76254212801,del
18,303,237181227.0,2.33349212885e-07,-1.46691367033,del
19,283,237181227.0,1.93916785213e-07,-1.76380027323,del
20,202,237181227.0,1.53213954341e-07,-1.50237048322,del
21,166,237181227.0,1.09626365115e-07,-1.84086369287,del
22,167,237181227.0,1.19878352501e-07,-1.64075141987,del
23,132,237181227.0,1.00467257337e-07,-1.48478761595,del
24,87,237181227.0,5.70904773744e-08,-1.83403245251,del
25,87,237181227.0,6.68653701092e-08,-1.44684332118,del
26,94,237181227.0,5.5254217729e-08,-2.07348149782,del
27,72,237181227.0,4.95956532628e-08,-1.71304362502,del
28,67,237181227.0,4.97953673028e-08,-1.52328045482,del
29,66,237181227.0,3.83561909015e-08,-2.07680750775,del
30,57,237181227.0,3.1965341622e-08,-2.13589595978,del
31,45,237181227.0,3.29861022708e-08,-1.5351375695,del
32,48,237181227.0,3.01679152621e-08,-1.89278780669,del
33,35,237181227.0,2.06204746284e-08,-1.9948406168,del
34,23,237181227.0,1.5383528691e-08,-1.68116349247,del
35,41,237181227.0,2.08312838928e-08,-2.28351080927,del
36,31,237181227.0,2.47811837947e-08,-1.28574290648,del
37,23,237181227.0,1.57385758732e-08,-1.63121436206,del
38,24,237181227.0,1.34085787401e-08,-2.04446993971,del
39,14,237181227.0,9.78598795924e-09,-1.50754366499,del
40,31,237181227.0,1.83237631686e-08,-1.97420166975,del
41,22,237181227.0,1.11839862391e-08,-2.19244568366,del
42,16,237181227.0,6.97334856279e-09,-2.35368312195,del
43,19,237181227.0,1.03851300792e-08,-2.04246086551,del
44,11,237181227.0,1.09177008525e-08,-0.584619478722,del
45,8,237181227.0,7.07320558278e-09,-0.862893168163,del
46,5,237181227.0,2.78490133534e-09,-1.62576797058,del
47,6,237181227.0,2.46313982647e-09,-2.08599036502,del
48,6,237181227.0,2.4187589287e-09,-2.10582564199,del
49,9,237181227.0,6.01361164842e-09,-1.50541469251,del
50,12,237181227.0,9.56408347036e-09,-1.18227581503,del
