length,n_var,call,pi,tajd,var_type
1,75838,302121422.0,6.49854787958e-05,-0.342270138127,ins
1,71882,302121422.0,6.13219813672e-05,-0.359395939755,del
2,18810,302121422.0,1.668619809e-05,-0.206399014202,ins
2,29910,302121422.0,2.45517181499e-05,-0.504432385365,del
3,10189,302121422.0,8.97842220606e-06,-0.232938762251,ins
3,19714,302121422.0,1.58372191095e-05,-0.58316643279,del
4,8165,302121422.0,7.11254639725e-06,-0.278296542029,ins
4,13491,302121422.0,1.09034760342e-05,-0.561295129781,del
5,4461,302121422.0,3.92369257069e-06,-0.240219530528,ins
5,8322,302121422.0,6.76911528916e-06,-0.537862892704,del
6,3292,302121422.0,2.83589361143e-06,-0.321585186712,ins
6,6234,302121422.0,5.01852948103e-06,-0.57548347951,del
7,2338,302121422.0,1.9887263807e-06,-0.370226824002,ins
7,4097,302121422.0,3.34781744944e-06,-0.520902540638,del
8,2268,302121422.0,1.84544136172e-06,-0.536194606901,ins
8,3253,302121422.0,2.65811566388e-06,-0.520880580105,del
9,1766,302121422.0,1.4425535035e-06,-0.521839955162,ins
9,2550,302121422.0,2.09248389717e-06,-0.505253229031,del
10,1345,302121422.0,1.11100329303e-06,-0.480412422661,ins
10,2181,302121422.0,1.77166482004e-06,-0.54232757867,del
11,1123,302121422.0,9.32911773396e-07,-0.459119159727,ins
11,1802,302121422.0,1.43870353521e-06,-0.604792699161,del
12,940,302121422.0,7.64122892076e-07,-0.539007088335,ins
12,1363,302121422.0,1.08473292116e-06,-0.616012362234,del
13,713,302121422.0,5.61102392241e-07,-0.654952179136,ins
13,980,302121422.0,7.72345448788e-07,-0.650348790017,del
14,618,302121422.0,4.8756973995e-07,-0.645729797866,ins
14,851,302121422.0,6.54128775382e-07,-0.737412795449,del
15,499,302121422.0,3.99630192742e-07,-0.591810790827,ins
15,637,302121422.0,5.14136263225e-07,-0.564306657402,del
16,423,302121422.0,3.19599630167e-07,-0.794155093987,ins
16,502,302121422.0,3.92992917091e-07,-0.672499662691,del
17,356,302121422.0,2.74340726909e-07,-0.726013347504,ins
17,441,302121422.0,3.50381955825e-07,-0.619879074306,del
18,310,302121422.0,2.32984053955e-07,-0.810506724739,ins
18,382,302121422.0,3.08049725294e-07,-0.566184980344,del
19,283,302121422.0,2.16817671267e-07,-0.744872057393,ins
19,286,302121422.0,2.32914371271e-07,-0.529501551545,del
20,283,302121422.0,2.11939883387e-07,-0.821829343908,ins
20,236,302121422.0,1.83300300263e-07,-0.696676429551,del
