length,n_var,call,pi,tajd,var_type
1,136704,539302649.0,6.59845685861e-05,-0.321062705541,ins
1,134339,539302649.0,6.43402131118e-05,-0.351124745177,del
2,33743,539302649.0,1.68040690402e-05,-0.198008353847,ins
2,53974,539302649.0,2.49271614657e-05,-0.488479482526,del
3,18591,539302649.0,9.2197035107e-06,-0.214691790619,ins
3,36365,539302649.0,1.63619191045e-05,-0.584049203028,del
4,14673,539302649.0,7.16396883194e-06,-0.276372293676,ins
4,24485,539302649.0,1.10482246901e-05,-0.57368531264,del
5,8130,539302649.0,3.98014967503e-06,-0.265725740161,ins
5,15211,539302649.0,6.91569499704e-06,-0.546134558599,del
6,6121,539302649.0,2.98208690687e-06,-0.284761635177,ins
6,11587,539302649.0,5.25977488072e-06,-0.551838071137,del
7,4381,539302649.0,2.04922529794e-06,-0.440757167025,ins
7,7519,539302649.0,3.42215813475e-06,-0.542168585354,del
8,4225,539302649.0,1.94060549517e-06,-0.508487170338,ins
8,5974,539302649.0,2.74339659813e-06,-0.509304928154,del
9,3192,539302649.0,1.47549218158e-06,-0.484867731045,ins
9,4804,539302649.0,2.22167997313e-06,-0.483232413165,del
10,2523,539302649.0,1.17629488478e-06,-0.452825784387,ins
10,3976,539302649.0,1.80818302403e-06,-0.544919650773,del
11,2028,539302649.0,9.45138671985e-07,-0.454205160523,ins
11,3296,539302649.0,1.50208597876e-06,-0.537187394632,del
12,1766,539302649.0,8.03669430208e-07,-0.542099077691,ins
12,2496,539302649.0,1.12017953295e-06,-0.59276590811,del
13,1349,539302649.0,5.97447952009e-07,-0.639695616805,ins
13,1825,539302649.0,7.99424181852e-07,-0.678807268682,del
14,1137,539302649.0,5.09605468204e-07,-0.596856047974,ins
14,1512,539302649.0,6.54685610881e-07,-0.719120506668,del
15,926,539302649.0,3.98194536628e-07,-0.74231741707,ins
15,1186,539302649.0,5.26791404653e-07,-0.629188064499,del
16,810,539302649.0,3.48003014108e-07,-0.745128212528,ins
16,918,539302649.0,4.13399357178e-07,-0.579559761505,del
17,681,539302649.0,2.90843428768e-07,-0.765165705562,ins
17,810,539302649.0,3.60855869476e-07,-0.618024500619,del
18,600,539302649.0,2.53621871916e-07,-0.799882931708,ins
18,673,539302649.0,3.13699455551e-07,-0.452604933181,del
19,537,539302649.0,2.22597401744e-07,-0.864996694681,ins
19,553,539302649.0,2.47805393708e-07,-0.596368154821,del
20,535,539302649.0,2.20684600186e-07,-0.881187423329,ins
20,427,539302649.0,1.94207913311e-07,-0.542067038656,del
21,445,539302649.0,1.86117543455e-07,-0.834526138427,ins
21,370,539302649.0,1.59709170921e-07,-0.726666616243,del
22,418,539302649.0,1.71849605301e-07,-0.891135783447,ins
22,358,539302649.0,1.63271275864e-07,-0.531590525687,del
23,379,539302649.0,1.58050108345e-07,-0.843579575089,ins
23,269,539302649.0,1.2970941587e-07,-0.322378399467,del
24,321,539302649.0,1.3950764426e-07,-0.702426220525,ins
24,228,539302649.0,1.0181764621e-07,-0.605302949272,del
25,308,539302649.0,1.27025638174e-07,-0.879131347139,ins
25,197,539302649.0,8.66030664683e-08,-0.659681302261,del
26,253,539302649.0,1.02159217916e-07,-0.946500930536,ins
26,180,539302649.0,7.37014151419e-08,-0.89830742646,del
27,210,539302649.0,8.14892500575e-08,-1.07001906809,ins
27,161,539302649.0,6.60306905257e-08,-0.89168378137,del
28,183,539302649.0,7.35257496926e-08,-0.959377485969,ins
28,148,539302649.0,6.61185232503e-08,-0.600811411344,del
29,181,539302649.0,7.7224483318e-08,-0.761851708415,ins
29,137,539302649.0,5.51979878234e-08,-0.946714995695,del
30,167,539302649.0,6.64503357655e-08,-0.989009277184,ins
30,110,539302649.0,4.387732554e-08,-0.974773117359,del
31,170,539302649.0,7.17105400506e-08,-0.799550033543,ins
31,95,539302649.0,4.1437527634e-08,-0.678951035776,del
32,138,539302649.0,4.61804947631e-08,-1.48655688444,ins
32,89,539302649.0,3.55722534682e-08,-0.964069886141,del
33,129,539302649.0,4.82494433874e-08,-1.1738839227,ins
33,76,539302649.0,3.34837864608e-08,-0.640923696591,del
34,106,539302649.0,3.78168675417e-08,-1.30555966221,ins
34,57,539302649.0,2.47005139995e-08,-0.69111874679,del
35,105,539302649.0,3.51330898452e-08,-1.47969122753,ins
35,67,539302649.0,2.57349883116e-08,-1.07792325488,del
36,91,539302649.0,3.03998819077e-08,-1.47932945893,ins
36,63,539302649.0,3.01754205003e-08,-0.339169916639,del
37,96,539302649.0,3.47329629886e-08,-1.26327879916,ins
37,42,539302649.0,1.82399291446e-08,-0.675225513844,del
38,97,539302649.0,3.08292863391e-08,-1.60899626318,ins
38,53,539302649.0,2.08261149249e-08,-1.00100476268,del
39,87,539302649.0,2.98338487935e-08,-1.40838810099,ins
39,40,539302649.0,1.66394217183e-08,-0.813109731996,del
40,84,539302649.0,2.59984864854e-08,-1.66876008489,ins
40,61,539302649.0,2.36074845376e-08,-1.05214147078,del
41,106,539302649.0,3.19906301423e-08,-1.73812474578,ins
41,41,539302649.0,1.7995949354e-08,-0.639020210061,del
42,93,539302649.0,3.23809978073e-08,-1.36926612498,ins
42,32,539302649.0,1.31261127338e-08,-0.846829504041,del
43,75,539302649.0,2.61155967849e-08,-1.36168869478,ins
43,29,539302649.0,1.23356182123e-08,-0.728016911509,del
44,55,539302649.0,1.71859364493e-08,-1.62431294297,ins
44,39,539302649.0,2.07382822003e-08,0.0692407531399,del
45,64,539302649.0,2.22119201354e-08,-1.36414279313,ins
45,20,539302649.0,1.04325758457e-08,-0.00746586755302,del
46,74,539302649.0,2.25827694171e-08,-1.69697372509,ins
46,25,539302649.0,9.92509788126e-09,-0.930474464922,del
47,55,539302649.0,1.6932197467e-08,-1.65996579358,ins
47,10,539302649.0,3.16197808606e-09,-1.3813464313,del
48,81,539302649.0,2.71891078635e-08,-1.46258423302,ins
48,26,539302649.0,1.36335906982e-08,0.0127229951529,del
49,55,539302649.0,1.69614750419e-08,-1.65585200312,ins
49,22,539302649.0,7.92446359841e-09,-1.19087601643,del
50,63,539302649.0,1.87864438755e-08,-1.7428593293,ins
50,21,539302649.0,8.2074801555e-09,-0.962523401831,del
