length,n_var,call,pi,tajd,var_type
1,137818,539302649.0,6.56306905386e-05,-0.373023245464,ins
1,137153,539302649.0,6.46940911592e-05,-0.409326415824,del
2,33797,539302649.0,1.65680625092e-05,-0.26048316907,ins
2,55097,539302649.0,2.51631679968e-05,-0.529680617411,del
3,18574,539302649.0,9.04189103932e-06,-0.287929132679,ins
3,37099,539302649.0,1.65397315759e-05,-0.617051527933,del
4,14753,539302649.0,7.05685194468e-06,-0.355943455953,ins
4,24985,539302649.0,1.11553415773e-05,-0.611775923789,del
5,8115,539302649.0,3.90624331686e-06,-0.331589710013,ins
5,15525,539302649.0,6.9896013552e-06,-0.581753302281,del
6,6102,539302649.0,2.92572757524e-06,-0.346739662356,ins
6,11816,539302649.0,5.31613421235e-06,-0.584185235004,del
7,4385,539302649.0,2.01190614918e-06,-0.512505753403,ins
7,7672,539302649.0,3.45947728352e-06,-0.575994861001,del
8,4227,539302649.0,1.91528039291e-06,-0.55832865464,ins
8,6078,539302649.0,2.7687217004e-06,-0.538943673163,del
9,3205,539302649.0,1.45515402624e-06,-0.550852309011,ins
9,4891,539302649.0,2.24201812847e-06,-0.515895227027,del
10,2525,539302649.0,1.15820134351e-06,-0.513294718294,ins
10,4042,539302649.0,1.8262765653e-06,-0.568601396488,del
11,2019,539302649.0,9.3038277425e-07,-0.496172887845,ins
11,3352,539302649.0,1.51684187649e-06,-0.562971241646,del
12,1770,539302649.0,7.94368920591e-07,-0.592502429234,ins
12,2532,539302649.0,1.12948004256e-06,-0.614502728497,del
13,1359,539302649.0,5.91582677843e-07,-0.700445139725,ins
13,1851,539302649.0,8.05289456018e-07,-0.702759434635,del
14,1141,539302649.0,5.03437659098e-07,-0.652790264288,ins
14,1539,539302649.0,6.60853419988e-07,-0.747922009114,del
15,934,539302649.0,3.94427488662e-07,-0.804165152817,ins
15,1203,539302649.0,5.3055845262e-07,-0.654422217835,del
16,817,539302649.0,3.4597310225e-07,-0.794534860903,ins
16,933,539302649.0,4.15429269036e-07,-0.620162510339,del
17,687,539302649.0,2.88998941551e-07,-0.816546372771,ins
17,819,539302649.0,3.62700356693e-07,-0.639218462266,del
18,605,539302649.0,2.51230869968e-07,-0.859492251054,ins
18,679,539302649.0,3.16090457499e-07,-0.457401811184,del
19,539,539302649.0,2.21289670066e-07,-0.896721691015,ins
19,561,539302649.0,2.49113125385e-07,-0.628877037842,del
20,541,539302649.0,2.19562293149e-07,-0.934418111,ins
20,432,539302649.0,1.95330220347e-07,-0.563405345763,del
21,451,539302649.0,1.85932118814e-07,-0.882341413049,ins
21,373,539302649.0,1.59894595562e-07,-0.750452719253,del
22,422,539302649.0,1.71351886528e-07,-0.931741485574,ins
22,363,539302649.0,1.63768994637e-07,-0.570840764868,del
23,388,539302649.0,1.57884202088e-07,-0.924363635754,ins
23,270,539302649.0,1.29875322128e-07,-0.331720973894,del
24,326,539302649.0,1.3950764426e-07,-0.755679427186,ins
24,228,539302649.0,1.0181764621e-07,-0.605302949272,del
25,311,539302649.0,1.27211062814e-07,-0.906165705245,ins
25,198,539302649.0,8.64176418275e-08,-0.684794858627,del
