run,imp,exit_code,theta,scale,shape,gamma,e,var_type,site_class,sel_type,lnL,boundaries_hit,searches,converged,model,params,window,rec_rate,callable,n_ins,theta_ins,pi_ins,tajd_ins,n_del,theta_del,pi_del,tajd_del
329,1,3,0.000272282512941,na,na,0,0.0431884142471,del,1,neu,89075.360538,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,360,0.648706381233,1416726,1186,0.000235964724032,0.000222789430664,-0.233962234317,1494,0.000297243927238,0.000277764217974,-0.274705898016
329,1,3,0.000272282512941,0.1,0.001,na,0.0650232315475,del,1,sel,89075.360538,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,360,0.648706381233,1416726,1186,0.000235964724032,0.000222789430664,-0.233962234317,1494,0.000297243927238,0.000277764217974,-0.274705898016
329,1,3,0.000183378875447,na,na,0,0.0772003466792,ins,1,neu,89075.360538,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,360,0.648706381233,1416726,1186,0.000235964724032,0.000222789430664,-0.233962234317,1494,0.000297243927238,0.000277764217974,-0.274705898016
329,1,3,0.000183378875447,0.1,0.001,na,0.0549744139746,ins,1,sel,89075.360538,sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,360,0.648706381233,1416726,1186,0.000235964724032,0.000222789430664,-0.233962234317,1494,0.000297243927238,0.000277764217974,-0.274705898016
86,1,3,0.000268330203682,na,na,0,0.0438971108693,del,1,neu,88645.338692,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,354,1.29982650574,1516289,1145,0.000212849071341,0.000200576261483,-0.241588346892,1408,0.000261739294715,0.000235637623726,-0.417983216461
86,1,3,0.000268330203682,0.1,0.001,na,0.06770904052,del,1,sel,88645.338692,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,354,1.29982650574,1516289,1145,0.000212849071341,0.000200576261483,-0.241588346892,1408,0.000261739294715,0.000235637623726,-0.417983216461
86,1,3,0.000181063354415,na,na,0,0.0786749630634,ins,1,neu,88645.338692,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,354,1.29982650574,1516289,1145,0.000212849071341,0.000200576261483,-0.241588346892,1408,0.000261739294715,0.000235637623726,-0.417983216461
86,1,3,0.000181063354415,0.1,0.001,na,0.0515384264163,ins,1,sel,88645.338692,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,354,1.29982650574,1516289,1145,0.000212849071341,0.000200576261483,-0.241588346892,1408,0.000261739294715,0.000235637623726,-0.417983216461
427,1,3,0.000273834615029,na,na,0,0.0435632584439,del,1,neu,88486.3054664,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,362,0.542836390702,1434974,1036,0.000203499797102,0.000188670207338,-0.305267962117,1471,0.000288946140479,0.000257969097258,-0.449377757207
427,1,3,0.000273834615029,0.1,0.001,na,0.0504176761751,del,1,sel,88486.3054664,r_19|sel_del_shape|sel_del_scale|sel_ins_shape|sel_ins_scale,500,True,indel_continuous_1class_equal_t,28,362,0.542836390702,1434974,1036,0.000203499797102,0.000188670207338,-0.305267962117,1471,0.000288946140479,0.000257969097258,-0.449377757207
