run,imp,exit_code,theta,scale,shape,gamma,e,var_type,site_class,sel_type,lnL,boundaries_hit,searches,converged,model,params,alpha,window
322,1,3,0.000353772697857,104.075676969,0.00710259208846,na,0.0221878147212,del,1,sel,92300.7364194,sel_ins_e|sel_ins_scale,500,True,indel_continuous_1class,30,NA,360
322,1,3,0.000262268206898,0.1,0.00516625961502,na,0,ins,1,sel,92300.7364194,sel_ins_e|sel_ins_scale,500,True,indel_continuous_1class,30,NA,360
322,1,3,0.000211711429804,na,na,0,0.0136747258028,del,1,neu,92300.7364194,sel_ins_e|sel_ins_scale,500,True,indel_continuous_1class,30,NA,360
322,1,3,0.000134930187095,na,na,0,0.000142868623419,ins,1,neu,92300.7364194,sel_ins_e|sel_ins_scale,500,True,indel_continuous_1class,30,NA,360
137,1,3,0.00033987686956,2.04524672205,0.56490281148,na,0.0204106628236,del,1,sel,91791.9378259,sel_ins_shape|neu_ins_e_1,500,True,indel_continuous_1class,30,NA,354
137,1,3,0.000241176444788,0.10044982107,0.001,na,0.0206991307979,ins,1,sel,91791.9378259,sel_ins_shape|neu_ins_e_1,500,True,indel_continuous_1class,30,NA,354
137,1,3,0.000210662376908,na,na,0,0.0136781066543,del,1,neu,91791.9378259,sel_ins_shape|neu_ins_e_1,500,True,indel_continuous_1class,30,NA,354
137,1,3,0.000134228064526,na,na,0,0,ins,1,neu,91791.9378259,sel_ins_shape|neu_ins_e_1,500,True,indel_continuous_1class,30,NA,354
88,1,3,0.000378374016663,2.50877841324,0.542729923709,na,0.0151072600855,del,1,sel,91648.8743164,,500,True,indel_continuous_1class,30,NA,362
88,1,3,0.000252892868366,129.679963436,0.0225922599352,na,0.0415578989444,ins,1,sel,91648.8743164,,500,True,indel_continuous_1class,30,NA,362
88,1,3,0.000212466938769,na,na,0,0.0134875423164,del,1,neu,91648.8743164,,500,True,indel_continuous_1class,30,NA,362
88,1,3,0.000135445778658,na,na,0,2.22044604925e-18,ins,1,neu,91648.8743164,,500,True,indel_continuous_1class,30,NA,362
402,1,3,0.000438303012747,114.562517364,0.143124589535,na,0.00871901456319,del,1,sel,91362.2298014,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,259
402,1,3,0.000250814848475,111.806628159,0.01440425682,na,0.0350097062493,ins,1,sel,91362.2298014,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,259
402,1,3,0.000212357104313,na,na,0,0.0135567793509,del,1,neu,91362.2298014,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,259
402,1,3,0.000135351160663,na,na,0,0,ins,1,neu,91362.2298014,neu_ins_e_1,500,True,indel_continuous_1class,30,NA,259
