run,imp,exit_code,theta,scale,shape,gamma,e,var_type,site_class,sel_type,lnL,boundaries_hit,searches,converged,model,params,window,rec_rate,callable,n_ins,theta_ins,pi_ins,tajd_ins,n_del,theta_del,pi_del,tajd_del
214,1,3,0.000171955477722,na,na,0,0.0766867887631,ins,1,neu,84450.4858552,r_19,500,True,indel_discrete_1class,28,100,1.04792166361,1428535,691,0.000136343808005,0.000128910129314,-0.228152503705,938,0.000185080306669,0.000170542769893,-0.32896562237
214,1,3,0.000261898507234,na,na,0,0.04452168928,del,1,neu,84450.4858552,r_19,500,True,indel_discrete_1class,28,100,1.04792166361,1428535,691,0.000136343808005,0.000128910129314,-0.228152503705,938,0.000185080306669,0.000170542769893,-0.32896562237
214,1,3,0.000165498405092,na,na,-0.0823653738666,0.0825867338091,ins,1,sel,84450.4858552,r_19,500,True,indel_discrete_1class,28,100,1.04792166361,1428535,691,0.000136343808005,0.000128910129314,-0.228152503705,938,0.000185080306669,0.000170542769893,-0.32896562237
214,1,3,0.000227456672259,na,na,-0.0848115663226,0.0652242308101,del,1,sel,84450.4858552,r_19,500,True,indel_discrete_1class,28,100,1.04792166361,1428535,691,0.000136343808005,0.000128910129314,-0.228152503705,938,0.000185080306669,0.000170542769893,-0.32896562237
337,1,3,0.000171127955448,na,na,0,0.0769432133718,ins,1,neu,85774.2780172,r_19,500,True,indel_discrete_1class,28,101,1.31188247622,1475058,819,0.000156503142304,0.000148846957026,-0.204814940929,1104,0.00021096394274,0.000195917363035,-0.298814965664
337,1,3,0.000260617366649,na,na,0,0.0446609268973,del,1,neu,85774.2780172,r_19,500,True,indel_discrete_1class,28,101,1.31188247622,1475058,819,0.000156503142304,0.000148846957026,-0.204814940929,1104,0.00021096394274,0.000195917363035,-0.298814965664
337,1,3,0.00018241829426,na,na,0.205645545678,0.0588181171232,ins,1,sel,85774.2780172,r_19,500,True,indel_discrete_1class,28,101,1.31188247622,1475058,819,0.000156503142304,0.000148846957026,-0.204814940929,1104,0.00021096394274,0.000195917363035,-0.298814965664
337,1,3,0.000266407667789,na,na,-0.342383818229,0.0519776193618,del,1,sel,85774.2780172,r_19,500,True,indel_discrete_1class,28,101,1.31188247622,1475058,819,0.000156503142304,0.000148846957026,-0.204814940929,1104,0.00021096394274,0.000195917363035,-0.298814965664
66,1,3,0.000171083199636,na,na,0,0.0757614234371,ins,1,neu,84900.8462794,,500,True,indel_discrete_1class,28,102,1.5976386528,1151345,745,0.000182389171627,0.000183277635699,0.0203890766632,1018,0.000249224398276,0.000239006507492,-0.171739617835
66,1,3,0.000260638220657,na,na,0,0.0440041816079,del,1,neu,84900.8462794,,500,True,indel_discrete_1class,28,102,1.5976386528,1151345,745,0.000182389171627,0.000183277635699,0.0203890766632,1018,0.000249224398276,0.000239006507492,-0.171739617835
66,1,3,0.000190984873791,na,na,1.36590656264,0.0592924589485,ins,1,sel,84900.8462794,,500,True,indel_discrete_1class,28,102,1.5976386528,1151345,745,0.000182389171627,0.000183277635699,0.0203890766632,1018,0.000249224398276,0.000239006507492,-0.171739617835
66,1,3,0.000280386700699,na,na,0.803120063027,0.0521598990356,del,1,sel,84900.8462794,,500,True,indel_discrete_1class,28,102,1.5976386528,1151345,745,0.000182389171627,0.000183277635699,0.0203890766632,1018,0.000249224398276,0.000239006507492,-0.171739617835
440,1,3,0.000163425381875,na,na,0,0.0351511631359,ins,1,neu,81603.6120005,,500,True,indel_discrete_1class,28,103,1.8643884701,1042950,413,0.000111618150134,0.000107650111904,-0.148447424774,524,0.000141617217119,0.00013226652133,-0.276023581133
440,1,3,0.000255671059131,na,na,0,0.0271834053244,del,1,neu,81603.6120005,,500,True,indel_discrete_1class,28,103,1.8643884701,1042950,413,0.000111618150134,0.000107650111904,-0.148447424774,524,0.000141617217119,0.00013226652133,-0.276023581133
440,1,3,0.000126121429209,na,na,0.541203520484,0.0637572187094,ins,1,sel,81603.6120005,,500,True,indel_discrete_1class,28,103,1.8643884701,1042950,413,0.000111618150134,0.000107650111904,-0.148447424774,524,0.000141617217119,0.00013226652133,-0.276023581133
440,1,3,0.000167746480972,na,na,-0.270572490951,0.0331853516615,del,1,sel,81603.6120005,,500,True,indel_discrete_1class,28,103,1.8643884701,1042950,413,0.000111618150134,0.000107650111904,-0.148447424774,524,0.000141617217119,0.00013226652133,-0.276023581133
425,1,3,0.000170741143527,na,na,0,0.0767673156385,ins,1,neu,81129.4130731,,500,True,indel_discrete_1class,28,107,3.46244473744,492618,378,0.000216286683126,0.000221394991443,0.09857495274,437,0.000250045715678,0.000240391241553,-0.161274950418
425,1,3,0.000260121775842,na,na,0,0.0446701880644,del,1,neu,81129.4130731,,500,True,indel_discrete_1class,28,107,3.46244473744,492618,378,0.000216286683126,0.000221394991443,0.09857495274,437,0.000250045715678,0.000240391241553,-0.161274950418
425,1,3,0.000214387070906,na,na,2.03655088177,0.0392525472126,ins,1,sel,81129.4130731,,500,True,indel_discrete_1class,28,107,3.46244473744,492618,378,0.000216286683126,0.000221394991443,0.09857495274,437,0.000250045715678,0.000240391241553,-0.161274950418
425,1,3,0.000304551029082,na,na,0.0261598498872,0.0476374331609,del,1,sel,81129.4130731,,500,True,indel_discrete_1class,28,107,3.46244473744,492618,378,0.000216286683126,0.000221394991443,0.09857495274,437,0.000250045715678,0.000240391241553,-0.161274950418
39,1,3,0.000161656872561,na,na,0,0.0232028035859,ins,1,neu,85343.7617823,sel_del_e_1,500,True,indel_discrete_1class,28,108,3.80026512641,976736,785,0.00022653782115,0.000221645842566,-0.0903994334926,1057,0.000305032454721,0.000285009406194,-0.274991021267
39,1,3,0.000254698904437,na,na,0,0.0221776347438,del,1,neu,85343.7617823,sel_del_e_1,500,True,indel_discrete_1class,28,108,3.80026512641,976736,785,0.00022653782115,0.000221645842566,-0.0903994334926,1057,0.000305032454721,0.000285009406194,-0.274991021267
39,1,3,0.000242811277217,na,na,1.00832531064,0.0254588918948,ins,1,sel,85343.7617823,sel_del_e_1,500,True,indel_discrete_1class,28,108,3.80026512641,976736,785,0.00022653782115,0.000221645842566,-0.0903994334926,1057,0.000305032454721,0.000285009406194,-0.274991021267
39,1,3,0.000347216588015,na,na,0.015374945922,0,del,1,sel,85343.7617823,sel_del_e_1,500,True,indel_discrete_1class,28,108,3.80026512641,976736,785,0.00022653782115,0.000221645842566,-0.0903994334926,1057,0.000305032454721,0.000285009406194,-0.274991021267
328,1,3,0.000163159507122,na,na,0,0.0279131207624,ins,1,neu,85010.2871042,,500,True,indel_discrete_1class,28,109,4.22369502721,1283604,767,0.000168427328262,0.000160547137099,-0.195847304674,1011,0.00022200786033,0.000207179817222,-0.279774928712
328,1,3,0.000256285927815,na,na,0,0.0240485865511,del,1,neu,85010.2871042,,500,True,indel_discrete_1class,28,109,4.22369502721,1283604,767,0.000168427328262,0.000160547137099,-0.195847304674,1011,0.00022200786033,0.000207179817222,-0.279774928712
328,1,3,0.000192693745198,na,na,0.470262096606,0.0711042181757,ins,1,sel,85010.2871042,,500,True,indel_discrete_1class,28,109,4.22369502721,1283604,767,0.000168427328262,0.000160547137099,-0.195847304674,1011,0.00022200786033,0.000207179817222,-0.279774928712
328,1,3,0.00024651916429,na,na,0.283000355317,0.0345767483689,del,1,sel,85010.2871042,,500,True,indel_discrete_1class,28,109,4.22369502721,1283604,767,0.000168427328262,0.000160547137099,-0.195847304674,1011,0.00022200786033,0.000207179817222,-0.279774928712
382,1,3,0.000161815127413,na,na,0,0.0240863169666,ins,1,neu,85684.8022116,sel_del_e_1,500,True,indel_discrete_1class,28,112,2.13563307177,1167065,837,0.000202152292369,0.000199799451931,-0.0487316466278,1086,0.000262290787949,0.000246348972129,-0.25463213651
382,1,3,0.000254852425621,na,na,0,0.0226019577212,del,1,neu,85684.8022116,sel_del_e_1,500,True,indel_discrete_1class,28,112,2.13563307177,1167065,837,0.000202152292369,0.000199799451931,-0.0487316466278,1086,0.000262290787949,0.000246348972129,-0.25463213651
382,1,3,0.000208532621306,na,na,1.19329568849,0.00420965388417,ins,1,sel,85684.8022116,sel_del_e_1,500,True,indel_discrete_1class,28,112,2.13563307177,1167065,837,0.000202152292369,0.000199799451931,-0.0487316466278,1086,0.000262290787949,0.000246348972129,-0.25463213651
382,1,3,0.000294116734254,na,na,0.30136491545,0,del,1,sel,85684.8022116,sel_del_e_1,500,True,indel_discrete_1class,28,112,2.13563307177,1167065,837,0.000202152292369,0.000199799451931,-0.0487316466278,1086,0.000262290787949,0.000246348972129,-0.25463213651
252,1,3,0.00017130403698,na,na,0,0.0772776063506,ins,1,neu,87189.2420291,r_19,500,True,indel_discrete_1class,28,113,2.00286314067,1387926,994,0.000201868395109,0.000193385860023,-0.176008850222,1252,0.000254264819594,0.000235527497029,-0.308813466387
252,1,3,0.000260881459352,na,na,0,0.0448760583157,del,1,neu,87189.2420291,r_19,500,True,indel_discrete_1class,28,113,2.00286314067,1387926,994,0.000201868395109,0.000193385860023,-0.176008850222,1252,0.000254264819594,0.000235527497029,-0.308813466387
252,1,3,0.000243927279007,na,na,0.373184695307,0.0932642279922,ins,1,sel,87189.2420291,r_19,500,True,indel_discrete_1class,28,113,2.00286314067,1387926,994,0.000201868395109,0.000193385860023,-0.176008850222,1252,0.000254264819594,0.000235527497029,-0.308813466387
252,1,3,0.000311397948366,na,na,-0.431689698248,0.04683307007,del,1,sel,87189.2420291,r_19,500,True,indel_discrete_1class,28,113,2.00286314067,1387926,994,0.000201868395109,0.000193385860023,-0.176008850222,1252,0.000254264819594,0.000235527497029,-0.308813466387
44,1,3,0.000159799133536,na,na,0,0,ins,1,neu,85983.60662,neu_ins_e_1,500,True,indel_discrete_1class,28,114,1.87019286716,1555249,827,0.000149883503526,0.000137358272398,-0.349877027351,1131,0.000204979736987,0.000186353642272,-0.380718776138
44,1,3,0.000255249635921,na,na,0,0.0127033524928,del,1,neu,85983.60662,neu_ins_e_1,500,True,indel_discrete_1class,28,114,1.87019286716,1555249,827,0.000149883503526,0.000137358272398,-0.349877027351,1131,0.000204979736987,0.000186353642272,-0.380718776138
44,1,3,0.000178326012562,na,na,0.136073221047,0.0442900329259,ins,1,sel,85983.60662,neu_ins_e_1,500,True,indel_discrete_1class,28,114,1.87019286716,1555249,827,0.000149883503526,0.000137358272398,-0.349877027351,1131,0.000204979736987,0.000186353642272,-0.380718776138
44,1,3,0.000244831094938,na,na,-0.507103517505,0.00252427448867,del,1,sel,85983.60662,neu_ins_e_1,500,True,indel_discrete_1class,28,114,1.87019286716,1555249,827,0.000149883503526,0.000137358272398,-0.349877027351,1131,0.000204979736987,0.000186353642272,-0.380718776138
466,1,3,0.000158213084534,na,na,0,5.7714802918e-05,ins,1,neu,87423.009395,,500,True,indel_discrete_1class,28,115,1.72978953567,1380347,959,0.000195829713642,0.00018437011624,-0.245094141295,1334,0.000272405461937,0.00025398266561,-0.28344028859
466,1,3,0.000252935453702,na,na,0,0.0130682227344,del,1,neu,87423.009395,,500,True,indel_discrete_1class,28,115,1.72978953567,1380347,959,0.000195829713642,0.00018437011624,-0.245094141295,1334,0.000272405461937,0.00025398266561,-0.28344028859
466,1,3,0.000221646786695,na,na,0.407049928776,0.0337869376455,ins,1,sel,87423.009395,,500,True,indel_discrete_1class,28,115,1.72978953567,1380347,959,0.000195829713642,0.00018437011624,-0.245094141295,1334,0.000272405461937,0.00025398266561,-0.28344028859
466,1,3,0.000310793528728,na,na,-0.14687567617,0.00140768069658,del,1,sel,87423.009395,,500,True,indel_discrete_1class,28,115,1.72978953567,1380347,959,0.000195829713642,0.00018437011624,-0.245094141295,1334,0.000272405461937,0.00025398266561,-0.28344028859
52,1,3,0.000171836351407,na,na,0,0.0756436454101,ins,1,neu,87597.3913099,,500,True,indel_discrete_1class,28,116,1.61113916925,1494866,980,0.000184787278314,0.00017523837905,-0.21644358006,1330,0.000250782734855,0.000225660078527,-0.419843672858
52,1,3,0.000261851560275,na,na,0,0.0440128598072,del,1,neu,87597.3913099,,500,True,indel_discrete_1class,28,116,1.61113916925,1494866,980,0.000184787278314,0.00017523837905,-0.21644358006,1330,0.000250782734855,0.000225660078527,-0.419843672858
52,1,3,0.000209833755913,na,na,0.682597896801,0.0728858232756,ins,1,sel,87597.3913099,,500,True,indel_discrete_1class,28,116,1.61113916925,1494866,980,0.000184787278314,0.00017523837905,-0.21644358006,1330,0.000250782734855,0.000225660078527,-0.419843672858
52,1,3,0.000332097226865,na,na,-0.827383603871,0.0514654433275,del,1,sel,87597.3913099,,500,True,indel_discrete_1class,28,116,1.61113916925,1494866,980,0.000184787278314,0.00017523837905,-0.21644358006,1330,0.000250782734855,0.000225660078527,-0.419843672858
27,1,3,0.00015895646802,na,na,0,0,ins,1,neu,84992.6505086,neu_ins_e_1,500,True,indel_discrete_1class,28,117,1.4940719173,1386681,732,0.000148793093619,0.00013351076571,-0.429873605952,975,0.000198187522238,0.000171564522163,-0.562651085451
27,1,3,0.000254005451109,na,na,0,0.0128531348417,del,1,neu,84992.6505086,neu_ins_e_1,500,True,indel_discrete_1class,28,117,1.4940719173,1386681,732,0.000148793093619,0.00013351076571,-0.429873605952,975,0.000198187522238,0.000171564522163,-0.562651085451
27,1,3,0.000188695943428,na,na,-0.661533175903,0.0438270709372,ins,1,sel,84992.6505086,neu_ins_e_1,500,True,indel_discrete_1class,28,117,1.4940719173,1386681,732,0.000148793093619,0.00013351076571,-0.429873605952,975,0.000198187522238,0.000171564522163,-0.562651085451
27,1,3,0.00027002327264,na,na,-1.40666144536,0.0231971478809,del,1,sel,84992.6505086,neu_ins_e_1,500,True,indel_discrete_1class,28,117,1.4940719173,1386681,732,0.000148793093619,0.00013351076571,-0.429873605952,975,0.000198187522238,0.000171564522163,-0.562651085451
389,1,3,0.000158679332044,na,na,0,0.000185505450934,ins,1,neu,84270.6547137,,500,True,indel_discrete_1class,28,118,1.37767312665,1529743,681,0.000125480689011,0.000115602493532,-0.329410446845,859,0.000158278872042,0.000134525520747,-0.628388726774
389,1,3,0.000253597715042,na,na,0,0.0130253650698,del,1,neu,84270.6547137,,500,True,indel_discrete_1class,28,118,1.37767312665,1529743,681,0.000125480689011,0.000115602493532,-0.329410446845,859,0.000158278872042,0.000134525520747,-0.628388726774
389,1,3,0.000148813360585,na,na,-0.0515569639211,0.0311567732782,ins,1,sel,84270.6547137,,500,True,indel_discrete_1class,28,118,1.37767312665,1529743,681,0.000125480689011,0.000115602493532,-0.329410446845,859,0.000158278872042,0.000134525520747,-0.628388726774
389,1,3,0.000223468638088,na,na,-1.75725229793,0.00664925027867,del,1,sel,84270.6547137,,500,True,indel_discrete_1class,28,118,1.37767312665,1529743,681,0.000125480689011,0.000115602493532,-0.329410446845,859,0.000158278872042,0.000134525520747,-0.628388726774
84,1,3,0.000166493545652,na,na,0,0.0431962374984,ins,1,neu,85088.5854731,,500,True,indel_discrete_1class,28,119,1.26872776246,1573064,731,0.000130984299584,0.000118049869554,-0.413295155017,1008,0.000180618569057,0.000156228795991,-0.565634459428
84,1,3,0.000258975880183,na,na,0,0.0302267517909,del,1,neu,85088.5854731,,500,True,indel_discrete_1class,28,119,1.26872776246,1573064,731,0.000130984299584,0.000118049869554,-0.413295155017,1008,0.000180618569057,0.000156228795991,-0.565634459428
84,1,3,0.000158633597698,na,na,-0.339023401962,0.0551147807993,ins,1,sel,85088.5854731,,500,True,indel_discrete_1class,28,119,1.26872776246,1573064,731,0.000130984299584,0.000118049869554,-0.413295155017,1008,0.000180618569057,0.000156228795991,-0.565634459428
84,1,3,0.0002437601531,na,na,-0.965186265946,0.0525505653913,del,1,sel,85088.5854731,,500,True,indel_discrete_1class,28,119,1.26872776246,1573064,731,0.000130984299584,0.000118049869554,-0.413295155017,1008,0.000180618569057,0.000156228795991,-0.565634459428
97,1,3,0.000159496531638,na,na,0,0.00265422476365,ins,1,neu,86211.7918451,sel_del_e_1,500,True,indel_discrete_1class,28,120,1.16887032418,1493886,823,0.000155285403658,0.000141876534368,-0.361525918195,1158,0.00021849392155,0.000195174478543,-0.447189816833
97,1,3,0.000254475950968,na,na,0,0.0139339018089,del,1,neu,86211.7918451,sel_del_e_1,500,True,indel_discrete_1class,28,120,1.16887032418,1493886,823,0.000155285403658,0.000141876534368,-0.361525918195,1158,0.00021849392155,0.000195174478543,-0.447189816833
97,1,3,0.000184043002753,na,na,-0.178663142049,0.00343080820502,ins,1,sel,86211.7918451,sel_del_e_1,500,True,indel_discrete_1class,28,120,1.16887032418,1493886,823,0.000155285403658,0.000141876534368,-0.361525918195,1158,0.00021849392155,0.000195174478543,-0.447189816833
97,1,3,0.000275948226697,na,na,-0.740078645878,0,del,1,sel,86211.7918451,sel_del_e_1,500,True,indel_discrete_1class,28,120,1.16887032418,1493886,823,0.000155285403658,0.000141876534368,-0.361525918195,1158,0.00021849392155,0.000195174478543,-0.447189816833
