category	variation	seg_sites	theta_w	pi	tajD
0fold	SNP	42200	11894.8976188	8785.71578948	-1.09723952354
0fold	INS	227	63.9844018833	53.1368421053	-0.704883413369
0fold	DEL	904	254.810129086	165.384210526	-1.46969899067
0fold	INDEL	3543	998.664034681	744.968421053	-1.06576653464
4fold	SNP	53479	15074.1049706	13098.5526316	-0.550145825766
4fold	INS	54	15.2209590383	13.9263157895	-0.343316896903
4fold	DEL	394	111.056627057	73.4578947368	-1.41335000849
4fold	INDEL	1620	456.62877115	344.184210526	-1.03234155954
ALL	SNP	10259689	2891894.55583	2610869.58972	-0.407944502952
ALL	INS	254040	71606.1561869	65977.9157894	-0.329956915639
ALL	DEL	329506	92877.7283126	82463.3157896	-0.470716057024
ALL	INDEL	1162517	327678.215525	299534.410526	-0.360556349042
AR	SNP	278079	78382.0197855	73547.3842105	-0.258930122407
AR	INS	6029	1699.39188967	1611.67368421	-0.216608801924
AR	DEL	9169	2584.46247078	2412.54736842	-0.279176000473
AR	INDEL	23195	6537.96564618	6182.36315789	-0.228307191294
cds_frameshift	SNP	14	3.94617456549	5.08947368421	1.06058093713
cds_frameshift	INS	164	46.2266163386	35.1631578947	-0.991456835523
cds_frameshift	DEL	213	60.0382273178	41.3263157895	-1.29502378421
cds_frameshift	INDEL	1012	285.252047163	224.421052632	-0.893285704977
cds_non_frameshift	SNP	8	2.25495689457	3.13684210526	1.31810038955
cds_non_frameshift	INS	146	41.1529633258	31.5894736842	-0.961147782778
cds_non_frameshift	DEL	281	79.2053609216	55.5105263158	-1.24610716394
cds_non_frameshift	INDEL	1046	294.835613964	227.094736842	-0.962488938241
CDS	SNP	148863	41959.9560245	34796.5736842	-0.716663689675
CDS	INS	308	86.8158404408	66.5526315789	-0.972881511536
CDS	DEL	493	138.961718628	96.7368421053	-1.26992351684
CDS	INDEL	2038	574.450268891	448.889473684	-0.916580964952
intergenic	SNP	4545334	1281191.53018	1162517.22629	-0.388849147886
intergenic	INS	109596	30891.7819771	28606.9736842	-0.310482261789
intergenic	DEL	145413	40987.5058637	36551.0	-0.454382617487
intergenic	INDEL	510302	143838.626651	132027.231579	-0.344716855567
introns	SNP	5224363	1472589.17082	1330308.48947	-0.405604606606
introns	INS	135165	38098.9060817	35041.1263158	-0.336918871888
introns	DEL	172163	48527.5179799	43087.1789473	-0.470620726897
introns	INDEL	608467	171508.357096	156678.005264	-0.362997238796
noncoding_noUCNEs	SNP	9151749	2579599.93811	2339202.74754	-0.391215140114
noncoding_noUCNEs	INS	226312	63790.4755904	59071.4631579	-0.310548744036
noncoding_noUCNEs	DEL	293980	82864.028483	74098.7157895	-0.444055077891
noncoding_noUCNEs	INDEL	1063085	299651.356282	275194.647369	-0.342625430385
noncoding	SNP	9769697	2753780.701	2492825.716	-0.397809248678
noncoding	INS	244761	68990.6880588	63648.1	-0.325084323868
noncoding	DEL	317576	89515.0238436	79638.1789474	-0.463188762236
noncoding	INDEL	1118769	315346.983747	288705.236842	-0.354659738031
nonsense	SNP	293	82.5877962635	62.7315789474	-1.0017847777
nonsense	INS	0	0	0	nan
nonsense	DEL	0	0	0	nan
nonsense	INDEL	0	0	0	nan
UCNE	SNP	630687	177771.49987	156558.81579	-0.50092268176
UCNE	INS	18769	5290.41074426	4651.18421053	-0.507169466888
UCNE	DEL	24066	6783.47407808	5641.50526316	-0.7066445327
UCNE	INDEL	63290	17839.5277321	15412.1473684	-0.571186684977
