category	variation	seg_sites	theta_w	pi	tajD
0fold	SNP	42200	11894.8976188	8785.71578948	-1.09723952354
0fold	INS	198	55.8101831405	43.3421052632	-0.927555659744
0fold	DEL	449	126.559455707	85.9894736842	-1.3391398523
0fold	INDEL	1606	452.682596584	344.942105263	-0.997764951371
4fold	SNP	53479	15074.1049706	13098.5526316	-0.550145825766
4fold	INS	43	12.1203933083	10.2	-0.63343985859
4fold	DEL	238	67.0849676133	44.9473684211	-1.3726381374
4fold	INDEL	811	228.596255187	175.5	-0.972423770947
ALL	SNP	10259689	2891894.55583	2610869.58972	-0.407944502952
ALL	INS	254040	71606.1561869	65977.9157894	-0.329956915639
ALL	DEL	329506	92877.7283126	82463.3157896	-0.470716057024
ALL	INDEL	1162517	327678.215525	299534.410526	-0.360556349042
AR	SNP	278079	78382.0197855	73547.3842105	-0.258930122407
AR	INS	6029	1699.39188967	1611.67368421	-0.216608801924
AR	DEL	9167	2583.89873156	2412.34736842	-0.278646083285
AR	INDEL	23180	6533.737602	6179.08421053	-0.227845174839
cds_frameshift	SNP	0	0	0	nan
cds_frameshift	INS	153	43.1260506086	32.5315789474	-1.01673101997
cds_frameshift	DEL	189	53.2733566341	35.8105263158	-1.3602954785
cds_frameshift	INDEL	923	260.165651711	204.010526316	-0.90394670211
cds_non_frameshift	SNP	8	2.25495689457	3.13684210526	1.31810038955
cds_non_frameshift	INS	142	40.0254848785	31.1894736842	-0.912673042104
cds_non_frameshift	DEL	268	75.5410559679	53.1263157895	-1.2355041396
cds_non_frameshift	INDEL	1006	283.560829492	220.042105263	-0.938305247119
CDS	SNP	148863	41959.9560245	34796.5736842	-0.716663689675
CDS	INS	308	86.8158404408	66.5526315789	-0.972881511536
CDS	DEL	493	138.961718628	96.7368421053	-1.26992351684
CDS	INDEL	2038	574.450268891	448.889473684	-0.916580964952
intergenic	SNP	4545334	1281191.53018	1162517.22629	-0.388849147886
intergenic	INS	109596	30891.7819771	28606.9736842	-0.310482261789
intergenic	DEL	145413	40987.5058637	36551.0	-0.454382617487
intergenic	INDEL	510302	143838.626651	132027.231579	-0.344716855567
introns	SNP	5224363	1472589.17082	1330308.48947	-0.405604606606
introns	INS	135165	38098.9060817	35041.1263158	-0.336918871888
introns	DEL	172162	48527.2361103	43086.6736842	-0.470642785398
introns	INDEL	608466	171508.075226	156677.500001	-0.363003303304
noncoding	SNP	9769697	2753780.701	2492825.716	-0.397809248678
noncoding	INS	244761	68990.6880588	63648.1	-0.325084323868
noncoding	DEL	317575	89514.741974	79637.6736843	-0.463200697136
noncoding	INDEL	1118768	315346.701877	288704.731579	-0.354663028897
nonsense	SNP	293	82.5877962635	62.7315789474	-1.0017847777
nonsense	INS	0	0	0	nan
nonsense	DEL	0	0	0	nan
nonsense	INDEL	0	0	0	nan
