category	variation	seg_sites	theta_w	pi	tajD
0fold	SNP	42200	11894.8976188	8785.71578948	-1.09723952354
0fold	INS	238	67.0849676133	50.8789473684	-1.00485157629
0fold	DEL	459	129.378151826	85.2526315789	-1.42492053791
0fold	INDEL	1606	452.682596584	344.942105263	-0.997764951371
4fold	SNP	53479	15074.1049706	13098.5526316	-0.550145825766
4fold	INS	51	14.3753502029	11.4157894737	-0.829150519126
4fold	DEL	248	69.9036637315	45.9578947368	-1.42540737671
4fold	INDEL	811	228.596255187	175.5	-0.972423770947
ALL	SNP	10259689	2891894.55583	2610869.58972	-0.407944502952
ALL	INS	251380	70856.3830195	65394.7157895	-0.323579630142
ALL	DEL	335044	94438.7222229	83794.5157902	-0.473150230035
ALL	INDEL	1162517	327678.215525	299534.410526	-0.360556349042
AR	SNP	278079	78382.0197855	73547.3842105	-0.258930122407
AR	INS	6136	1729.55193813	1639.17894737	-0.219274292483
AR	DEL	9278	2615.18625847	2439.30526316	-0.282261598675
AR	INDEL	23180	6533.737602	6179.08421053	-0.227845174839
cds_frameshift	SNP	0	0	0	nan
cds_frameshift	INS	196	55.2464439169	39.9263157895	-1.15123425782
cds_frameshift	DEL	220	62.0113146006	41.8789473684	-1.3494338208
cds_frameshift	INDEL	999	281.587742209	222.673684211	-0.876369321122
cds_non_frameshift	SNP	0	0	0	nan
cds_non_frameshift	INS	166	46.7903555622	34.3210526316	-1.10415330825
cds_non_frameshift	DEL	287	80.8965785925	56.0210526316	-1.28105738076
cds_non_frameshift	INDEL	1039	292.862526682	226.215789474	-0.953309272125
CDS	SNP	148863	41959.9560245	34796.5736842	-0.716663689675
CDS	INS	377	106.264843656	80.4	-1.01585766581
CDS	DEL	499	140.652936299	93.9052631579	-1.38911661806
CDS	INDEL	2038	574.450268891	448.889473684	-0.916580964952
intergenic	SNP	4545334	1281191.53018	1162517.22629	-0.388849147886
intergenic	INS	108338	30537.1900054	28327.8842105	-0.303708290344
intergenic	DEL	147914	41692.4617628	37154.7842105	-0.456886520041
intergenic	INDEL	510302	143838.626651	132027.231579	-0.344716855567
introns	SNP	5224363	1472589.17082	1330308.48947	-0.405604606606
introns	INS	133859	37730.7843687	34755.7526316	-0.330999503067
introns	DEL	174997	49326.3364598	43768.105263	-0.473032522658
introns	INDEL	608466	171508.075226	156677.500001	-0.363003303304
noncoding	SNP	9769697	2753780.701	2492825.716	-0.397809248678
noncoding	INS	242195	68267.4106349	63082.5210527	-0.318831230158
noncoding	DEL	322913	91019.3619619	80923.8368428	-0.465619209068
noncoding	INDEL	1118768	315346.701877	288704.731579	-0.354663028897
nonsense	SNP	293	82.5877962635	62.7315789474	-1.0017847777
nonsense	INS	0	0	0	nan
nonsense	DEL	0	0	0	nan
nonsense	INDEL	0	0	0	nan
