category	variation	seg_sites	callable	divergence
ALL	INDEL	3228298	693697949	0.00465375168638
ALL	INS	1155987	693697949	0.00166641259595
ALL	DEL	2072311	693697949	0.00298733909043
AR	INDEL	92502	16304531	0.00567339226133
AR	INS	29987	16304531	0.00183918200407
AR	DEL	62515	16304531	0.00383421025726
CDS	INDEL	6381	19833820	0.000321723198053
CDS	INS	2405	19833820	0.000121257528807
CDS	DEL	3976	19833820	0.000200465669246
intergenic	INDEL	1357268	286749878	0.00473328187432
intergenic	INS	478728	286749878	0.00166949678702
intergenic	DEL	878540	286749878	0.00306378508729
introns	INDEL	1739328	358666634	0.00484942795097
introns	INS	627766	358666634	0.00175027711108
introns	DEL	1111562	358666634	0.00309915083989
noncoding	INDEL	3096596	645416512	0.00479782581082
noncoding	INS	1106494	645416512	0.00171438749928
noncoding	DEL	1990102	645416512	0.00308343831154
UCNE	INDEL	262171	63550795	0.00412537718844
UCNE	INS	96745	63550795	0.0015223255665
UCNE	DEL	165426	63550795	0.00260305162193
