length	count	variant	region
1	563345	indel	gwide
2	177299	indel	gwide
3	110169	indel	gwide
4	78995	indel	gwide
5	47762	indel	gwide
6	37239	indel	gwide
7	25117	indel	gwide
8	21563	indel	gwide
9	17560	indel	gwide
10	14708	indel	gwide
11	12209	indel	gwide
12	9803	indel	gwide
13	7200	indel	gwide
14	6202	indel	gwide
15	5161	indel	gwide
16	4358	indel	gwide
17	3723	indel	gwide
18	3308	indel	gwide
19	3008	indel	gwide
20	2923	indel	gwide
21	2425	indel	gwide
22	2113	indel	gwide
23	1780	indel	gwide
24	1599	indel	gwide
25	1335	indel	gwide
26	1237	indel	gwide
27	1045	indel	gwide
28	1051	indel	gwide
29	908	indel	gwide
30	904	indel	gwide
31	795	indel	gwide
32	733	indel	gwide
33	666	indel	gwide
34	573	indel	gwide
35	519	indel	gwide
36	525	indel	gwide
37	428	indel	gwide
38	445	indel	gwide
39	431	indel	gwide
40	481	indel	gwide
41	385	indel	gwide
42	430	indel	gwide
43	334	indel	gwide
44	327	indel	gwide
45	284	indel	gwide
46	269	indel	gwide
47	194	indel	gwide
48	289	indel	gwide
49	235	indel	gwide
50	232	indel	gwide
1	143121	ins	gwide
2	35038	ins	gwide
3	19337	ins	gwide
4	15228	ins	gwide
5	8378	ins	gwide
6	6322	ins	gwide
7	4512	ins	gwide
8	4353	ins	gwide
9	3315	ins	gwide
10	2598	ins	gwide
11	2091	ins	gwide
12	1828	ins	gwide
13	1395	ins	gwide
14	1176	ins	gwide
15	963	ins	gwide
16	845	ins	gwide
17	711	ins	gwide
18	627	ins	gwide
19	553	ins	gwide
20	553	ins	gwide
21	464	ins	gwide
22	431	ins	gwide
23	404	ins	gwide
24	334	ins	gwide
25	320	ins	gwide
26	266	ins	gwide
27	217	ins	gwide
28	192	ins	gwide
29	185	ins	gwide
30	175	ins	gwide
31	177	ins	gwide
32	147	ins	gwide
33	137	ins	gwide
34	115	ins	gwide
35	113	ins	gwide
36	98	ins	gwide
37	99	ins	gwide
38	105	ins	gwide
39	91	ins	gwide
40	88	ins	gwide
41	107	ins	gwide
42	100	ins	gwide
43	77	ins	gwide
44	56	ins	gwide
45	68	ins	gwide
46	79	ins	gwide
47	60	ins	gwide
48	85	ins	gwide
49	56	ins	gwide
50	64	ins	gwide
1	141981	del	gwide
2	57185	del	gwide
3	38632	del	gwide
4	25918	del	gwide
5	16103	del	gwide
6	12286	del	gwide
7	7969	del	gwide
8	6273	del	gwide
9	5072	del	gwide
