chr	start	stop	window	rec_rate	callable	n_ins	theta_ins	pi_ins	tajd_ins	n_del	theta_del	pi_del	tajd_del	n_indel	pol_success
chr10	4000000	6000000	2	1.42191167192	1333681	709	0.000149845093977	0.000130000312945	-0.5542371459	844	0.000178376952492	0.000157119557391	-0.498974128418	2326	0.667669819433
chr10	6000000	8000000	3	1.30968924816	1380702	700	0.000142904644358	0.000129518401356	-0.392000792512	974	0.00019884160515	0.000163566679925	-0.743047047924	2391	0.700125470514
chr10	8000000	10000000	4	1.45983241142	1525807	693	0.000128021198613	0.000116552645325	-0.374875964544	948	0.000175128566068	0.000155389729397	-0.472057806051	2353	0.697407564811
chr10	10000000	12000000	5	1.92009740111	1457132	828	0.000160169455195	0.000153004236007	-0.187298668032	1141	0.000220716604321	0.000195708888564	-0.474722518332	2674	0.736350037397
chr10	12000000	14000000	6	2.65081008037	1452075	713	0.000138404030941	0.000131245939341	-0.216445166722	1017	0.000197415006265	0.000177448424532	-0.423664845499	2406	0.719035743973
chr10	14000000	16000000	7	3.58761413959	1761582	772	0.000123527227416	0.000117678314152	-0.198204693996	1141	0.000182570681971	0.00016017301195	-0.514011243181	2560	0.747265625
chr10	16000000	18000000	8	4.82176632367	1830657	785	0.00012086788802	0.000110015147567	-0.375880991788	978	0.000150584451572	0.000129125341627	-0.596888276759	2286	0.771216097988
chr10	18000000	20000000	9	6.20091933789	888480	501	0.000158941873224	0.000142739344309	-0.426068655133	600	0.000190349548771	0.000161754670306	-0.628325174923	2251	0.489115948467
chr11	2000000	4000000	12	7.49170206709	1371989	804	0.000165178560399	0.000160086445376	-0.129061018198	1017	0.000208938552147	0.000193108038959	-0.317376877963	3093	0.588748787585
chr11	4000000	6000000	13	5.16071559269	1631820	886	0.000153041681113	0.000142446696585	-0.289901759538	1211	0.00020917999529	0.000188846293032	-0.407329132163	2718	0.771523178808
chr11	6000000	8000000	14	3.08835942732	1258135	631	0.000141367758674	0.000133355281721	-0.237105896117	853	0.00019110411751	0.000174397651662	-0.366043904585	2005	0.740149625935
chr11	8000000	10000000	15	1.47072122187	1735879	683	0.000110904587747	9.85728419526e-05	-0.465281506535	1012	0.000164327149048	0.000145877861181	-0.470288678454	2225	0.761797752809
chr11	10000000	12000000	16	0.466782192691	1452601	687	0.000133308749836	0.00012613671324	-0.225129648969	1012	0.000196373296702	0.00018169223055	-0.313162247809	2547	0.667059285434
chr11	12000000	14000000	17	0.0290083968834	1539734	762	0.000139494642716	0.00012269378313	-0.504149372481	878	0.000160730047644	0.000140242952422	-0.533744929777	2275	0.720879120879
chr11	14000000	16000000	18	0.0832317514709	1497372	483	9.09213091399e-05	8.46149119925e-05	-0.289854550744	644	0.000121228412187	0.000104896058596	-0.563638594765	1606	0.701743462017
chr11	18000000	20000000	20	1.95376840234	1194483	659	0.000155508344773	0.00014038665572	-0.406852135848	760	0.000179341945414	0.000164012820874	-0.357781140975	2395	0.59248434238
chr12	0	2000000	22	3.68128020126	422449	271	0.000180818666403	0.000172565209055	-0.190075055979	386	0.000257549834803	0.000231955747757	-0.414810312661	2365	0.277801268499
