chr	start	stop	window	rec_rate	n_indels	n_ins	n_del	n_ins_sub	n_del_sub
chr10	4000000	6000000	2	1.42191167192	2326	715	838	2548	4809
chr10	6000000	8000000	3	1.30968924816	2391	709	965	2834	5221
chr10	8000000	10000000	4	1.45983241142	2353	701	940	2489	5084
chr10	10000000	12000000	5	1.92009740111	2674	837	1132	2737	5162
chr10	12000000	14000000	6	2.65081008037	2406	721	1009	2253	4585
chr10	14000000	16000000	7	3.58761413959	2560	783	1130	2452	4158
chr10	16000000	18000000	8	4.82176632367	2286	791	972	2420	4286
chr10	18000000	20000000	9	6.20091933789	2251	505	596	2959	4467
chr11	2000000	4000000	12	7.49170206709	3093	812	1009	2822	5070
chr11	4000000	6000000	13	5.16071559269	2718	897	1200	2405	4670
chr11	6000000	8000000	14	3.08835942732	2005	636	848	2493	4943
chr11	8000000	10000000	15	1.47072122187	2225	693	1002	2594	5490
chr11	10000000	12000000	16	0.466782192691	2547	696	1003	2175	4350
chr11	12000000	14000000	17	0.0290083968834	2275	769	871	2787	5439
chr11	14000000	16000000	18	0.0832317514709	1606	486	641	2349	4278
chr11	18000000	20000000	20	1.95376840234	2395	665	754	2386	5229
chr12	0	2000000	22	3.68128020126	2365	274	383	990	2288
chr12	4000000	6000000	24	1.20444243604	2146	342	480	2626	5038
chr12	6000000	8000000	25	0.807159513633	2599	783	1128	2735	5117
chr12	8000000	10000000	26	0.684458354565	2119	654	876	2533	4743
chr12	10000000	12000000	27	0.951004571694	1843	529	808	2324	4612
chr12	12000000	14000000	28	1.73293576196	2510	821	1025	2378	4684
chr12	14000000	16000000	29	2.9491868667	2681	842	1096	2542	4978
chr12	16000000	18000000	30	4.60905763856	2799	853	1034	2472	4177
chr12	18000000	20000000	31	6.47246330029	2782	665	903	3109	5165
chr13	0	2000000	33	3.79638407755	2073	388	526	2564	3865
chr13	2000000	4000000	34	3.19996104108	2266	669	864	2677	4654
chr13	4000000	6000000	35	2.61764583748	2519	817	1031	2372	4846
chr13	6000000	8000000	36	2.19176515483	2101	649	875	2457	4988
chr13	8000000	10000000	37	1.93220877159	2761	803	1176	2560	5464
chr13	10000000	12000000	38	1.82208866871	3367	915	1194	2734	5091
chr13	12000000	14000000	39	1.86217925355	3251	932	1367	2734	5697
chr13	14000000	16000000	40	2.02266445966	2488	539	793	2117	4255
chr15	0	2000000	51	7.33174548831	2788	642	784	2878	5608
chr15	2000000	4000000	52	5.80726045454	2307	745	889	2896	4608
