chr	start	stop	window	rec_rate	callable	n_ins	theta_ins	pi_ins	tajd_ins	n_del	theta_del	pi_del	tajd_del	n_indel	pol_success
chr10	0	2000000	0	NA	1005644	0	NA	NA	NA	0	NA	NA	NA	1788	NA
chr10	2000000	4000000	1	1.61151315986	1405760	125	2.50638099516e-05	2.5283195754e-05	0.0361134537973	172	3.44878024934e-05	3.3048240622e-05	-0.17302327782	2831	0.104909925821
chr10	4000000	6000000	2	1.42191167192	1333681	709	0.000149845093977	0.000130000312945	-0.5542371459	844	0.000178376952492	0.000157119557391	-0.498974128418	2326	0.667669819433
chr10	6000000	8000000	3	1.30968924816	1380702	700	0.000142904644358	0.000129518401356	-0.392000792512	974	0.00019884160515	0.000163566679925	-0.743047047924	2391	0.700125470514
chr10	8000000	10000000	4	1.45983241142	1525807	693	0.000128021198613	0.000116552645325	-0.374875964544	948	0.000175128566068	0.000155389729397	-0.472057806051	2353	0.697407564811
chr10	10000000	12000000	5	1.92009740111	1457132	828	0.000160169455195	0.000153004236007	-0.187298668032	1141	0.000220716604321	0.000195708888564	-0.474722518332	2674	0.736350037397
chr10	12000000	14000000	6	2.65081008037	1452075	713	0.000138404030941	0.000131245939341	-0.216445166722	1017	0.000197415006265	0.000177448424532	-0.423664845499	2406	0.719035743973
chr10	14000000	16000000	7	3.58761413959	1761582	772	0.000123527227416	0.000117678314152	-0.198204693996	1141	0.000182570681971	0.00016017301195	-0.514011243181	2560	0.747265625
chr10	16000000	18000000	8	4.82176632367	1830657	785	0.00012086788802	0.000110015147567	-0.375880991788	978	0.000150584451572	0.000129125341627	-0.596888276759	2286	0.771216097988
chr10	18000000	20000000	9	6.20091933789	888480	501	0.000158941873224	0.000142739344309	-0.426068655133	600	0.000190349548771	0.000161754670306	-0.628325174923	2251	0.489115948467
chr10	20000000	20202851	10	7.30413326487	104535	19	5.12318613344e-05	5.08014188147e-05	-0.0317744158873	15	4.04462063166e-05	3.0057925701e-05	-0.947813005	50	0.68
chr11	0	2000000	11	NA	1078085	0	NA	NA	NA	0	NA	NA	NA	1768	NA
chr11	2000000	4000000	12	7.49170206709	1371989	804	0.000165178560399	0.000160086445376	-0.129061018198	1017	0.000208938552147	0.000193108038959	-0.317376877963	3093	0.588748787585
chr11	4000000	6000000	13	5.16071559269	1631820	886	0.000153041681113	0.000142446696585	-0.289901759538	1211	0.00020917999529	0.000188846293032	-0.407329132163	2718	0.771523178808
chr11	6000000	8000000	14	3.08835942732	1258135	631	0.000141367758674	0.000133355281721	-0.237105896117	853	0.00019110411751	0.000174397651662	-0.366043904585	2005	0.740149625935
chr11	8000000	10000000	15	1.47072122187	1735879	683	0.000110904587747	9.85728419526e-05	-0.465281506535	1012	0.000164327149048	0.000145877861181	-0.470288678454	2225	0.761797752809
chr11	10000000	12000000	16	0.466782192691	1452601	687	0.000133308749836	0.00012613671324	-0.225129648969	1012	0.000196373296702	0.00018169223055	-0.313162247809	2547	0.667059285434
chr11	12000000	14000000	17	0.0290083968834	1539734	762	0.000139494642716	0.00012269378313	-0.504149372481	878	0.000160730047644	0.000140242952422	-0.533744929777	2275	0.720879120879
chr11	14000000	16000000	18	0.0832317514709	1497372	483	9.09213091399e-05	8.46149119925e-05	-0.289854550744	644	0.000121228412187	0.000104896058596	-0.563638594765	1606	0.701743462017
chr11	16000000	18000000	19	1.07297298793	482926	218	0.000127240147304	0.000126542216231	-0.022796957972	267	0.000155839996927	0.000149320033123	-0.174199390589	1729	0.280508964719
chr11	18000000	20000000	20	1.95376840234	1194483	659	0.000155508344773	0.00014038665572	-0.406852135848	760	0.000179341945414	0.000164012820874	-0.357781140975	2395	0.59248434238
chr11	20000000	20315886	21	NA	82070	0	NA	NA	NA	0	NA	NA	NA	0	NA
chr12	0	2000000	22	3.68128020126	422449	271	0.000180818666403	0.000172565209055	-0.190075055979	386	0.000257549834803	0.000231955747757	-0.414810312661	2365	0.277801268499
chr12	2000000	4000000	23	NA	478810	0	NA	NA	NA	0	NA	NA	NA	2699	NA
chr12	4000000	6000000	24	1.20444243604	1416550	338	6.72563120224e-05	6.49688178655e-05	-0.141856736181	484	9.63078550854e-05	8.11720098311e-05	-0.656770315353	2146	0.383038210624
chr12	6000000	8000000	25	0.807159513633	1395811	771	0.000155695485072	0.00014417952604	-0.309616388305	1140	0.000230211223064	0.000208759978023	-0.39041463805	2599	0.735282801077
chr12	8000000	10000000	26	0.684458354565	1534523	646	0.000118660827655	0.000107833955053	-0.381730265027	884	0.000162377974686	0.000142605603792	-0.509905206427	2119	0.722038697499
chr12	10000000	12000000	27	0.951004571694	1555816	522	9.45715543293e-05	8.48091088027e-05	-0.431528481535	815	0.000147654821415	0.000118631265556	-0.822942589686	1843	0.725447639718
chr12	12000000	14000000	28	1.73293576196	1717344	813	0.000133438608928	0.000123755973729	-0.303791585275	1033	0.000169547457592	0.000146226412781	-0.576195840285	2510	0.735458167331
chr12	14000000	16000000	29	2.9491868667	1481676	832	0.000158277192203	0.000149251324354	-0.238759726526	1106	0.000210402132905	0.000195351324055	-0.29969814363	2681	0.72286460276
chr12	16000000	18000000	30	4.60905763856	1485976	844	0.000160095420368	0.000147098075962	-0.339924479911	1043	0.000197843037256	0.000174969178506	-0.484329491295	2799	0.674169346195
chr12	18000000	20000000	31	6.47246330029	1180471	658	0.000157115426451	0.000153872568884	-0.0863568607863	910	0.0002172872919	0.000199683899589	-0.339274068922	2782	0.563623292595
chr12	20000000	20466350	32	8.07995555701	253380	47	5.22845992406e-05	5.40897590887e-05	0.138579869015	46	5.11721609588e-05	5.43805642451e-05	0.251425191412	154	0.603896103896
chr13	0	2000000	33	3.79638407755	710179	384	0.000152409365722	0.000134902979612	-0.479449915334	530	0.000210356676648	0.000186935821443	-0.465463129853	2073	0.440906898215
chr13	2000000	4000000	34	3.19996104108	1304724	662	0.000143016977556	0.000137919873031	-0.149118828476	871	0.00018816886322	0.000171332868303	-0.374656050473	2266	0.67652250662
chr13	4000000	6000000	35	2.61764583748	1497563	809	0.000152269063781	0.000139718223611	-0.345079375726	1039	0.000195559403298	0.000180936066058	-0.313246712336	2519	0.733624454148
chr13	6000000	8000000	36	2.19176515483	1390659	641	0.000129922879136	0.000114587854808	-0.493796816748	883	0.000178973326486	0.000154046618035	-0.583221091029	2101	0.725368871966
chr13	8000000	10000000	37	1.93220877159	1408691	792	0.00015847388289	0.000152605279803	-0.155027821662	1187	0.000237510731048	0.000226922126921	-0.18680508823	2761	0.71676928649
chr13	10000000	12000000	38	1.82208866871	1530344	904	0.000166505131582	0.000157412148407	-0.228696984777	1205	0.000221945446412	0.000206671798869	-0.28836447856	3367	0.626373626374
chr13	12000000	14000000	39	1.86217925355	1584759	919	0.000163455877684	0.000157410618736	-0.15488638827	1380	0.000245450610669	0.000229628141035	-0.270181652748	3251	0.707167025531
chr13	14000000	16000000	40	2.02266445966	973701	532	0.000154004805878	0.000143851573586	-0.275623107345	800	0.000231586174253	0.000205401863611	-0.47333993892	2488	0.53536977492
chr13	16000000	16480340	41	NA	834	0	NA	NA	NA	0	NA	NA	NA	523	NA
chr14	0	2000000	42	3.56514160106	1005267	204	5.72001277386e-05	5.34395863304e-05	-0.273052736112	233	6.53315184466e-05	6.00102418457e-05	-0.338734207169	1743	0.250717154332
chr14	2000000	4000000	43	2.03832257405	1346381	300	6.28060582749e-05	6.22995625818e-05	-0.0336080390352	116	2.42850091996e-05	2.40488742551e-05	-0.0400641604688	2616	0.159021406728
chr14	4000000	6000000	44	1.29039404982	1499999	351	6.59575331377e-05	6.75193432585e-05	0.0987848818566	97	1.82275803828e-05	1.8926328407e-05	0.157388479878	3150	0.142222222222
chr14	6000000	8000000	45	1.17862506046	1302941	158	3.41806717784e-05	2.95970100678e-05	-0.555253216209	84	1.81720027177e-05	1.26959741563e-05	-1.23306887881	1839	0.131593257205
chr14	8000000	10000000	46	1.38848264426	1352731	23	4.79252790974e-06	3.68066331623e-06	-0.892123323062	8	1.66696622948e-06	1.2722800258e-06	-0.797994351748	2302	0.0134665508254
chr14	10000000	12000000	47	NA	1462964	0	NA	NA	NA	0	NA	NA	NA	2613	NA
chr14	12000000	14000000	48	NA	1350513	0	NA	NA	NA	0	NA	NA	NA	2194	NA
chr14	14000000	16000000	49	NA	674695	0	NA	NA	NA	0	NA	NA	NA	2322	NA
chr14	16000000	16193477	50	10.2350319103	80405	22	7.71237044967e-05	5.64903334763e-05	-1.02503168841	21	7.3618081565e-05	7.15456946576e-05	-0.107428887133	77	0.558441558442
chr15	0	2000000	51	7.33174548831	1072274	635	0.000166923009889	0.000157132853808	-0.245362867201	791	0.000207930867437	0.000182396427936	-0.514089163296	2788	0.511477761836
chr15	2000000	4000000	52	5.80726045454	1221238	737	0.000170104356327	0.00016169528057	-0.206907243075	897	0.000207033388908	0.000191798469215	-0.308157841434	2307	0.708279150412
chr15	4000000	6000000	53	4.32235689408	1298132	759	0.000164805301288	0.000157185377466	-0.193535112666	989	0.000214746301679	0.000199201216582	-0.30320735482	2554	0.68441660141
chr15	6000000	8000000	54	3.20746520563	1524057	634	0.000117256332207	0.000106744177236	-0.375049435284	805	0.000148882251462	0.000130365341012	-0.520688072241	2081	0.691494473811
chr15	8000000	10000000	55	2.08662583748	1402489	630	0.000126616219769	0.000116649756255	-0.32928752515	829	0.000166610866965	0.000145125446335	-0.539916787849	2046	0.713098729228
chr15	10000000	12000000	56	1.33391572913	1293529	579	0.000126168416204	0.000118989052023	-0.237972030204	784	0.000170839444394	0.000149082166123	-0.533134452977	1890	0.721164021164
chr15	12000000	13820886	57	0.797206631233	713348	338	0.000133556032673	0.000121908462482	-0.36374316877	446	0.000176230741338	0.000155449337048	-0.492600366652	1681	0.466389054134
chr17	0	2000000	58	4.25323921335	1244732	97	2.19656539292e-05	1.71332590385e-05	-0.903232694703	16	3.62320064812e-06	3.47147227803e-06	-0.15564584923	1287	0.0878010878011
chr17	2000000	4000000	59	3.36270517957	1140490	239	5.90683278461e-05	5.4353368889e-05	-0.3320400953	36	8.8973213492e-06	8.61587194055e-06	-0.125337060599	2472	0.111245954693
chr17	4000000	6000000	60	3.73533173482	1289374	184	4.02241774497e-05	3.81539699436e-05	-0.213511291046	28	6.12107048147e-06	6.84950910083e-06	0.464338766362	1958	0.108273748723
chr17	6000000	8000000	61	5.58975148045	1646790	218	3.73135465827e-05	3.80804633959e-05	0.0854221025814	39	6.67535925103e-06	6.34408055736e-06	-0.197464204504	2711	0.0947989671708
chr17	8000000	10000000	62	8.77508560063	1180125	238	5.68456456844e-05	5.51904069038e-05	-0.121119537705	26	6.21002852015e-06	6.27498202131e-06	0.0405991286182	2581	0.102285935684
chr17	10000000	10486032	63	11.3520483926	265600	21	2.22863774406e-05	2.0172796449e-05	-0.361921302222	3	3.18376820581e-06	4.08211794547e-06	0.753625307537	246	0.0975609756098
chr18	0	2000000	64	7.69160795567	163	123	0.212699154932	0.18585728124	-0.520516300505	25	0.0432315355553	0.0447529867614	0.136209944339	2014	0.0734856007944
