chr	start	stop	window	rec_rate	callable	n_ins	theta_ins	pi_ins	tajd_ins	n_del	theta_del	pi_del	tajd_del
chr10	0	2000000	0	NA	1005644	0	NA	NA	NA	0	NA	NA	NA
chr10	2000000	4000000	1	1.61151315986	1405760	126	2.52643204312e-05	2.5354331652e-05	0.0147012878334	171	3.42872920138e-05	3.2977104724e-05	-0.158382854749
chr10	4000000	6000000	2	1.42191167192	1333681	715	0.000151113176578	0.00013117237575	-0.55225972868	838	0.000177108869891	0.000155947494586	-0.500267416707
chr10	6000000	8000000	3	1.30968924816	1380702	709	0.000144741989786	0.00013080683823	-0.402910888775	965	0.000197004259722	0.000162278243051	-0.738291202589
chr10	8000000	10000000	4	1.45983241142	1525807	701	0.000129499076807	0.000117708202938	-0.38102708227	940	0.000173650687873	0.000154234171784	-0.46829213224
chr10	10000000	12000000	5	1.92009740111	1457132	837	0.000161910427534	0.000154387631247	-0.194536797919	1132	0.000218975631982	0.000194325493323	-0.471647724641
chr10	12000000	14000000	6	2.65081008037	1452075	721	0.000139956951344	0.000132460172693	-0.224178732708	1009	0.000195862085861	0.00017623419118	-0.419773268426
chr10	14000000	16000000	7	3.58761413959	1761582	783	0.000125287330397	0.000118995909717	-0.210213378159	1130	0.000180810578989	0.000158855416384	-0.508751256279
chr10	16000000	18000000	8	4.82176632367	1830657	791	0.000121791719011	0.000110682149978	-0.381865599941	972	0.00014966062058	0.000128458339216	-0.593376727223
chr10	18000000	20000000	9	6.20091933789	888480	505	0.000160210870216	0.000143645682277	-0.432169892643	596	0.00018908055178	0.000160848332338	-0.624504512861
chr10	20000000	20202851	10	7.30413326487	104535	19	5.12318613344e-05	5.08014188147e-05	-0.0317744158873	15	4.04462063166e-05	3.0057925701e-05	-0.947813005
chr11	0	2000000	11	NA	1078085	0	NA	NA	NA	0	NA	NA	NA
chr11	2000000	4000000	12	7.49170206709	1371989	812	0.000166822128165	0.000161463623826	-0.134478285194	1009	0.000207294984382	0.000191730860509	-0.314504830022
chr11	4000000	6000000	13	5.16071559269	1631820	897	0.000154941747131	0.000144101290842	-0.292989838917	1200	0.000207279929272	0.000187191698775	-0.406093807962
chr11	6000000	8000000	14	3.08835942732	1258135	636	0.000142487946936	0.00013401206004	-0.24885410485	848	0.000189983929248	0.000173740873344	-0.357983428288
chr11	8000000	10000000	15	1.47072122187	1735879	693	0.000112528373805	9.97795717086e-05	-0.474098067531	1002	0.00016270336299	0.000144671131425	-0.464234890892
chr11	10000000	12000000	16	0.466782192691	1452601	696	0.000135055152672	0.000127796168463	-0.224921754349	1003	0.000194626893866	0.000180032775328	-0.314094837666
chr11	12000000	14000000	17	0.0290083968834	1539734	769	0.000140776089565	0.000123883325575	-0.502306100017	871	0.000159448600795	0.000139053409977	-0.535610134933
chr11	14000000	16000000	18	0.0832317514709	1497372	486	9.14860377681e-05	8.49277407703e-05	-0.299580043535	641	0.000120663683558	0.000104583229819	-0.55753376328
chr11	16000000	18000000	19	1.07297298793	482926	219	0.000127823817704	0.000126934561403	-0.0289150110126	266	0.000155256326527	0.000148927687951	-0.169718075147
chr11	18000000	20000000	20	1.95376840234	1194483	665	0.000156924202237	0.000141549898465	-0.409928914039	754	0.00017792608795	0.000162849578128	-0.354677126967
chr11	20000000	20315886	21	NA	82070	0	NA	NA	NA	0	NA	NA	NA
chr12	0	2000000	22	3.68128020126	422449	274	0.000182820349057	0.000174047792253	-0.199835304925	383	0.000255548152149	0.000230473164559	-0.409562270455
chr12	2000000	4000000	23	NA	478810	0	NA	NA	NA	0	NA	NA	NA
chr12	4000000	6000000	24	1.20444243604	1416550	342	6.80522447091e-05	6.54332523979e-05	-0.16052678575	480	9.55119223987e-05	8.07075752988e-05	-0.647714883064
chr12	6000000	8000000	25	0.807159513633	1395811	783	0.000158118761104	0.000146355208926	-0.3114396206	1128	0.000227787947031	0.000206584295137	-0.390005832264
chr12	8000000	10000000	26	0.684458354565	1534523	654	0.000120130311589	0.000108869764673	-0.392180357119	876	0.000160908490752	0.000141569794173	-0.503264399278
chr12	10000000	12000000	27	0.951004571694	1555816	529	9.58397552494e-05	8.55770253444e-05	-0.447664496089	808	0.000146386620494	0.000117863349015	-0.815744915377
chr12	12000000	14000000	28	1.73293576196	1717344	821	0.00013475165797	0.000124834750945	-0.308118106145	1025	0.00016823440855	0.000145147635566	-0.574850081442
chr12	14000000	16000000	29	2.9491868667	1481676	842	0.000160179562302	0.00015105937643	-0.238396913584	1096	0.000208499762806	0.000193543271979	-0.300531932315
chr12	16000000	18000000	30	4.60905763856	1485976	853	0.000161802599021	0.000148348361793	-0.348170702806	1034	0.000196135858602	0.000173718892676	-0.478777927847
chr12	18000000	20000000	31	6.47246330029	1180471	665	0.000158786867158	0.000155134331083	-0.0962460594755	903	0.000215615851193	0.00019842213739	-0.333940823978
chr12	20000000	20466350	32	8.07995555701	253380	47	5.22845992406e-05	5.40897590887e-05	0.138579869015	46	5.11721609588e-05	5.43805642451e-05	0.251425191412
chr13	0	2000000	33	3.79638407755	710179	388	0.000153996963282	0.000136036867206	-0.486833353104	526	0.000208769079088	0.000185801933849	-0.459902794173
chr13	2000000	4000000	34	3.19996104108	1304724	669	0.00014452924167	0.000139061473618	-0.158294541338	864	0.000186656599107	0.000170191267716	-0.36936861248
chr13	4000000	6000000	35	2.61764583748	1497563	817	0.000153774814721	0.000141032639801	-0.346918742919	1031	0.000194053652359	0.000179621649869	-0.311541839451
chr13	6000000	8000000	36	2.19176515483	1390659	649	0.000131544381528	0.000115730819175	-0.50295040295	875	0.000177351824094	0.000152903653667	-0.577241348865
chr13	8000000	10000000	37	1.93220877159	1408691	803	0.000160674909041	0.000154521952799	-0.160318945205	1176	0.000235309704897	0.000225005453925	-0.183485730145
chr13	10000000	12000000	38	1.82208866871	1530344	915	0.000168531189599	0.000159286511983	-0.229723717576	1194	0.000219919388395	0.000204797435293	-0.288125905466
chr13	12000000	14000000	39	1.86217925355	1584759	932	0.000165768093582	0.000159389999894	-0.161139980792	1367	0.000243138394771	0.000227648759876	-0.267009526198
chr13	14000000	16000000	40	2.02266445966	973701	539	0.000156031184903	0.000145381276939	-0.285366650044	793	0.000229559795229	0.000203872160258	-0.468449106766
chr13	16000000	16480340	41	NA	834	0	NA	NA	NA	0	NA	NA	NA
chr14	0	2000000	42	3.56514160106	1005267	205	5.74805205217e-05	5.36280672854e-05	-0.278376302056	232	6.50511256635e-05	5.98217608907e-05	-0.334304870916
chr14	2000000	4000000	43	2.03832257405	1346381	300	6.28060582749e-05	6.22995625818e-05	-0.0336080390352	115	2.4075655672e-05	2.39746010739e-05	-0.0172919053061
chr14	4000000	6000000	44	1.29039404982	1499999	349	6.55817067381e-05	6.73263606737e-05	0.110978229302	99	1.86034067824e-05	1.91193109918e-05	0.113906594088
chr14	6000000	8000000	45	1.17862506046	1302941	158	3.41806717784e-05	2.95970100678e-05	-0.555253216209	84	1.81720027177e-05	1.26959741563e-05	-1.23306887881
chr14	8000000	10000000	46	1.38848264426	1352731	23	4.79252790974e-06	3.68066331623e-06	-0.892123323062	8	1.66696622948e-06	1.2722800258e-06	-0.797994351748
chr14	10000000	12000000	47	NA	1462964	0	NA	NA	NA	0	NA	NA	NA
chr14	12000000	14000000	48	NA	1350513	0	NA	NA	NA	0	NA	NA	NA
chr14	14000000	16000000	49	NA	674695	0	NA	NA	NA	0	NA	NA	NA
chr14	16000000	16193477	50	10.2350319103	80405	22	7.71237044967e-05	5.64903334763e-05	-1.02503168841	21	7.3618081565e-05	7.15456946576e-05	-0.107428887133
chr15	0	2000000	51	7.33174548831	1072274	642	0.000168763106061	0.00015852193317	-0.253877347736	784	0.000206090771265	0.000181007348573	-0.509505158316
chr15	2000000	4000000	52	5.80726045454	1221238	745	0.000171950807956	0.00016327693701	-0.21113754847	889	0.000205186937279	0.000190216812775	-0.305519958069
chr15	4000000	6000000	53	4.32235689408	1298132	767	0.000166542379563	0.000158576039709	-0.200229226635	981	0.000213009223404	0.00019781055434	-0.298862625582
chr15	6000000	8000000	54	3.20746520563	1524057	639	0.000118181066688	0.00010728635892	-0.385667006985	800	0.00014795751698	0.000129823159329	-0.513109170348
chr15	8000000	10000000	55	2.08662583748	1402489	636	0.000127822088528	0.000117430323405	-0.340111406833	823	0.000165404998206	0.000144344879185	-0.533077200354
chr15	10000000	12000000	56	1.33391572913	1293529	585	0.000127475860932	0.000119835369996	-0.250669061422	778	0.000169531999666	0.00014823584815	-0.525848218114
chr15	12000000	13820886	57	0.797206631233	713348	342	0.000135136577439	0.000122830725861	-0.37983457862	442	0.000174650196573	0.000154527073669	-0.481291911188
chr17	0	2000000	58	4.25323921335	1244732	97	2.19656539292e-05	1.71332590385e-05	-0.903232694703	16	3.62320064812e-06	3.47147227803e-06	-0.15564584923
chr17	2000000	4000000	59	3.36270517957	1140490	238	5.88211800308e-05	5.42656872785e-05	-0.322145732598	37	9.14446916445e-06	8.70355355108e-06	-0.191327330916
chr17	4000000	6000000	60	3.73533173482	1289374	183	4.00055677896e-05	3.80764129276e-05	-0.200038234326	28	6.12107048147e-06	6.84950910083e-06	0.464338766362
chr17	6000000	8000000	61	5.58975148045	1646790	217	3.7142383525e-05	3.80197391992e-05	0.0981690527142	39	6.67535925103e-06	6.34408055736e-06	-0.197464204504
