NC_029268.1	chr1
NC_029269.1	chr2
NC_029270.1	chr3
NC_029271.1	chr4
NC_029272.1	chr4A
NC_029273.1	chr1A
NC_029274.1	chr5
NC_029275.1	chr6
NC_029276.1	chr7
NC_029277.1	chr8
NC_029278.1	chr9
NC_029279.1	chr10
NC_029280.1	chr11
NC_029281.1	chr12
NC_029282.1	chr13
NC_029283.1	chr14
NC_029284.1	chr15
NC_029285.1	chr17
NC_029286.1	chr18
NC_029287.1	chr19
NC_029288.1	chr20
NC_029289.1	chr21
NC_029290.1	chr22
NC_029291.1	chr23
NC_029292.1	chr24
NC_029293.1	chr25LG1
NC_029294.1	chr25LG2
NC_029295.1	chr26
NC_029296.1	chr27
NC_029297.1	chr28
NC_029298.1	chrLGE22
NC_029299.1	chrZ
NC_026293.1	chrMT
